key,0,1
#,,
int32,str,str
0,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_1","Welcome, welcome! What brings ye to the Blacksmiths' Guild?"
1,"TEXT_REGSEABSNGUILD_00055_Q1_000_1","What will you ask?"
2,"TEXT_REGSEABSNGUILD_00055_A1_000_1","What do you do here?"
3,"TEXT_REGSEABSNGUILD_00055_A1_000_2","What is blacksmithing?"
4,"TEXT_REGSEABSNGUILD_00055_A1_000_3","Nothing."
5,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_2","Oh, not much. I'm jus' forgemaster o' this here guild. I ain't one to stand on ceremony, though, so ye can jus' call me Brithael."
6,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_3","As fer what ol' Brithael does... Well, what I <Emphasis>enjoy</Emphasis> doin' is lookin' after the new recruits, trainin' 'em an' whatnot."
7,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_4","'Course, as an employee o' Naldiq & Vymelli's, I've got a whole mess of other duties besides. Fer instance, makin' sure contracts get fulfilled an' securin' new ones."
8,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_5","Fortunately, Forgemaster H'naanza o' the Armorers' Guild usually handles that shite. Else I wouldn't have time to keep me thirst at bay."
9,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_6","Well, uh...in essence, ye take some raw ore, smelt it into a hunk o' metal, heat it till it's bleedin' hot, then pound the hells out of it till it looks the way ye want."
10,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_7","Or if yer askin' about the difference between blacksmithin' and armorin', well... Whereas armorers make armor, we smitties make weapons an' tools. We're talkin' swords an' lances, axes an' pickaxes, needles an' knives, sharp sticks..."
11,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_8","Well, maybe not sharp sticks. Anyway, to craft all that, ye need to know how to work all manner o' metals. Some folk think a strong arm's all it takes, but that ain't the half of it."
12,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_9","Ye won't go far without the knowledge an' technique essential to the craft. That, plus hard work an' dedication─aye, all that's key to blacksmithin'."
13,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_010","Good to see ye, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Have ye come to have a drink with ol' Brithael?"
14,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_020","Byregot's beard, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! When they told me ye were done fer, I knew it weren't so! Still had a drink in yer memory, to be sure, but in me heart o' hearts I knew ye were free an' fine."
15,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_021","An' in case yer worried about someone lurin' ye out o' hidin' with a commission, fear not! Me an' Faezahr agreed not to give ye work unless we knew it was fer a trusted client."
16,"TEXT_REGSEABSNGUILD_00055_Q2_000_001","What will you ask?"
17,"TEXT_REGSEABSNGUILD_00055_A2_000_001","How fares the guild?"
18,"TEXT_REGSEABSNGUILD_00055_A2_000_002","What is blacksmithing?"
19,"TEXT_REGSEABSNGUILD_00055_A2_000_003","Nothing."
20,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_100","Business is bleedin' glorious, it is! New contracts're comin' in every day without me doin' a godsdamned thing."
21,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_101","It's not without its challenges, o' course. The initiates're damn near workin' 'emselves to death jus' to meet demand."
22,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_102","An' me? Hah, I'm damn near <Emphasis>drinkin'</Emphasis> meself to death! ...Ye know. Fer the guild."
23,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_110","Well, uh...in essence, ye take some raw ore, smelt it into a hunk o' metal, heat it till it's bleedin' hot, then pound the hells out of it till it looks the way ye want."
24,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_111","Or if yer askin' about the difference between blacksmithin' and armorin', well... Whereas armorers make armor, we smitties make weapons an' tools. We're talkin' swords an' lances, axes an' pickaxes, needles an' knives, sharp sticks..."
25,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_112","Well, maybe not sharp sticks. Anyway, to craft all that, ye need to know how to work all manner o' metals. Some folk think a strong arm's all it takes, but that ain't the half of it."
26,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_113","Ye won't go far without the knowledge an' technique essential to the craft. That, plus hard work an' dedication─aye, all that's key to blacksmithin'."
27,"TEXT_REGSEABSNGUILD_00055_BRITHAEL_000_114","Wait. Why in the seven hells am I tellin' you of all people what blacksmithin' is? Yer one o' the best godsdamned smitties I know!"
