key,0,1
#,,
int32,str,str
0,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_1","What brings ye to our kitchen, 'venturer? Fancy learnin' about the culinary arts, maybe?"
1,"TEXT_REGSEACULGUILD_00054_Q1_000_1","What will you ask?"
2,"TEXT_REGSEACULGUILD_00054_A1_000_1","What do you do here?"
3,"TEXT_REGSEACULGUILD_00054_A1_000_2","What are the culinary arts?"
4,"TEXT_REGSEACULGUILD_00054_A1_000_3","Nothing."
5,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_2","Lyngsath's me name, an' I'm 'ead chef 'ere at the Bismarck, the finest restaurant in all Eorzea."
6,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_3","'Tis my charge to make sure everyone as dines in our 'alls leaves with a smile on their face. The job's mostly supervisin' journeyman chefs at their work, but I try to fit in as much cookin' as I can."
7,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_4","That ain't all I do, though. I also 'appen to be master o' the Culinarians' Guild, which lives under this same roof."
8,"TEXT_REGSEACULGUILD_00054_LYNGSATH_100_4","That role has me trainin' aspirin' culinarians─which is without a doubt me most rewardin' endeavor. Don't matter if ye can't tell one end of a skillet from the other─if yer willin' to learn, I'm more than willin' to teach ye."
9,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_5","There's some as say the culinary arts are just a lot o' fancy cookin'─but that's only the 'alf of it. 'Tis true we take well-known dishes an' raise 'em to mouthwaterin' 'eights, but when we ain't busy doin' that, we're laborin' to bring new tastes an' textures into the world."
10,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_6","Now, as ye can prob'ly imagine, both of the above call fer a decent 'elpin' of experience an' skill...but neither's worth a damn if you ain't got <Emphasis>passion</Emphasis>."
11,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_7","Our trade's as tough as old mutton, <If(PlayerParameter(4))>lass<Else/>son</If>, an' passion's the only thing what gets us through the gristly bits."
12,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_8","When ye pour yer 'eart an' soul into a dish only to 'ave a patron call it slop, will ye swallow yer pride an' start again, or will ye run 'ome cryin'?"
13,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_9","Words cut deeper'n knives, 'venturer. An' when yer pride's been 'acked to shreds, passion's the only thing as keeps ye standin' in front o' the stove."
14,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_010","Well, if it ain't <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, the Bismarck's celebrity chef! Come to whip us all up some tasty treat, 'ave ye? "
15,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_020","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Keepin' yer nose to the skillet, I 'ope? Ye ought to know that some mean-lookin' bastards was sniffin' about fer ye earlier. Rest assured, I sent 'em all on their way. “If ye ain't 'ere to dine, then bugger off,” I said."
16,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_021","Aye, them nasty rumors about ye 'ave made their rounds in Limsa, but no one puts any stock in 'em─yers truly least of all. So ye jus' keep on doin' what ye do best, an' try not to worry, eh? It'll all blow over soon, see if it don't."
17,"TEXT_REGSEACULGUILD_00054_Q2_000_001","What will you ask?"
18,"TEXT_REGSEACULGUILD_00054_A2_000_001","How are things since the royal visit?"
19,"TEXT_REGSEACULGUILD_00054_A2_000_002","What are the culinary arts?"
20,"TEXT_REGSEACULGUILD_00054_A2_000_003","Nothing."
21,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_100","Our reputation's never been shinier, thanks to the mouthwaterin' dishes ye served the sultana."
22,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_101","Folk are bookin' tables <Emphasis>moons</Emphasis> ahead o' time to taste the 'eaven as spoken o' by 'Er Majesty, while aspirin' chefs're flockin' to learn the skills what silenced the Chefsbane."
23,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_102","So, as ye can see, things couldn't be better, but rest assured we ain't allowin' ourselves to grow lax. The fires o' passion burn as 'otly in these kitchens as they ever did."
24,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_110","...Eh? Ye wants me to tell ye that old tale <Emphasis>again</Emphasis>? So ye can share its inspirin' message with other chefs, ye say. Well, in that case..."
25,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_111","There's some as say the culinary arts are just a lot o' fancy cookin'─but that's only the 'alf of it. 'Tis true we take well-known dishes an' raise 'em to mouthwaterin' 'eights, but when we ain't busy doin' that, we're laborin' to bring new tastes an' textures into the world."
26,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_112","Now, as ye can prob'ly imagine, both of the above call fer a decent 'elpin' of experience an' skill...but neither's worth a damn if you ain't got <Emphasis>passion</Emphasis>."
27,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_113","Our trade's as tough as old mutton, an' passion's the only thing what gets us through the gristly bits."
28,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_114","When ye pour yer 'eart an' soul into a dish only to 'ave a patron call it slop, will ye swallow yer pride an' start again, or will ye run 'ome cryin'?"
29,"TEXT_REGSEACULGUILD_00054_LYNGSATH_000_115","Words cut deeper'n knives, <If(PlayerParameter(4))>lass<Else/>son</If>. An' when yer pride's been 'acked to shreds, passion's the only thing as keeps ye standin' in front o' the stove."
