key,0,1
#,,
int32,str,str
0,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_000","I'm quite busy at the moment, so unless you have something to ask..."
1,"TEXT_REGWILWVRGUILD_00066_Q1_000_1","What will you ask?"
2,"TEXT_REGWILWVRGUILD_00066_A1_000_1","What do you do here?"
3,"TEXT_REGWILWVRGUILD_00066_A1_000_2","What is a weaver?"
4,"TEXT_REGWILWVRGUILD_00066_A1_000_3","Nothing."
5,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_010","I am Redolent Rose, and I oversee all Weavers' Guild operations. I also instruct members on the finer points of our trade─something I am quite good at, mind you."
6,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_011","My most skilled protégés go on to create magnificent garments which are coveted the realm over."
7,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_012","Indeed, it would be no exaggeration to say that the designs born here shape Eorzean fashion."
8,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_013","It matters not how great or small the commission─we never fail to deliver the highest quality to the customer."
9,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_020","Simply put, a weaver transforms thread into cloth and cloth into clothing."
10,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_021","More specifically, weavers craft light, flowing garments such as robes and coatees─the kind favored by mages and craftsmen."
11,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_022","While a novice weaver should focus on producing serviceable wares, we expect our more experienced members to blend form with function."
12,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_023","But regardless of one's experience, a weaver must ever strive to hone his craft if he wishes to achieve <Emphasis>and</Emphasis> maintain success."
13,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_000_030","Ah, <If(PlayerParameter(4))>Mistress<Else/>Master</If> <Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>. We meet again."
14,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_000_040","Ah, <If(PlayerParameter(4))>Mistress<Else/>Master</If> <Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>. We meet again."
15,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_000_041","...Mayhap you wonder why I do not call for the Brass Blades? Please. Your virtue is more intact than that of a maiden at the altar. So─what brings you here today?"
16,"TEXT_REGWILWVRGUILD_00066_Q2_000_1","What will you ask?"
17,"TEXT_REGWILWVRGUILD_00066_A2_000_1","How are things between Wawarukka and Kokomo?"
18,"TEXT_REGWILWVRGUILD_00066_A2_000_2","What is a weaver?"
19,"TEXT_REGWILWVRGUILD_00066_A2_000_3","Nothing."
20,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_100","Their courtship continues, but I cannot say how long it will last. They were not particularly well acquainted prior to our intervention, in case you have forgotten."
21,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_101","I do not mean to diminish our accomplishment, but the first expression of affection is but a single step in a never-ending journey."
22,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_102","As they learn more of one another, they may grow closer together or further apart. Which is fine. They will be richer for the experience, regardless of the outcome."
23,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_110","If you so dearly wish to play the part of a neophyte, I suppose I can indulge you this once. Do not make it a habit."
24,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_111","Simply put, a weaver transforms thread into cloth and cloth into clothing."
25,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_112","More specifically, weavers craft light, flowing garments such as robes and coatees─the kind favored by mages and craftsmen."
26,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_113","While a novice weaver should focus on producing serviceable wares, we expect our more experienced members to blend form with function."
27,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_114","But regardless of one's experience, a weaver must ever strive to hone his craft if he wishes to achieve <Emphasis>and</Emphasis> maintain success.
...Thus ends our charade."
