key,0,1
#,,
int32,str,str
0,"TEXT_REGWILROWENA_00106_TALK_ACTOR","The name's Rowena. I used to be a travelin' weapons merchant, till some noble from Ishgard saw my collection. Said I had me an eye for quality, and asked if I'd like to work for him, helpin' to barter his collection away for all manner o' rare artifacts."
1,"TEXT_REGWILROWENA_00106_ROWENA_000_010","You managed to get Gerolt to reforge one o' the arms of eld? <Emphasis>Gerolt</Emphasis>?
...I'm impressed. If ever you tire o' the adventurin' life, I could always use another <If(PlayerParameter(4))>woman<Else/>man</If> who knows how to <Emphasis>move</Emphasis> people."
2,"TEXT_REGWILROWENA_00106_ROWENA_000_020","Collectors far and wide've been fairly frothin' at the mouth for the primal wares you're bringin' in. Keep up the good work, you hear?"
3,"TEXT_REGWILROWENA_00106_ROWENA_000_030","These Domans, I hear they've got their own peculiar fightin' style. I reckon I smell an opportunity."
4,"TEXT_REGWILROWENA_00106_ROWENA_000_040","...Crystal Braves, eh? Can't say I'm keen on the name, but as long as there's coin to be made, you could call yourselves the Flying Fairies for all I care."
5,"TEXT_REGWILROWENA_00106_ROWENA_000_050","Aye, I've heard the rumors. Don't you worry your little head off, though─I'll keep on doin' business with you. Rumors are words and words are wind. But coin is coin, and yours is as good as the next man's."
6,"TEXT_REGWILROWENA_00106_Q1_000_000","What will you ask about?"
7,"TEXT_REGWILROWENA_00106_A1_000_001","Allagan tomestones."
8,"TEXT_REGWILROWENA_00106_A1_000_002","Vintage equipment."
9,"TEXT_REGWILROWENA_00106_A1_000_003","Gerolt's masterworks."
10,"TEXT_REGWILROWENA_00106_A1_101_003","Ironworks gear."
11,"TEXT_REGWILROWENA_00106_A1_102_003","Far Eastern wares."
12,"TEXT_REGWILROWENA_00106_A1_100_003","Rowena's House of Splendors."
13,"TEXT_REGWILROWENA_00106_A1_000_004","Nothing."
14,"TEXT_REGWILROWENA_00106_ROWENA_000_100","They're relics from the Allagan Empire, a civilization what thrived durin' the Third Astral Era. That's around five thousand years ago, in case you're wonderin'."
15,"TEXT_REGWILROWENA_00106_ROWENA_000_101","Despite their tiny size, each one's said to contain a library's worth o' knowledge o' the past."
16,"TEXT_REGWILROWENA_00106_ROWENA_000_102","They've gained some amount of popularity among the rich eccentrics o' the realm, who buy the tomestones from me by the bagful. An' for my part, I source them from adventurers like yourself."
