key,0,1
#,,
int32,str,str
0,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_000","You've found your way to the Quicksand, friend. As you can see, we cater to a clientele with an adventurous streak."
1,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_001","With the chaos left in the wake of the Calamity, the townsfolk'll be needin' the help of my patrons more than ever."
2,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_010","Adventurers aspirin' to greatness come through all the time, but it's rare to see one that actually achieves some measure of success. Keep at it, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, and who knows what you'll accomplish?"
3,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_020","You've found your way to the Quicksand, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. As you can see, we cater to a clientele with an adventurous streak."
4,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_021","With the chaos left in the wake of the Calamity, the townsfolk'll be needin' the help of my patrons more than ever─especially accomplished adventurers like yourself."
5,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_030","Well, if it ain't the legendary Warrior of Light! The savior of Eorzea! And in <Emphasis>my</Emphasis> bar! Why, just lookin' at you makes me weak in the knees!"
6,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_031","Oh, don't make that face, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! I'm just havin' a bit of fun with you."
7,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_040","Ah, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! I'm pleased to say that my overzealous suitor's not been back since you helped me chase him away."
8,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_041","I'm not generally one to stomp on anyone's dreams, of course...unless those dreams involve me an' matrimonial bliss. Then I'll <Emphasis>gladly</Emphasis> smash and dash 'em to smithereens!"
9,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_050","Twelve be praised, you're still alive and well! When I started hearin' rumors about what happened at the feast, I didn't know what to think."
10,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_051","I tried gettin' answers, but the Brass Blades've made their rounds. Folk around here're carryin' on as though naught's changed."
11,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_052","But deep down, they know it's a lie. It's only a matter of time before the questions come, and Lord Lolorito better have some good answers by then..."
