key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFHOUSINGRETAINER_00224_TALK",""
1,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_TITLE","What would you like to do?"
2,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_SALE_LIST","View items for sale."
3,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_SALE_HISTORY","View sale history."
4,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_SALE_HISTORY_OPEN","Change sale history privacy setting. (Current setting: <If(GreaterThan(IntegerParameter(1),0))>Public<Else/>Private</If>)"
5,"TEXT_CMNDEFHOUSINGRETAINER_00224_SET_RETAINER","Change retainer."
6,"TEXT_CMNDEFHOUSINGRETAINER_00224_UPDATE","Update retainer appearance."
7,"TEXT_CMNDEFHOUSINGRETAINER_00224_CANCEL","Nothing."
8,"TEXT_CMNDEFHOUSINGRETAINER_00224_SALE_HISTORY_SWITCH_DESC","Please be advised that when set to public, your retainer's sale history can be viewed by all players."
9,"TEXT_CMNDEFHOUSINGRETAINER_00224_SALE_HISTORY_SWITCH","Change your retainer's sale history to <If(GreaterThan(IntegerParameter(1),0))>private<Else/>public</If>?"
10,"TEXT_CMNDEFHOUSINGRETAINER_00224_ASK_YES","Yes"
11,"TEXT_CMNDEFHOUSINGRETAINER_00224_ASK_NO","No"
