key,0,1
#,,
int32,str,str
0,"TEXT_TSTPRG015_00564_SEQ_00",""
1,"TEXT_TSTPRG015_00564_SEQ_01",""
2,"TEXT_TSTPRG015_00564_SEQ_02",""
3,"TEXT_TSTPRG015_00564_SEQ_03",""
4,"TEXT_TSTPRG015_00564_SEQ_04",""
5,"TEXT_TSTPRG015_00564_SEQ_05",""
6,"TEXT_TSTPRG015_00564_SEQ_06",""
7,"TEXT_TSTPRG015_00564_SEQ_07",""
8,"TEXT_TSTPRG015_00564_SEQ_08",""
9,"TEXT_TSTPRG015_00564_SEQ_09",""
10,"TEXT_TSTPRG015_00564_SEQ_10",""
11,"TEXT_TSTPRG015_00564_SEQ_11",""
12,"TEXT_TSTPRG015_00564_SEQ_12",""
13,"TEXT_TSTPRG015_00564_SEQ_13",""
14,"TEXT_TSTPRG015_00564_SEQ_14",""
15,"TEXT_TSTPRG015_00564_SEQ_15",""
16,"TEXT_TSTPRG015_00564_SEQ_16",""
17,"TEXT_TSTPRG015_00564_SEQ_17",""
18,"TEXT_TSTPRG015_00564_SEQ_18",""
19,"TEXT_TSTPRG015_00564_SEQ_19",""
20,"TEXT_TSTPRG015_00564_SEQ_20",""
21,"TEXT_TSTPRG015_00564_SEQ_21",""
22,"TEXT_TSTPRG015_00564_SEQ_22",""
23,"TEXT_TSTPRG015_00564_SEQ_23",""
24,"TEXT_TSTPRG015_00564_TODO_00","イベント君2と話す"
25,"TEXT_TSTPRG015_00564_TODO_01","イベント君1にあるエモートをする"
26,"TEXT_TSTPRG015_00564_TODO_02","イベント君2と話し、ポーションを貰う"
27,"TEXT_TSTPRG015_00564_TODO_03","イベント君1と話して変身"
28,"TEXT_TSTPRG015_00564_TODO_04","～と話す"
29,"TEXT_TSTPRG015_00564_TODO_05",""
30,"TEXT_TSTPRG015_00564_TODO_06",""
31,"TEXT_TSTPRG015_00564_TODO_07",""
32,"TEXT_TSTPRG015_00564_TODO_08",""
33,"TEXT_TSTPRG015_00564_TODO_09",""
34,"TEXT_TSTPRG015_00564_TODO_10",""
35,"TEXT_TSTPRG015_00564_TODO_11",""
36,"TEXT_TSTPRG015_00564_TODO_12",""
37,"TEXT_TSTPRG015_00564_TODO_13",""
38,"TEXT_TSTPRG015_00564_TODO_14",""
39,"TEXT_TSTPRG015_00564_TODO_15",""
40,"TEXT_TSTPRG015_00564_TODO_16",""
41,"TEXT_TSTPRG015_00564_TODO_17",""
42,"TEXT_TSTPRG015_00564_TODO_18",""
43,"TEXT_TSTPRG015_00564_TODO_19",""
44,"TEXT_TSTPRG015_00564_TODO_20",""
45,"TEXT_TSTPRG015_00564_TODO_21",""
46,"TEXT_TSTPRG015_00564_TODO_22",""
47,"TEXT_TSTPRG015_00564_TODO_23",""
48,"TEXT_TSTPRG015_00564_TALK_SCENE00000_000","こんにちは～"
49,"TEXT_TSTPRG015_00564_TALK_SCENE00001_000","ふがふが～"
50,"TEXT_TSTPRG015_00564_TALK_SCENE00002_000","ほげほげ～"
51,"TEXT_TSTPRG015_00564_TALK_SCENE00003_000","トークTODOシーン1"
52,"TEXT_TSTPRG015_00564_TALK_SCENE00004_000","トークTODOシーン2"
53,"TEXT_TSTPRG015_00564_TALK_SCENE00005_000","トークTODOシーン3
イベント君3からヒントを聞こう"
54,"TEXT_TSTPRG015_00564_TALK_SCENE00006_000","ヒントシーン
イベント君3からヒントを聞こう"
55,"TEXT_TSTPRG015_00564_TALK_SCENE00007_000","エモートしてみて"
56,"TEXT_TSTPRG015_00564_TALK_SCENE00008_000","感情がこもってたね"
57,"TEXT_TSTPRG015_00564_TALK_SCENE00009_000","そのエモートじゃないよ"
58,"TEXT_TSTPRG015_00564_TALK_SCENE00010_000","イベント君1はおどかせてほしいみたいだよ"
59,"TEXT_TSTPRG015_00564_TALK_SCENE00011_000","これあげる"
60,"TEXT_TSTPRG015_00564_TALK_SCENE00012_000","へーんしーん"
61,"TEXT_TSTPRG015_00564_TALK_SCENE00013_000","完了でっす"
