key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,uint16,byte,uint16,byte,int16,uint16,byte,sbyte,byte,sbyte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,byte,bool,byte,uint16,byte,uint16,uint16,bool,uint16,uint16,byte,sbyte,byte,byte,uint16,bool,bool,byte,byte,byte,byte
0,"","",703,0,0,0,0,0,0,-1,0,0,False,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,False,False,0,0,0,0
1,"Key Item","",703,8,83,0,85,1875,0,0,0,3,False,False,False,True,False,True,False,False,True,True,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,False,False,0,0,1,0
2,"Interaction","",703,8,92,0,0,1875,0,0,0,3,False,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,False,False,0,0,1,0
3,"Sprint","",703,0,0,0,368,1875,0,0,0,0,True,False,False,False,False,False,False,False,True,True,0,False,6,0,0,0,0,False,0,300,56,0,0,0,0,False,False,0,0,1,0
4,"Chocobo Whistle","",703,5,83,0,165,1875,0,0,0,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,False,0,0,65,0,0,0,0,False,False,0,0,1,0
5,"Teleport","",111,2,92,105,164,1875,0,0,0,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,False,False,4,0,1,0
6,"Return","",112,2,92,106,163,1875,0,0,0,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,False,50,9000,57,0,0,0,0,False,False,1,0,1,0
7,"Attack","",703,1,0,0,-1,1875,0,0,0,-1,False,False,False,True,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,0,0,-1,7,0,0,False,False,0,0,1,0
8,"Shot","Delivers a ranged attack. Recast time varies with delay value of main hand weapon.",703,1,0,0,-2,1876,0,0,0,-1,False,False,False,True,False,False,False,False,True,True,0,True,0,0,0,0,0,True,0,0,0,-1,7,0,0,False,False,0,0,0,0
9,"Fast Blade","Delivers an attack with a potency of 150.",213,3,0,0,310,1875,199,1,1,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,70,0,0,0,False,0,25,58,-1,7,0,0,False,False,0,2,38,0
10,"Rampart","Reduces damage taken by <If(GreaterThanOrEqualTo(PlayerParameter(72),14))><If(Equal(PlayerParameter(68),1))>20<Else/><If(Equal(PlayerParameter(68),19))>20<Else/>10</If></If><Else/>10</If>%.  <Color(52258)>Duration:</Color> 20s",205,4,0,0,369,1875,0,1,2,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,900,1,0,0,0,0,False,False,0,1,38,0
11,"Savage Blade","Delivers an attack with a potency of 100.
<Color(52258)>Additional Effect:</Color> Increased enmity
<Color(52258)>Combo Action:</Color> Fast Blade  <Color(52258)>Combo Potency:</Color> 200",212,3,0,0,311,1875,206,1,4,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,60,0,0,9,False,0,25,58,-1,7,0,0,False,False,0,2,39,0
12,"Convalescence","Increases HP restored by spells or actions by <If(GreaterThanOrEqualTo(PlayerParameter(72),32))><If(Equal(PlayerParameter(68),1))>30<Else/><If(Equal(PlayerParameter(68),19))>30<Else/>20</If></If><Else/>20</If>%.
<Color(52258)>Duration:</Color> 20s",218,4,0,0,370,1875,0,1,10,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1200,2,0,0,0,0,False,False,0,1,37,0
13,"Awareness","Reduces the chance of suffering critical damage by <If(GreaterThanOrEqualTo(PlayerParameter(72),44))><If(Equal(PlayerParameter(68),1))>25<Else/><If(Equal(PlayerParameter(68),19))>25<Else/>15</If></If><Else/>15</If>%.
<Color(52258)>Duration:</Color> 20s",219,4,0,0,371,1875,0,1,34,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1200,3,0,0,0,0,False,False,0,1,37,0
14,"Flash","Increases enmity in all nearby enemies.<If(GreaterThanOrEqualTo(PlayerParameter(72),20))><If(Equal(PlayerParameter(68),1))>
<Color(52258)>Additional Effect:</Color> Blind  <Color(52258)>Duration:</Color> 12s<Else/><If(Equal(PlayerParameter(68),19))>
<Color(52258)>Additional Effect:</Color> Blind  <Color(52258)>Duration:</Color> 12s<Else/></If></If><Else/></If>",214,2,102,85,441,1875,0,1,8,0,True,False,False,False,False,False,False,False,True,True,5,True,3,8,0,0,0,True,0,25,58,5,7,0,0,True,False,0,1,37,0
15,"Riot Blade","Delivers an attack with a potency of 100.
<Color(52258)>Combo Action:</Color> Fast Blade  <Color(52258)>Combo Potency:</Color> 200
<Color(52258)>Combo Bonus:</Color> Restores MP",210,3,0,0,317,1875,0,1,12,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,100,0,0,9,False,0,25,58,-1,7,0,0,False,False,0,2,38,0
16,"Shield Bash","Delivers an attack with a potency of 110.
<Color(52258)>Additional Effect:</Color> Stun  <Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),36))><If(Equal(PlayerParameter(68),1))>6<Else/><If(Equal(PlayerParameter(68),19))>6<Else/>3</If></If><Else/>3</If>s",207,3,0,0,315,1875,0,1,18,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,150,9,0,0,False,0,25,58,-1,7,0,0,False,False,0,2,38,0
17,"Sentinel","Reduces damage taken by <If(GreaterThanOrEqualTo(PlayerParameter(72),48))><If(Equal(PlayerParameter(68),1))>40<Else/><If(Equal(PlayerParameter(68),19))>40<Else/>30</If></If><Else/>30</If>%. <Color(52258)>Duration:</Color> 10s",204,4,0,0,372,1875,0,1,38,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1800,4,0,0,0,0,False,False,0,1,38,0
18,"Provoke","Gesture threateningly, increasing enmity in target.",221,4,0,0,373,1875,0,1,22,25,False,False,False,True,False,False,False,False,True,True,0,True,0,0,0,0,0,True,0,400,5,0,0,0,0,False,False,0,2,37,0
19,"Tempered Will","Immediately cures Bind and Heavy,
while preventing knockback and draw-in effects.
<Color(52258)>Duration:</Color> 10s",206,4,0,0,374,1875,0,1,42,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1800,6,0,0,0,0,False,False,0,1,38,0
20,"Fight or Flight","Increases physical damage dealt by 30%.  <Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),28))><If(Equal(PlayerParameter(68),1))>30<Else/><If(Equal(PlayerParameter(68),19))>30<Else/>20</If></If><Else/>20</If>s",222,4,0,0,376,1875,0,1,6,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1800,7,0,0,0,0,False,False,0,1,38,0
21,"Rage of Halone","Delivers an attack with a potency of 100.
<Color(52258)>Additional Effect:</Color> Increased enmity
<Color(52258)>Combo Action:</Color> Savage Blade  <Color(52258)>Combo Potency:</Color> 260  <Color(52258)>Combo Bonus:</Color> Reduce target's strength by <If(GreaterThanOrEqualTo(PlayerParameter(72),40))><If(Equal(PlayerParameter(68),1))>10<Else/><If(Equal(PlayerParameter(68),19))>10<Else/>5</If></If><Else/>5</If>%  <Color(52258)>Duration:</Color> 20s",208,3,0,0,312,1875,0,1,26,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,60,0,0,11,False,0,25,58,-1,7,0,0,False,False,0,2,38,0
22,"Bulwark","Increases your block rate by 60%.
<Color(52258)>Duration:</Color> 15s",223,4,0,0,377,1875,0,1,46,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1800,8,0,0,0,0,False,False,0,1,38,0
23,"Circle of Scorn","Delivers an attack with a potency of 30 to all nearby enemies.
<Color(52258)>Additional Effect:</Color> Damage over time  <Color(52258)>Potency:</Color> 30
<Color(52258)>Duration:</Color> 15s",217,4,0,0,313,1892,0,1,50,0,True,False,False,False,False,False,False,False,True,True,5,True,0,0,0,0,0,True,0,250,9,-1,7,0,0,False,False,0,2,38,0
24,"Shield Lob","Delivers an attack with a potency of 120.
<Color(52258)>Additional Effect:</Color> Increased enmity",220,3,0,0,316,1875,0,1,15,15,False,False,False,True,False,False,False,False,True,True,0,True,5,120,9,0,0,False,0,25,58,-1,7,0,0,False,False,72,2,38,0
25,"Shield Swipe","Delivers an attack with a potency of 170.
Can only be used immediately after blocking an attack.
<Color(52258)>Additional Effect:</Color> Pacification  <Color(52258)>Duration:</Color> 6s",216,3,0,0,318,1875,0,1,30,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,40,2,0,0,True,0,25,58,-1,7,0,0,False,False,73,2,38,0
26,"Sword Oath","Increases the potency of auto-attacks by 25.
Cannot be used with Shield Oath.
Effect ends upon reuse.",2006,2,102,90,442,1875,0,19,30,0,True,False,False,False,False,False,False,False,True,True,0,False,3,10,0,0,0,False,0,25,58,0,0,0,78,True,False,31,1,20,0
27,"Cover","Take all physical damage intended for another party member. Can only be used when member is closer than 6 yalms.
<Color(52258)>Duration:</Color> 12s",2001,4,0,0,375,1887,0,19,35,6,False,True,False,False,False,False,False,False,True,False,0,False,0,0,0,0,0,True,0,1200,10,0,0,0,0,False,False,32,1,20,0
28,"Shield Oath","Reduces damage received by 25%, while lowering damage dealt by 30% and increasing enmity. Cannot be used with Sword Oath.
Effect ends upon reuse.",2007,2,102,90,443,1875,0,19,40,0,True,False,False,False,False,False,False,False,True,True,0,False,3,10,0,0,0,False,0,25,58,0,0,0,79,True,False,33,1,20,0
29,"Spirits Within","Delivers an attack with a potency of 300.
Potency decreases when HP is less than 100%.
<Color(52258)>Additional Effect:</Color> Silence  <Color(52258)>Duration:</Color> 1s",2004,4,0,0,314,1875,0,19,45,-1,False,False,False,True,False,False,False,False,True,True,0,True,0,0,0,0,0,True,0,300,11,-1,7,0,0,False,False,34,2,20,0
30,"Hallowed Ground","Renders you impervious to most attacks.
<Color(52258)>Duration:</Color> 10s",2003,4,0,0,378,1875,0,19,50,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,4200,12,0,0,0,0,False,False,35,1,20,0
31,"Heavy Swing","Delivers an attack with a potency of 150.",413,3,0,0,319,1875,202,3,1,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,70,0,0,0,False,0,25,58,-1,7,0,0,False,False,0,2,44,0
32,"Foresight","Increases defense by 20%.  <Color(52258)>Duration:</Color> 20s",404,4,0,0,379,1875,0,3,2,0,True,False,False,False,False,False,False,False,True,True,0,False,0,0,0,0,0,True,0,1200,1,0,0,0,0,False,False,0,1,43,0
33,"Fracture","Delivers an attack with a potency of 100.
<Color(52258)>Additional Effect:</Color> Damage over time  <Color(52258)>Potency:</Color> 20
<Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),28))><If(Equal(PlayerParameter(68),3))>30<Else/><If(Equal(PlayerParameter(68),21))>30<Else/>18</If></If><Else/>18</If>s",409,3,0,0,321,1875,204,3,6,-1,False,False,False,True,False,False,False,False,True,True,0,True,5,80,0,0,0,False,0,25,58,-1,7,0,0,False,False,0,2,45,0
