key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,,,,,,,,,,,,,,,,
int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
851968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851969,65538,65734,65991,66195,0,0,0,0,0,0,0,0,0,0,0,0
851970,65573,65569,65638,65681,65682,65690,65596,65663,65684,65747,65754,65755,65559,65557,65558,65874
851971,65538,65740,65974,0,65939,0,0,0,0,0,0,0,0,0,0,0
851972,0,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851973,65605,65630,65632,65682,65917,65603,65670,65871,65937,65883,0,0,0,0,0,0
851974,65694,65603,66098,66021,0,0,0,0,0,0,0,0,0,0,0,0
851975,0,65561,65700,65747,65595,65754,65755,65559,65557,65558,0,0,0,0,0,0
851976,65566,65598,65616,65978,66195,65850,65851,0,0,0,0,0,0,0,0,0
851977,65702,65664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851978,65605,65613,65632,65681,65682,65693,65740,65914,65952,0,0,0,0,0,0,0
851979,65603,65696,65670,65938,0,0,0,0,0,0,0,0,0,0,0,0
851980,65616,65774,65991,0,0,0,0,0,0,0,0,0,0,0,0,0
851981,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851982,65906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851983,65692,65953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851984,65706,65743,65853,0,0,0,0,0,0,65855,66195,0,0,0,65952,0
851985,66157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851986,65688,0,66000,0,0,0,0,0,0,0,0,0,0,0,0,0
851987,65582,66013,65639,65850,65851,0,0,0,0,0,0,0,0,0,0,0
851988,65634,65666,65582,0,0,0,0,0,0,0,0,0,0,0,0,0
851989,65695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851990,65633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851991,65662,65661,65571,65679,0,0,0,0,0,0,0,0,0,0,0,0
851992,0,65918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851993,65848,65582,65747,65754,65755,65559,65557,65558,66008,65767,65567,66107,66019,0,0,65847
851994,65604,65606,0,65891,0,0,0,0,0,0,0,0,0,0,0,0
851995,65606,65592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851996,65658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851997,0,65895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851998,65707,65771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851999,65889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852000,0,66002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852001,66004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852002,65896,65897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852003,65974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852004,65621,65659,65660,0,0,0,0,0,0,0,0,0,0,0,0,0
852005,65901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852006,65909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852007,65764,65772,66171,66090,0,0,0,0,0,0,0,0,0,0,0,0
852008,65631,65865,66098,0,0,0,0,0,0,0,0,0,0,0,0,0
852009,65732,65884,65885,0,0,0,0,0,0,0,0,0,0,0,0,0
852010,65733,66096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852011,0,65867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852012,65550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852014,65627,65683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852015,65946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852016,65768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852017,65770,65843,66039,65763,0,0,0,0,0,0,0,0,0,0,0,0
852018,65909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852019,66069,65840,65857,65699,65789,65881,65882,65822,66018,66089,0,0,0,0,0,0
852020,65859,65863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852021,65899,65974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852022,65900,65893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852023,65903,0,65904,0,0,0,0,0,0,0,0,0,0,0,0,0
852024,65903,66097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852025,65583,66162,66173,0,0,0,0,0,0,0,0,0,0,0,0,0
852026,65908,66099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852027,65947,65877,66161,0,0,0,0,0,0,0,0,0,0,0,0,0
852028,65584,65629,65977,0,0,0,0,0,0,0,0,0,0,0,0,0
852029,66004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852030,65923,65583,66094,66066,0,0,0,0,0,0,0,0,0,0,0,0
852031,0,65951,66100,0,0,0,0,0,0,0,0,0,0,0,0,0
852032,65583,66006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852033,0,65919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852034,65858,65905,66041,0,0,0,0,0,0,0,0,0,0,0,0,0
852035,65841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852036,65875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852037,65895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852038,65896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852039,65862,65760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852040,65571,65679,66169,0,0,0,0,0,0,0,0,0,0,0,0,0
852041,65627,65683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852042,65629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852043,65976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852044,65591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852045,65628,65629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852046,65936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852047,65935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852048,65941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852049,66069,65789,66108,65881,65882,65822,66089,0,0,0,0,0,0,0,0,0
852050,66009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852051,0,0,66167,66165,0,0,0,0,0,0,0,0,0,0,0,0
852052,66098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852053,66101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852054,65871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852055,65871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852056,66160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852057,66091,66234,65912,0,0,0,0,0,0,0,0,0,0,0,0,0
852058,66069,66089,65881,65882,65789,65822,0,0,0,0,0,0,0,0,0,0
852059,0,65867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852060,65766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852061,0,65867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852062,66011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852063,66197,65847,65848,0,0,0,0,0,0,0,0,0,0,0,0,0
852064,65847,65848,65652,0,0,0,0,0,0,0,0,0,0,0,0,0
852065,65710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852066,66014,66015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852067,66014,66015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852068,65884,65885,66154,0,0,0,0,0,0,0,0,0,0,0,0,0
