key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,sbyte,str,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,-1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
1,0,"Strength",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,100,100,100,70,70,70,100,70,100
2,1,"Dexterity",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,100,70,70,100,70,100
3,2,"Vitality",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,100,100,100,100,90,90,100,90,100
4,3,"Intelligence",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,70,100,70,70,100,100
5,4,"Mind",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,70,70,100,70,100,100
6,5,"Piety",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,70,70,100,70,70,100
7,6,"HP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
8,7,"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
9,8,"TP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
10,9,"GP",2,2,2,2,2,2,2,2,25,25,25,13,0,0,4,8,0,4,100,100,100,100,100,100,100,100,100,100
11,10,"CP",2,2,2,2,2,2,2,2,25,25,25,13,0,0,4,8,0,4,100,100,100,100,100,100,100,100,100,100
12,-1,"Physical Damage",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,100,100,100,100,90,50,50,100,50,50
13,-1,"Magic Damage",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,50,50,50,50,50,100,100,50,100,30
14,11,"Delay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
15,-1,"Additional Effect: ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
16,-1,"Attack Speed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
17,-1,"Block Rate",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100
18,-1,"Block",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100
19,12,"Parry",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100
20,13,"Attack Power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
21,14,"Defense",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,66,100,66,50,50,33,33,50,33,33
22,15,"Accuracy",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100
23,16,"Evasion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
