key,0,1,2,3
#,,,,
int32,str,str,int32,byte
0,"","",0,0
1,"Barding","Change your chocobo's saddle or barding.",3813,17
2,"Withdraw","Dismiss your companion from battle.",181,18
3,"Follow","Order your companion to follow you.",182,18
4,"Free Stance","Allow your companion to make his own decisions in battle.",186,18
5,"Defender Stance","Order your companion to focus on defensive maneuvers.",183,18
6,"Attacker Stance","Order your companion to focus more on offensive maneuvers.",184,18
7,"Healer Stance","Order your companion to stop fighting and concentrate on healing maneuvers.",185,18
