key,0,1,2,3
#,,,,
int32,str,byte,byte,str
0,"",255,0,""
11,"MOVE_FORE",255,1,"Move Forward"
12,"MOVE_BACK",255,1,"Move Back / Walk Backwards"
13,"MOVE_LEFT",255,1,"Move Left / Turn Left"
14,"MOVE_RIGHT",255,1,"Move Right / Turn Right"
15,"MOVE_STRIFE_L",255,1,"Strafe Left"
16,"MOVE_STRIFE_R",255,1,"Strafe Right"
17,"JUMP",255,1,"Jump"
18,"WALK",255,1,"Toggle between Run/Walk"
19,"AUTORUN_KEY",255,1,"Turn On/Off Auto-run"
20,"SWARD",255,1,"Draw/Sheathe Weapon"
21,"CAMERA_FOCUS",255,1,"Lock Camera on Target"
22,"",255,0,""
23,"",255,0,""
24,"",255,0,""
25,"",255,0,""
26,"",255,0,""
27,"",255,0,""
28,"",255,0,""
29,"",255,0,""
30,"",255,0,""
31,"",255,0,""
32,"",255,0,""
33,"",255,0,""
34,"",255,0,""
35,"",255,0,""
36,"",255,0,""
37,"",255,0,""
38,"",255,0,""
39,"",255,0,""
40,"",255,0,""
41,"",255,0,""
42,"",255,0,""
43,"",255,0,""
44,"",255,0,""
45,"",255,0,""
46,"",255,0,""
47,"",255,0,""
48,"",255,0,""
49,"",255,0,""
51,"CAMERA_UP",255,1,"Point Camera Up"
52,"CAMERA_DOWN",255,1,"Point Camera Down"
53,"CAMERA_LEFT",255,1,"Point Camera to the Left"
54,"CAMERA_RIGHT",255,1,"Point Camera to the Right"
55,"CAMERA_MODE",255,1,"Toggle between 1st/3rd Person Mode"
56,"CAMERA_BACKWARD",255,1,"Flip Camera"
57,"CAMERA_ZOOMIN",255,1,"Zoom Camera In"
58,"CAMERA_ZOOMOUT",255,1,"Zoom Camera Out"
59,"CAMERA_LOAD",255,1,"Return Camera to Saved Position"
60,"CAMERA_SAVE",255,1,"Save Current Camera Position"
61,"CAMERA_RESET",255,1,"Return Camera to Default Position"
62,"",255,0,""
63,"",255,0,""
64,"",255,0,""
65,"",255,0,""
66,"",255,0,""
67,"",255,0,""
68,"",255,0,""
69,"",255,0,""
70,"",255,0,""
71,"",255,0,""
72,"",255,0,""
73,"",255,0,""
74,"",255,0,""
75,"",255,0,""
76,"",255,0,""
77,"",255,0,""
78,"",255,0,""
79,"",255,0,""
80,"",255,0,""
81,"",255,0,""
82,"",255,0,""
83,"",255,0,""
84,"",255,0,""
85,"",255,0,""
86,"",255,0,""
87,"",255,0,""
88,"",255,0,""
89,"",255,0,""
90,"",255,0,""
91,"",255,0,""
92,"",255,0,""
93,"",255,0,""
94,"",255,0,""
95,"",255,0,""
96,"",255,0,""
97,"",255,0,""
98,"",255,0,""
99,"",255,0,""
103,"TARGET_NEXT",255,2,"Cycle through Enemies (Nearest to Farthest)"
104,"TARGET_PREV",255,2,"Cycle through Enemies (Farthest to Nearest)"
105,"TARGET_P1",255,2,"Target Self"
106,"TARGET_P2",255,2,"Target Member 2 in Party List"
107,"TARGET_P3",255,2,"Target Member 3 in Party List"
108,"TARGET_P4",255,2,"Target Member 4 in Party List"
109,"TARGET_P5",255,2,"Target Member 5 in Party List"
110,"TARGET_P6",255,2,"Target Member 6 in Party List"
111,"TARGET_P7",255,2,"Target Member 7 in Party List"
112,"TARGET_P8",255,2,"Target Member 8 in Party List"
114,"TARGET_TTOT",255,2,"Target the Target of Your Current Target"
115,"TARGET_LASTTARGET",255,2,"Target Last Target"
116,"TARGET_LASTENEMY",255,2,"Target Last Enemy"
117,"TARGET_LASTATTACKER",255,2,"Target Enemy Attacking You"
118,"TARGET_CLOSEST_ENEMY",255,2,"Target Nearest Enemy"
119,"TARGET_CLOSEST_PC",255,2,"Target Nearest PC"
120,"TARGET_CLOSEST_NPC",255,2,"Target Nearest NPC or Object"
121,"TARGET_FOCUS",255,2,"Set Focus Target"
122,"TARGET_SELECT",255,2,"Target Current Focus Target"
123,"FACE",255,2,"Face Target"
136,"",255,0,""
137,"",255,0,""
138,"",255,0,""
139,"",255,0,""
140,"",255,0,""
141,"",255,0,""
142,"",255,0,""
143,"",255,0,""
144,"",255,0,""
145,"",255,0,""
146,"",255,0,""
147,"",255,0,""
148,"",255,0,""
149,"",255,0,""
151,"CMD_CHAT",255,4,"Open Chat Log"
152,"CMD_COMMAND",255,4,"Ready Text Command"
153,"CMD_REPLY",2,4,"Reply (Forward)"
154,"CMD_REPLY_REV",2,4,"Reply (Back)"
155,"CMD_SAY",2,4,"Temporarily Switch Chat Mode to Say"
156,"CMD_YELL",2,4,"Temporarily Switch Chat Mode to Yell"
157,"CMD_SHOUT",2,4,"Temporarily Switch Chat Mode to Shout"
158,"CMD_PARTY",2,4,"Temporarily Switch Chat Mode to Party"
159,"CMD_FREECOM",2,4,"Temporarily Switch Chat Mode to Free Company"
160,"CMD_LINKSHELL",2,4,"Temporarily Switch Chat Mode to Linkshell (Forward)"
161,"CMD_LINKSHELL_REV",2,4,"Temporarily Switch Chat Mode to Linkshell (Back)"
162,"CMD_LINKSHELL_1",2,4,"Temporarily Switch Chat Mode to Linkshell [1]"
163,"CMD_LINKSHELL_2",2,4,"Temporarily Switch Chat Mode to Linkshell [2]"
164,"CMD_LINKSHELL_3",2,4,"Temporarily Switch Chat Mode to Linkshell [3]"
165,"CMD_LINKSHELL_4",2,4,"Temporarily Switch Chat Mode to Linkshell [4]"
166,"CMD_LINKSHELL_5",2,4,"Temporarily Switch Chat Mode to Linkshell [5]"
167,"CMD_LINKSHELL_6",2,4,"Temporarily Switch Chat Mode to Linkshell [6]"
168,"CMD_LINKSHELL_7",2,4,"Temporarily Switch Chat Mode to Linkshell [7]"
169,"CMD_LINKSHELL_8",2,4,"Temporarily Switch Chat Mode to Linkshell [8]"
172,"",255,0,""
173,"",255,0,""
174,"",255,0,""
175,"",255,0,""
176,"",255,0,""
177,"",255,0,""
178,"",255,0,""
179,"",255,0,""
180,"",255,0,""
181,"",255,0,""
182,"",255,0,""
183,"",255,0,""
184,"",255,0,""
185,"",255,0,""
186,"",255,0,""
187,"",255,0,""
188,"",255,0,""
189,"",255,0,""
190,"",255,0,""
191,"",255,0,""
192,"",255,0,""
193,"",255,0,""
194,"",255,0,""
195,"",255,0,""
196,"",255,0,""
197,"",255,0,""
198,"",255,0,""
199,"",255,0,""
201,"OK",255,5,"Confirm"
202,"CANCEL",255,5,"Cancel"
203,"ESC",255,5,"Close All UI Components"
