key,0
#,
int32,str
0,""
1,""
2,"ffxiv/manfst/manfst00000/manfst00000"
3,"ffxiv/manfst/manfst00010/manfst00010"
4,"ffxiv/clscnj/clscnj00110/clscnj00110"
5,"ffxiv/TstPln/TstPln052000/TstPln052000"
6,"ffxiv/TstPln/TstPln052010/TstPln052010"
7,"ffxiv/TstPln/TstPln052020/TstPln052020"
8,"ffxiv/clscnj/clscnj00420/clscnj00420"
9,"ffxiv/clscnj/clscnj00430/clscnj00430"
10,"ffxiv/clsarc/clsarc00110/clsarc00110"
11,"ffxiv/clsarc/clsarc00430/clsarc00430"
12,"ffxiv/clsarc/clsarc00440/clsarc00440"
13,"ffxiv/clslnc/clslnc00110/clslnc00110"
14,"ffxiv/clsarc/clsarc00610/clsarc00610"
15,"ffxiv/clsarc/clsarc00620/clsarc00620"
16,"ffxiv/clslnc/clslnc00620/clslnc00620"
17,"ffxiv/dunfst/dunfst1d110/dunfst1d110"
18,"ffxiv/dunfst/dunfst1d210/dunfst1d210"
19,"ffxiv/clscnj/clscnj00610/clscnj00610"
20,"ffxiv/clscnj/clscnj00620/clscnj00620"
21,"ffxiv/clslnc/clslnc00420/clslnc00420"
22,"ffxiv/dunfst/dunfst1r110/dunfst1r110"
23,"ffxiv/manfst/manfst00001/manfst00001"
24,"ffxiv/manfst/manfst00002/manfst00002"
25,"ffxiv/manfst/manfst00003/manfst00003"
26,"ffxiv/dunfst/dunfst1d120/dunfst1d120"
27,"ffxiv/dunfst/dunfst1d130/dunfst1d130"
28,"ffxiv/clslnc/clslnc00610/clslnc00610"
29,"ffxiv/manfst/manfst00110/manfst00110"
30,"ffxiv/manfst/manfst00710/manfst00710"
31,"ffxiv/clsbsm/clsbsm50110/clsbsm50110"
32,"ffxiv/clsarm/clsarm50110/clsarm50110"
33,"ffxiv/clscul/clscul50110/clscul50110"
34,"ffxiv/clsgla/clsgla05010/clsgla05010"
35,"ffxiv/clsgla/clsgla15010/clsgla15010"
36,"ffxiv/clsgla/clsgla20010/clsgla20010"
37,"ffxiv/clsexc/clsexc05010/clsexc05010"
38,"ffxiv/clsexc/clsexc20010/clsexc20010"
39,"ffxiv/clsexc/clsexc20020/clsexc20020"
40,"ffxiv/mancmn/mancmn00000/mancmn00000"
41,"ffxiv/clsexc/clsexc30010/clsexc30010"
42,"ffxiv/clsexc/clsexc30020/clsexc30020"
43,"ffxiv/clsgla/clsgla30010/clsgla30010"
44,"ffxiv/clsacn/clsacn05010/clsacn05010"
45,"ffxiv/clsacn/clsacn15010/clsacn15010"
46,"ffxiv/clsacn/clsacn15020/clsacn15020"
47,"ffxiv/clsacn/clsacn25010/clsacn25010"
48,"ffxiv/clsacn/clsacn30010/clsacn30010"
49,"ffxiv/clsacn/clsacn30020/clsacn30020"
50,"ffxiv/clsthm/clsthm05010/clsthm05010"
51,"ffxiv/clsthm/clsthm15010/clsthm15010"
52,"ffxiv/clsthm/clsthm20010/clsthm20010"
53,"ffxiv/manfst/manfst00020/manfst00020"
54,"ffxiv/manfst/manfst00510/manfst00510"
55,"ffxiv/manfst/manfst00520/manfst00520"
56,"ffxiv/manfst/manfst00530/manfst00530"
57,"ffxiv/manfst/manfst00540/manfst00540"
58,"ffxiv/manfst/manfst00720/manfst00720"
59,"ffxiv/manfst/manfst00730/manfst00730"
60,"ffxiv/manfst/manfst00740/manfst00740"
61,"ffxiv/manfst/manfst00750/manfst00750"
62,"ffxiv/manfst/manfst00910/manfst00910"
63,"ffxiv/manfst/manfst00920/manfst00920"
64,"ffxiv/manfst/manfst20000/manfst20000"
65,"ffxiv/manfst/manfst20002/manfst20002"
66,"ffxiv/manfst/manfst20004/manfst20004"
67,"ffxiv/manfst/manfst20008/manfst20008"
68,"ffxiv/manfst/manfst00925/manfst00925"
69,"ffxiv/subfst/subfst03510/subfst03510"
70,"ffxiv/subfst/subfst03520/subfst03520"
71,"ffxiv/subfst/subfst03530/subfst03530"
72,"ffxiv/subfst/subfst03540/subfst03540"
73,"ffxiv/clshrv/clshrv01110/clshrv01110"
74,"ffxiv/manfst/manfst20010/manfst20010"
75,"ffxiv/manfst/manfst20030/manfst20030"
76,"ffxiv/manfst/manfst20510/manfst20510"
77,"ffxiv/manfst/manfst20520/manfst20520"
78,"ffxiv/manfst/manfst20530/manfst20530"
79,"ffxiv/manfst/manfst20540/manfst20540"
80,"ffxiv/manfst/manfst20610/manfst20610"
81,"ffxiv/manfst/manfst20620/manfst20620"
82,"ffxiv/manfst/manfst20710/manfst20710"
83,"ffxiv/manfst/manfst20810/manfst20810"
84,"ffxiv/manfst/manfst20910/manfst20910"
85,"ffxiv/manfst/manfst20920/manfst20920"
86,"ffxiv/manfst/manfst20930/manfst20930"
87,"ffxiv/manfst/manfst20940/manfst20940"
88,"ffxiv/manfst/manfst20950/manfst20950"
89,"ffxiv/manfst/manfst30010/manfst30010"
90,"ffxiv/manfst/manfst30020/manfst30020"
91,"ffxiv/manfst/manfst30030/manfst30030"
92,"ffxiv/manfst/manfst30040/manfst30040"
93,"ffxiv/manfst/manfst30050/manfst30050"
94,"ffxiv/manfst/manfst30320/manfst30320"
95,"ffxiv/manfst/manfst30610/manfst30610"
96,"ffxiv/manfst/manfst30810/manfst30810"
97,"ffxiv/manfst/manfst30910/manfst30910"
98,"ffxiv/manfst/manfst31320/manfst31320"
99,"ffxiv/mansea/mansea20010/mansea20010"
100,"ffxiv/mansea/mansea20030/mansea20030"
101,"ffxiv/manwil/manwil20010/manwil20010"
102,"ffxiv/manwil/manwil20030/manwil20030"
103,"ffxiv/manfst/manfst40110/manfst40110"
104,"ffxiv/manfst/manfst40410/manfst40410"
