key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,byte,uint32,byte,uint16,bool,bool
2000000,"",0,"",0,0,1,0,0,3,0,7,0,True,False
2000001,"透明君※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000002,"草むらテスト※α未使用",0,"",0,0,1,0,0,3,65538,7,1860,True,False
2000003,"クエストツールテスト※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000004,"クエストツールテスト２※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000005,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000006,"草むら※α未使用",0,"",0,0,1,0,0,3,65605,7,1624,True,False
2000007,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000008,"Hedgetree",0,"Hedgetrees",0,0,1,0,0,3,65633,7,1625,True,False
2000009,"destination",0,"destinations",0,0,1,0,0,3,65635,7,1625,True,False
2000010,"anole egg",0,"anole eggs",0,1,1,0,0,3,65661,7,1843,True,False
2000011,"anole egg",0,"anole eggs",0,1,1,0,0,3,65661,7,1843,True,False
2000012,"anole egg",0,"anole eggs",0,1,1,0,0,3,65661,7,1843,True,False
2000013,"anole egg",0,"anole eggs",0,1,1,0,0,3,65661,7,1843,True,False
2000014,"anole egg",0,"anole eggs",0,1,1,0,0,3,65661,7,1843,True,False
2000015,"scented letter",0,"scented letters",0,0,1,0,0,3,0,7,1848,True,False
2000016,"decaying tree",0,"decaying trees",0,0,1,0,0,3,65663,7,1625,True,False
2000017,"decaying tree",0,"decaying trees",0,0,1,0,0,3,65663,7,1625,True,False
2000018,"decaying tree",0,"decaying trees",0,0,1,0,0,3,65663,7,1625,True,False
2000019,"wooden hairpin",0,"wooden hairpins",0,0,1,0,0,3,0,7,1624,True,False
2000020,"vegetable offering",0,"vegetable offerings",0,0,1,0,0,3,65578,7,1856,True,False
2000021,"vegetable offering",0,"vegetable offerings",0,0,1,0,0,3,65578,7,1858,True,False
2000022,"vegetable offering",0,"vegetable offerings",0,0,1,0,0,3,65578,7,1856,True,False
2000023,"vegetable offering",0,"vegetable offerings",0,0,1,0,0,3,65578,7,1858,True,False
2000024,"vegetable offering",0,"vegetable offerings",0,0,1,0,0,3,65578,7,1856,True,False
2000025,"vegetable offering",0,"vegetable offerings",0,0,1,0,0,3,65578,7,1858,True,False
2000026,"Azeyma rose hip",0,"Azeyma rose hips",0,1,1,0,0,3,65577,7,1844,True,False
2000027,"Azeyma rose hip",0,"Azeyma rose hips",0,1,1,0,0,3,65577,7,1844,True,False
2000028,"Azeyma rose hip",0,"Azeyma rose hips",0,1,1,0,0,3,65577,7,1844,True,False
2000029,"Azeyma rose hip",0,"Azeyma rose hips",0,1,1,0,0,3,65577,7,1844,True,False
2000030,"Azeyma rose hip",0,"Azeyma rose hips",0,1,1,0,0,3,65577,7,1844,True,False
2000031,"Azeyma rose hip",0,"Azeyma rose hips",0,1,1,0,0,3,65577,7,1844,True,False
2000032,"",0,"",0,0,1,0,0,3,720898,0,1624,True,False
2000033,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000034,"巨大ウィスプの出現を待つ※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000035,"凶悪な魔物に挑む※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000036,"槍術士Aを追う※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000037,"",0,"",0,0,1,0,0,1,0,0,1767,False,False
2000038,"",0,"",0,0,1,0,0,3,1114254,7,0,False,False
2000039,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983198,0,3203,True,False
2000040,"",0,"",0,0,1,0,0,1,0,0,1767,False,False
2000041,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000042,"destination",0,"destinations",0,0,1,0,0,3,65695,7,3308,True,False
2000043,"moist depression",0,"moist depressions",0,0,1,0,0,3,65696,7,1625,True,False
2000044,"moist depression",0,"moist depressions",0,0,1,0,0,3,65696,7,1625,True,False
2000045,"moist depression",0,"moist depressions",0,0,1,0,0,3,65696,7,1625,True,False
2000046,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000047,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000048,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000049,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000050,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000051,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000052,"※α未使用",0,"",0,0,1,0,0,3,0,7,1625,True,False
2000053,"warm egg",0,"warm eggs",0,0,1,0,0,3,65697,7,1842,True,False
2000054,"",0,"",0,0,1,0,0,3,1114113,7,0,True,False
2000055,"cultist rosary",0,"cultist rosaries",0,0,1,0,0,1,983042,0,1109,True,False
2000056,"cultist rosary",0,"cultist rosaries",0,0,1,0,0,1,983043,0,1109,True,False
2000057,"cultist rosary",0,"cultist rosaries",0,0,1,0,0,1,983044,0,1109,True,False
2000058,"sealed barrier",0,"sealed barriers",0,0,1,0,0,1,983186,0,0,True,False
2000059,"sealed barrier",0,"sealed barriers",0,0,1,0,0,1,983187,0,0,True,False
2000060,"sealed barrier",0,"sealed barriers",0,0,1,0,0,1,983188,0,0,True,False
2000061,"cultist orb",0,"cultist orbs",0,0,1,0,0,1,983178,0,0,True,True
2000062,"cultist orb",0,"cultist orbs",0,0,1,0,0,1,983179,0,0,True,True
2000063,"cultist orb",0,"cultist orbs",0,0,1,0,0,1,983180,0,0,True,True
2000064,"abyssal cocoon",0,"",0,0,1,0,0,1,0,0,1366,False,False
2000065,"stone bridge",0,"",0,0,1,0,0,1,0,0,0,False,False
2000066,"exit",0,"exits",0,1,1,0,0,1,0,0,0,False,False
2000067,"cultist orb",0,"cultist orbs",0,0,1,0,0,1,983181,0,0,True,True
2000068,"",0,"",0,0,1,0,0,1,0,0,1767,False,False
2000069,"",0,"",0,0,1,0,0,1,0,0,1767,False,False
2000070,"censer",0,"censers",0,0,1,0,0,3,65556,7,2076,True,False
2000071,"censer",0,"censers",0,0,1,0,0,3,65556,7,2076,True,False
2000072,"summoning bell",0,"summoning bells",0,0,1,0,0,3,720906,0,1624,True,False
2000073,"market board",0,"market boards",0,0,1,0,0,3,720935,0,1624,True,False
2000074,"※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000075,"※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000076,"※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000077,"※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000078,"※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000079,"※α未使用",0,"",0,0,1,0,0,3,0,7,1624,True,False
2000080,"Stone of Courage",0,"Stones of Courage",0,0,1,0,0,3,0,7,1853,True,False
2000081,"Watcher",0,"Watchers",0,0,1,0,0,3,0,7,1625,True,False
2000082,"Watcher",0,"Watchers",0,0,1,0,0,3,0,7,1625,True,False
2000083,"Watcher",0,"Watchers",0,0,1,0,0,3,0,7,1625,True,False
2000084,"Wailing Path",0,"Wailing Path",0,0,1,0,0,3,0,7,1625,True,False
2000085,"pristine waters",0,"pristine waters",0,0,1,0,0,3,0,7,1624,True,False
2000086,"ailing ancient",0,"ailing ancients",0,1,1,0,0,3,0,7,1625,True,False
2000087,"heavy oaken door",0,"heavy oaken doors",0,0,1,0,0,3,131083,0,0,True,False
2000088,"comfy feather bed",0,"comfy feather beds",0,0,1,0,0,3,720916,0,0,True,False
2000089,"trampled earth",0,"trampled earth",0,0,1,0,0,3,65592,7,2075,True,False
2000090,"Wailing Path",0,"Wailing Path",0,0,1,0,0,3,0,7,1625,True,False
2000091,"Wailing Path",0,"Wailing Path",0,0,1,0,0,3,0,7,1625,True,False
2000092,"Stone of Courage",0,"Stones of Courage",0,0,1,0,0,3,0,7,1853,True,False
2000093,"water-stained note",0,"water-stained notes",0,0,1,0,0,1,1048578,0,3237,True,False
2000094,"water-stained note",0,"water-stained notes",0,0,1,0,0,1,1048579,0,3237,True,False
2000095,"water-stained note",0,"water-stained notes",0,0,1,0,0,1,1048580,0,3237,True,False
2000096,"water-stained note",0,"water-stained notes",0,0,1,0,0,1,1048581,0,3237,True,False
2000097,"water-stained note",0,"water-stained notes",0,0,1,0,0,3,1048582,0,0,True,False
2000098,"water-stained note",0,"water-stained notes",0,0,1,0,0,1,1048583,0,3237,True,False
2000099,"water-stained note",0,"water-stained notes",0,0,1,0,0,1,1048584,0,3237,True,False
2000100,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983152,0,3203,True,False
2000101,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983153,0,3203,True,False
2000102,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983154,0,3203,True,False
2000103,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983155,0,3203,True,False
2000104,"magitek photocell",0,"magitek photocells",0,0,1,0,0,2,983182,0,3203,True,False
2000105,"magitek photocell",0,"magitek photocells",0,0,1,0,0,2,983183,0,3203,True,False
2000106,"magitek photocell",0,"magitek photocells",0,0,1,0,0,2,983184,0,3203,True,False
2000107,"magitek photocell",0,"magitek photocells",0,0,1,0,0,2,983185,0,3203,True,False
2000108,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983199,0,3203,True,False
2000109,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983200,0,3203,True,False
2000110,"magitek photocell",0,"magitek photocells",0,0,1,0,0,1,983201,0,3203,True,False
2000111,"",0,"",0,0,1,0,0,1,1114145,7,0,False,False
2000112,"",0,"",0,0,1,0,0,1,1114146,7,0,False,False
2000113,"",0,"",0,0,1,0,0,1,1114147,7,0,False,False
2000114,"",0,"",0,0,1,0,0,1,1114148,7,0,False,False
2000115,"",0,"",0,0,1,0,0,1,1114149,7,0,False,False
2000116,"magitek terminal",0,"magitek terminals",0,0,1,0,0,1,983046,0,1621,True,False
2000117,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000118,"magitek terminal",0,"magitek terminals",0,0,1,0,0,1,983047,0,1621,True,False
2000119,"magitek terminal",0,"magitek terminals",0,0,1,0,0,1,0,0,1621,True,False
2000120,"",0,"",0,0,1,0,0,3,0,7,0,False,False
2000121,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000122,"magitek terminal",0,"magitek terminals",0,0,1,0,0,1,0,0,1621,True,False
2000123,"magitek terminal",0,"magitek terminals",0,0,1,0,0,1,0,0,1621,True,False
2000124,"",0,"",0,0,1,0,0,3,1114118,7,0,False,False
2000125,"magitek transporter",0,"magitek transporters",0,0,1,0,0,1,983190,0,1623,True,False
2000126,"magitek transporter",0,"magitek transporters",0,0,1,0,0,3,983045,0,0,True,False
2000127,"magitek transporter",0,"magitek transporters",0,0,1,0,0,3,983045,0,0,True,False
2000128,"pollen cluster",0,"pollen clusters",0,0,1,0,0,3,1114114,7,1625,True,False
2000129,"pollen cluster",0,"pollen clusters",0,0,1,0,0,1,1114114,0,1666,False,False
2000130,"pollen cluster",0,"pollen clusters",0,0,1,0,0,2,0,0,1666,False,False
2000131,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000132,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000133,"",0,"",0,0,1,0,0,3,0,7,0,False,False
2000134,"",0,"",0,0,1,0,0,3,0,7,1624,False,False
2000135,"",0,"",0,0,1,0,0,3,0,7,1624,False,False
2000136,"faint footprints",0,"faint footprints",0,0,1,0,0,3,65606,7,1626,True,False
2000137,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000138,"",0,"",0,0,1,0,0,1,0,0,0,False,False
2000139,"exit",0,"exits",0,1,1,0,0,1,983045,0,1629,True,False
2000140,"tangled undergrowth",0,"tangled undergrowth",0,0,1,0,0,3,65707,7,1625,True,False
2000141,"survey records",0,"survey records",0,0,1,0,0,3,65711,7,1848,True,False
