key,0,1,2,3,4
#,,,,,
int32,uint32,uint32,uint32,uint32,uint32
0,0,0,0,0,0
1,210,210,2,5,5
2,344,344,4,10,10
3,610,610,6,15,15
4,946,946,8,20,20
5,1257,1257,10,25,25
6,1654,1654,12,30,30
7,1853,1853,14,35,35
8,1867,1867,16,40,40
9,2137,2137,18,45,45
10,2519,2519,20,50,50
11,2940,2940,22,55,55
12,3305,3305,24,60,60
13,3621,3621,26,65,65
14,3686,3686,28,70,70
15,4404,4404,30,75,75
16,4741,4741,32,80,80
17,5051,5051,34,85,85
18,5333,5333,36,90,90
19,5587,5587,38,95,95
20,6494,6494,40,100,100
21,6939,6939,42,105,105
22,7363,7363,44,110,110
23,7757,7757,46,115,115
24,8141,8141,48,120,120
25,9346,9346,50,125,125
26,10334,10334,52,130,130
27,11267,11267,54,135,135
28,12155,12155,56,140,140
29,13009,13009,58,145,145
30,14254,14254,60,150,150
31,14883,14883,62,155,155
32,15500,15500,64,160,160
33,16093,16093,66,165,165
34,16686,16686,68,170,170
35,18668,18668,70,175,175
36,19493,19493,72,180,180
37,20279,20279,74,185,185
38,21065,21065,76,190,190
39,21825,21825,78,195,195
40,24294,24294,80,200,200
41,24858,24858,82,205,205
42,25408,25408,84,210,210
43,25958,25958,86,215,215
44,26494,26494,88,220,220
45,28932,28932,90,225,225
46,30306,30306,92,230,230
47,31650,31650,94,235,235
48,32978,32978,96,240,240
49,34277,34277,98,245,245
50,0,0,100,250,250
51,0,0,102,0,0
52,0,0,104,0,0
53,0,0,106,0,0
54,0,0,108,0,0
55,0,0,110,0,0
56,0,0,112,0,0
57,0,0,114,0,0
58,0,0,116,0,0
59,0,0,118,0,0
60,0,0,120,0,0
61,0,0,122,0,0
62,0,0,124,0,0
63,0,0,126,0,0
64,0,0,128,0,0
65,0,0,130,0,0
66,0,0,132,0,0
67,0,0,134,0,0
68,0,0,136,0,0
69,0,0,138,0,0
70,0,0,140,0,0
71,0,0,142,0,0
72,0,0,144,0,0
73,0,0,146,0,0
74,0,0,148,0,0
75,0,0,150,0,0
76,0,0,152,0,0
77,0,0,154,0,0
78,0,0,156,0,0
79,0,0,158,0,0
80,0,0,160,0,0
81,0,0,162,0,0
82,0,0,164,0,0
83,0,0,166,0,0
84,0,0,168,0,0
85,0,0,170,0,0
86,0,0,172,0,0
87,0,0,174,0,0
88,0,0,176,0,0
89,0,0,178,0,0
90,0,0,180,0,0
91,0,0,182,0,0
92,0,0,184,0,0
93,0,0,186,0,0
94,0,0,188,0,0
95,0,0,190,0,0
96,0,0,192,0,0
97,0,0,194,0,0
98,0,0,196,0,0
99,0,0,198,0,0
100,0,0,200,0,0
101,0,0,202,0,0
102,0,0,204,0,0
103,0,0,206,0,0
104,0,0,208,0,0
105,0,0,210,0,0
106,0,0,212,0,0
107,0,0,214,0,0
108,0,0,216,0,0
109,0,0,218,0,0
110,0,0,220,0,0
111,0,0,222,0,0
112,0,0,224,0,0
113,0,0,226,0,0
114,0,0,228,0,0
115,0,0,230,0,0
116,0,0,232,0,0
117,0,0,234,0,0
118,0,0,236,0,0
119,0,0,238,0,0
120,0,0,240,0,0
121,0,0,242,0,0
122,0,0,244,0,0
123,0,0,246,0,0
124,0,0,248,0,0
125,0,0,250,0,0
126,0,0,252,0,0
127,0,0,254,0,0
128,0,0,256,0,0
129,0,0,258,0,0
130,0,0,260,0,0
131,0,0,262,0,0
132,0,0,264,0,0
133,0,0,266,0,0
134,0,0,268,0,0
135,0,0,270,0,0
136,0,0,272,0,0
137,0,0,274,0,0
138,0,0,276,0,0
139,0,0,278,0,0
140,0,0,280,0,0
141,0,0,282,0,0
142,0,0,284,0,0
143,0,0,286,0,0
144,0,0,288,0,0
145,0,0,290,0,0
146,0,0,292,0,0
147,0,0,294,0,0
148,0,0,296,0,0
149,0,0,298,0,0
150,0,0,300,0,0
