key,0,1,2,3,4
#,,,,,
int32,int32,int32,uint32,uint32,int32
0,0,0,1,0,0
1,0,0,1,0,0
2,1619,1,1,940,2
3,1691,1,1,940,2
4,1761,1,1,940,2
5,1830,1,1,940,2
6,1903,1,1,940,2
7,2008,1,1,940,2
8,2114,1,1,940,2
9,0,0,0,0,0
10,1630,4,1,2350,2
11,1703,4,1,2350,2
12,1773,4,1,2350,2
13,1842,4,1,2350,2
14,1912,4,1,2350,2
15,2018,4,1,2350,2
16,2074,4,1,2350,2
17,0,0,0,0,0
18,1646,6,1,3290,2
19,1714,6,1,3290,2
20,1784,6,1,3290,2
21,1853,6,1,3290,2
22,1923,6,1,3290,2
23,2029,6,1,3290,2
24,2127,6,1,3290,2
25,0,0,0,0,0
26,1654,7,1,3760,2
27,1721,7,1,3760,2
28,1791,7,1,3760,2
29,1790,7,1,3760,2
30,1859,7,1,3760,2
31,1860,7,1,3760,2
32,1929,7,1,3760,2
33,2034,7,1,3760,2
34,2085,7,1,3760,2
35,2086,7,1,3760,2
36,0,0,0,0,0
37,1726,8,1,4230,2
38,1794,8,1,4230,2
39,1865,8,1,4230,2
40,1935,8,1,4230,2
41,2037,8,1,4230,2
42,2091,8,1,4230,2
43,0,0,0,0,0
44,1668,9,1,4700,2
45,1738,9,1,4700,2
46,1808,9,1,4700,2
47,1877,9,1,4700,2
48,1947,9,1,4700,2
49,1990,9,1,4700,2
50,2100,9,1,4700,2
51,0,0,0,0,0
52,0,0,0,0,0
53,2716,1,1,640,3
54,3048,1,1,980,3
55,3566,1,1,620,3
56,3797,1,1,680,3
57,3073,2,1,1470,3
58,3072,2,1,1470,3
59,3815,2,1,1020,3
60,3814,2,1,1020,3
61,3816,2,1,1020,3
62,3994,2,1,660,3
63,4437,2,1,600,3
64,2253,3,1,1800,3
65,3084,3,1,1960,3
66,3082,3,1,1960,3
67,3085,3,1,1960,3
68,3083,3,1,1960,3
69,3592,3,1,1240,3
70,3359,3,1,1360,3
71,3360,3,1,1360,3
72,4319,3,1,960,3
73,3593,3,1,1280,3
74,3591,3,1,1280,3
75,2761,4,1,1600,3
76,3113,4,1,2450,3
77,3114,4,1,2450,3
78,3112,4,1,2450,3
79,3375,4,1,1700,3
80,4123,4,1,1600,3
81,3393,5,1,2040,3
82,3392,5,1,2040,3
83,3391,5,1,2040,3
84,4027,5,1,1320,3
85,4229,5,1,1680,3
86,2266,6,1,3150,3
87,3633,6,1,2170,3
88,3635,6,1,2170,3
89,3634,6,1,2170,3
90,4128,6,1,2240,3
91,2275,7,1,3600,3
92,3156,7,1,3920,3
93,3155,7,1,3920,3
94,3154,7,1,3920,3
95,3876,7,1,2720,3
96,3877,7,1,2720,3
97,3875,7,1,2720,3
98,4355,7,1,1920,3
99,2283,8,1,4050,3
100,2284,8,1,4050,3
101,2843,8,1,2880,3
102,2842,8,1,2880,3
103,2845,8,1,2880,3
104,2844,8,1,2880,3
105,3437,8,1,3060,3
106,3436,8,1,3060,3
107,3438,8,1,3060,3
108,4252,8,1,2520,3
109,4490,8,1,1800,3
110,4491,8,1,1800,3
111,4495,8,1,1800,3
112,2917,9,1,3200,3
113,3246,9,1,4900,3
114,3703,9,1,3100,3
115,3924,9,1,3400,3
116,4564,1,1,45,1
117,4566,1,1,105,1
118,4568,1,1,360,1
119,4567,1,1,600,1
120,4561,1,1,795,1
121,6017,1,1,1000,1
122,5594,2,5,30,1
123,5595,2,5,150,1
124,4632,2,1,600,1
125,4633,2,1,600,1
126,6020,3,1,1500,1
127,5596,5,5,345,1
128,6021,5,1,2000,1
129,5597,7,5,1500,1
130,6022,7,1,2500,1
131,4634,8,1,900,1
132,4635,8,1,900,1
133,5598,8,5,1740,1
134,4636,8,1,3600,1
135,0,0,1,0,0
136,0,0,1,0,0
137,1618,1,1,940,2
138,1690,1,1,940,2
139,1760,1,1,940,2
140,1829,1,1,940,2
141,1902,1,1,940,2
142,2007,1,1,940,2
143,2113,1,1,940,2
144,0,0,0,0,0
145,1629,4,1,2350,2
146,1702,4,1,2350,2
147,1772,4,1,2350,2
148,1841,4,1,2350,2
149,1911,4,1,2350,2
150,2017,4,1,2350,2
151,2073,4,1,2350,2
152,0,0,0,0,0
153,1645,6,1,3290,2
154,1713,6,1,3290,2
155,1783,6,1,3290,2
156,1852,6,1,3290,2
157,1922,6,1,3290,2
158,2028,6,1,3290,2
159,2081,6,1,3290,2
160,0,0,0,0,0
161,1653,7,1,3760,2
162,1720,7,1,3760,2
163,1719,7,1,3760,2
164,1789,7,1,3760,2
165,1858,7,1,3760,2
166,1928,7,1,3760,2
167,1980,7,1,3760,2
168,2033,7,1,3760,2
169,2129,7,1,3760,2
170,0,0,0,0,0
171,1725,8,1,4230,2
172,1793,8,1,4230,2
173,1864,8,1,4230,2
174,1934,8,1,4230,2
175,2036,8,1,4230,2
176,2090,8,1,4230,2
177,0,0,0,0,0
178,1667,9,1,4700,2
179,1737,9,1,4700,2
180,1807,9,1,4700,2
181,1876,9,1,4700,2
182,1946,9,1,4700,2
183,1989,9,1,4700,2
184,2099,9,1,4700,2
185,0,0,0,0,0
186,0,0,0,0,0
187,2715,1,1,640,3
188,3047,1,1,980,3
189,3565,1,1,620,3
190,3796,1,1,680,3
191,3071,2,1,1470,3
192,3070,2,1,1470,3
193,3812,2,1,1020,3
194,3811,2,1,1020,3
195,3813,2,1,1020,3
196,3993,2,1,660,3
197,4436,2,1,600,3
198,2252,3,1,1800,3
199,3080,3,1,1960,3
200,3081,3,1,1960,3
201,3078,3,1,1960,3
202,3079,3,1,1960,3
203,3589,3,1,1240,3
204,3588,3,1,1240,3
205,3590,3,1,1240,3
206,3357,3,1,1360,3
207,3358,3,1,1360,3
208,4319,3,1,960,3
209,2760,4,1,1600,3
210,3110,4,1,2450,3
211,3109,4,1,2450,3
212,3111,4,1,2450,3
213,3374,4,1,1700,3
214,4123,4,1,1600,3
215,3390,5,1,2040,3
216,3388,5,1,2040,3
217,3389,5,1,2040,3
218,4026,5,1,1320,3
219,4228,5,1,1680,3
220,2265,6,1,3150,3
221,3630,6,1,2170,3
222,3632,6,1,2170,3
223,3631,6,1,2170,3
224,4127,6,1,2240,3
225,2273,7,1,3600,3
226,2274,7,1,3600,3
227,3153,7,1,3920,3
228,3151,7,1,3920,3
229,3152,7,1,3920,3
230,3873,7,1,2720,3
231,3874,7,1,2720,3
232,3872,7,1,2720,3
233,4354,7,1,1920,3
234,2281,8,1,4050,3
235,2282,8,1,4050,3
236,2839,8,1,2880,3
237,2838,8,1,2880,3
238,2841,8,1,2880,3
239,2840,8,1,2880,3
240,3434,8,1,3060,3
241,3433,8,1,3060,3
242,3435,8,1,3060,3
243,4251,8,1,2520,3
244,4488,8,1,1800,3
245,4489,8,1,1800,3
246,4494,8,1,1800,3
247,2916,9,1,3200,3
248,3245,9,1,4900,3
249,3702,9,1,3100,3
250,3923,9,1,3400,3
251,4564,1,1,45,1
252,4566,1,1,105,1
253,4568,1,1,360,1
254,4567,1,1,600,1
255,4562,1,1,795,1
256,6018,1,1,1000,1
257,5594,2,5,30,1
258,5595,2,5,150,1
259,4632,2,1,600,1
260,4633,2,1,600,1
261,6023,3,1,1500,1
