key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,bool,bool,bool,bool,bool,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"Greetings, adventurer. I deal in the issuing of guildleves.","My apologies, <If(PlayerParameter(4))>ma'am<Else/>sir</If>, but I am not authorized to issue guildleves to those as new to adventuring as you appear to be.","The quest you were assigned is of the utmost import. May the Matron see you to success.","0","0","0","0","0"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"If it is a guildleve you seek, then I may just have the right one for you.","My records show that you have only recently arrived in Eorzea. I am sorry, but I cannot entrust you with the responsibility of a levequest until you have proven yourself to at least <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi</Case></Switch> of the Adventurers' Guild.","Good luck, and may the Twelve be with you.","My records show that you have only recently arrived to the area. I am sorry, but I cannot entrust you with the responsibility of a levequest until you have proven yourself to at least <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi</Case></Switch> of the Adventurer's Guild.","Let me see here... Ah, yes. Our levewatches report that you completed all leve objectives within the allotted time. Well done, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Let me ready your reward.","0","0","It addition to the objectives, it also seems you have found the time to slay a wanted target. Well done, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! The bounty is yours!"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Here fer the leves, are ye? Well, then ye come to the right place. I has leves comin' out me arse...er, figuratively speakin', of course.","Here fer the leves, are ye? Well, then ye come to the wrong place. You ain't straight with <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi</Case></Switch>, you ain't straight with me. Now git, afore I call me a Wailer.","Luck of the Spinner to ye, <If(PlayerParameter(4))>lass<Else/>lad</If>.","Here fer the leves, are ye? Well, then ye come to the wrong place. Ye don't look as if ye could stand yer ground against a squirrel, let alone the beasties we has lurkin' in these woods. Now git yer green arse back to grindin' afore the diremites find ye. Heh heh heh!","Back already, are ye? I suppose ye'll be wantin' yer reward now.","0","0","Watches tell me ye went and stuck ye a wanted target, to boot. I suppose ye'll be wantin' the bounty with yer reward, then, eh?"
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"There is work to be had, if you are interested, my friend.","I have no work for you, adventurer. Hone your skills, and then come and see me again once <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi</Case></Switch> of the Adventurer's Guild has deemed you worthy.","Do not stray from duty, adventurer. I suggest seeing to the tasks at hand immediately.","I have no work for you, adventurer. Hone your skills, and then come and see me again once you've proven you can stand your ground against the creatures roaming these parts.","Your performance was noted by the local levewatches. I shall prepare your reward accordingly.","0","0","And do not fret. The bounty for the wanted creature you slew has been added."
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"The people of the Twelveswood need your help, adventurer. Have you the courage to provide it?","The people of the Twelveswood are always looking for those willing to assist them. Unfortunately, you still look a tad green to be of any real help. Now if <Switch(IntegerParameter(1))><Case(1)>someone such as Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>someone such as Momodi Modi</Case></Switch> were to vouch for you, that would be a different story...","The quest you were assigned is of the utmost import. May the Matron see you to success.","The people of the Twelveswood are always looking for those willing to assist them. Unfortunately, you still look a tad green to be of any real help. Now if <Switch(IntegerParameter(1))><Case(1)>someone such as Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>someone such as Momodi Modi</Case></Switch> were to vouch for you, that would be a different story...","Well done, adventurer. The levewatch overseeing your duty was thoroughly impressed. You may take your reward.","0","0","Oh, and I have seen to it that the bounty of the wanted target you most bravely slew was included."
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Welcome, welcome! The people of the Black Shroud are in desperate need of a <If(PlayerParameter(4))>woman<Else/>man</If> of your talents. Might I interest you in a leve or two?","Welcome, welcome! The people of the Black Shroud are in constant need of a helping hand. Might you know of anyone talented in the arts of battle or spellcraft? You? Oh no, <Switch(IntegerParameter(1))><Case(1)>Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch> would have my head on a platter if I were to allow one as green as you take on the tasks I've been entrusted.","Godsspeed to you then!","Welcome, welcome! The people of the Black Shroud are in constant need of a helping hand. Might you know of anyone talented in the arts of battle or spellcraft? You? Oh no, the guildmaster would have my head on a platter if I were to allow one as green as you take on the tasks I've been entrusted.","Excellent. The levewatches have reported, and I have used their evaluation to tally your reward.","0","0","The extra gil you see included is the bounty for the wanted target you slew."
7,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Greetings, adventurer. I deal in the issuing of guildleves.","My apologies, <If(PlayerParameter(4))>ma'am<Else/>sir</If>, but I am not authorized to issue guildleves to those as new to adventuring as you appear to be. Perhaps you should <Switch(IntegerParameter(1))><Case(1)>return to Limsa Lominsa and speak with Baderon Tenfingers of the Drowning Wench</Case><Case(2)>return to Gridania and speak with Mother Miounne of the Carline Canopy</Case><Case(3)>speak with Momodi Modi across the hall</Case></Switch> and see if she cannot point you in the right direction.","May the Traders see you to fortune.","My apologies, <If(PlayerParameter(4))>ma'am<Else/>sir</If>, but I am not authorized to issue guildleves to those as new to adventuring as you appear to be. It might serve you well to step outside the city walls and see the world before running headlong into tasks that will only put your precious life in danger.","I take it the quest was a success. Or, at least that is what the levewatches tell me. I have your reward right here.","0","0","Ah, and the extra coin─that is the bounty you earned by slaying the wanted target. The Brass Blades extend their gratitude for your service to the sultanate."
