key,0
#,
int32,str
0,""
1,"Pugilist's Arm"
2,"Gladiator's Arm"
3,"Marauder's Arm"
4,"Archer's Arm"
5,"Lancer's Arm"
6,"Thaumaturge's Arm"
7,"Two--handed Thaumaturge's Arm"
8,"Conjurer's Arm"
9,"Two--handed Conjurer's Arm"
10,"Arcanist's Grimoire"
11,"Shield"
12,"Carpenter's Primary Tool"
13,"Blacksmith's Primary Tool"
14,"Armorer's Primary Tool"
15,"Goldsmith's Primary Tool"
16,"Leatherworker's Primary Tool"
17,"Weaver's Primary Tool"
18,"Alchemist's Primary Tool"
19,"Culinarian's Primary Tool"
20,"Miner's Primary Tool"
21,"Botanist's Primary Tool"
22,"Fisher's Primary Tool"
23,"Carpenter's Secondary Tool"
24,"Blacksmith's Secondary Tool"
25,"Armorer's Secondary Tool"
26,"Goldsmith's Secondary Tool"
27,"Leatherworker's Secondary Tool"
28,"Weaver's Secondary Tool"
29,"Alchemist's Secondary Tool"
30,"Culinarian's Secondary Tool"
31,"Miner's Secondary Tool"
32,"Botanist's Secondary Tool"
33,"Fisher's Secondary Tool"
34,"Throwing Weapon"
35,"Head"
36,"Body"
37,"Hands"
38,"Waist"
39,"Legs"
40,"Feet"
41,"Undershirt"
42,"Undergarment"
43,"Earrings"
44,"Necklace"
45,"Bracelets"
46,"Ring"
47,"Crystal"
48,"Materia"
49,"Material"
50,"Food"
51,"Enhancement"
52,"Curative"
53,"[en]"
54,"Enfeeblement"
55,"Medicine"
56,""
57,""
58,""
59,""
60,""
61,""
