key,0,1,2
#,,,
int32,uint16,str,str
0,0,"",""
1,0,"Shapeless Melody",""
2,1,"Treasures of the Main",""
3,2,"Legends Adrift",""
4,3,"Never the Twain Shall Meet",""
5,4,"Sundered Skies",""
6,5,"Souls Gone Wild",""
7,6,"Whispers in the Wood",""
8,7,"Beckon of the Elementals",""
9,8,"Flowers for All",""
10,9,"Court in the Sands",""
11,10,"Golden Sacrifices",""
12,11,"Calamity Cometh",""
13,12,"Fade to White",""
14,13,"Together We Stand",""
15,14,"Toll of the Warden",""
16,15,"Forever Taken",""
17,16,"Lord Errant",""
18,17,"Of Men They Sing",""
19,18,"Futures Perfect",""
20,59,"The House Always Wins",""
21,60,"Here There Be Pirates",""
22,61,"Two Sides to Every Chip",""
23,79,"All Bark and No Bite",""
24,80,"Unalienable Rights",""
25,81,"Thrill of the Fight",""
26,99,"Bloody Baptism",""
27,100,"Two-man Crew",""
28,101,"Captain's Orders",""
29,139,"Getting Started",""
30,140,"Getting Started",""
31,141,"Getting Started",""
32,143,"Selecting a Different Path Companion",""
33,159,"Filling the Quiver",""
34,160,"The Foreboding Forest",""
35,161,"There Can Be Only One",""
36,179,"A Wailing Welcome",""
37,180,"Culture Shock",""
38,181,"Necessary Evils",""
39,239,"The Big Payback",""
40,240,"Revelry in Rivalry",""
41,241,"Law and the Order",""
42,259,"Dendrological Duties",""
43,260,"Good Knight, Sweet Dreams",""
44,261,"The Call of Nature",""
45,299,"The Mouths of Babes",""
46,300,"Hide and Seek Shenanigans",""
47,301,"Spanning the Spectrum",""
48,319,"An Ear for Quality",""
49,320,"Song of the Sirens",""
50,321,"The Sound of Silence",""
51,359,"She Walks in Beauty",""
52,360,"F'lhaminn's Flower",""
53,361,"Struck Through the Heart",""
54,379,"The Silent Partners",""
55,380,"Designer Imposters",""
56,381,"Head of the Class",""
57,399,"Hoodwinked",""
58,400,"Dance the Night Away",""
59,401,"A Fruitful Murder",""
60,419,"Sleep, Cousin of Death",""
61,420,"The Boy and the Dragon Gay",""
62,421,"Dream On, Dream Away",""
63,439,"Showdown",""
64,440,"Mystery of the Gastronome Gone Home",""
65,441,"Something in the Soup",""
66,459,"A Piece of History",""
67,460,"Little Saboteurs",""
68,461,"Runaway Little Girl",""
69,479,"Gridanian Roots",""
70,480,"The Grass is Always Greener",""
71,481,"A Moogle Bouquet",""
72,499,"To Fight a Fishback",""
73,500,"The Beast of the Barrel",""
74,501,"Polishing the Mast",""
75,626,"Ifrit Bleeds, We Can Kill It",""
76,632,"Assessing the Damage",""
77,633,"Bridging the Gap",""
78,635,"Revenge on the Reavers",""
79,637,"Till Death Do Us Part",""
80,638,"Beryl Overboard",""
81,639,"Have You Seen My Son",""
82,640,"Food for Thought",""
83,641,"Seashells by the Seashore",""
84,642,"Fishing for Answers",""
85,643,"Moonstruck",""
86,645,"A Misty Past",""
87,647,"Carving a Name",""
88,652,"The Tug of the Whorl",""
89,653,"Proceed with Caution",""
90,654,"Playing with Fire",""
91,655,"A Well-Balanced Diet",""
92,657,"The Penultimate Prank",""
93,658,"The Search for Sicksa",""
94,659,"The Ultimate Prank",""
95,661,"Say it with Wolf Tails",""
96,662,"Embarrassing Excerpts",""
97,663,"A Forbidden Love",""
98,664,"Last Respects",""
99,665,"Stone Deaf",""
100,666,"Hunting the Hunters",""
101,667,"To Deskunk a Beer",""
102,668,"Losing One's Thread",""
103,673,"Seeing the Seers",""
104,674,"A Knock in the Night",""
105,675,"Sleepless in Eorzea",""
106,676,"Dressed to Be Killed",""
107,678,"The Customer Comes First",""
108,679,"An Inconvenient Dodo",""
109,680,"Besmitten and Besmirched",""
110,681,"Clasping to Hope",""
111,682,"Traumaturgy",""
112,683,"Best Flower Ever",""
113,684,"The Unheard Horizon",""
114,685,"Freedom Isn't Free",""
115,686,"Ore for an Ore",""
116,689,"No Other Dodo Will Do",""
117,694,"A Call to Arms",""
118,705,"Counting Sheep",""
119,706,"A Hypocritical Oath",""
120,707,"Blood Price",""
121,725,"Quid Pro Quo",""
122,726,"There Might Be Blood",""
123,727,"Cutthroat Prices",""
124,733,"Monster of Maw Most Massive",""
125,734,"Scrubbing the Soul",""
126,735,"Disorganized Crime",""
127,736,"A Slippery Stone",""
128,743,"Winds of Change",""
129,744,"Shot Through the Heart",""
130,745,"What a Pirate Wants",""
131,752,"Of Archons and Muses",""
132,753,"Sanguine Studies",""
133,754,"Secrets Unearthed",""
134,755,"Rustproof",""
135,761,"In the Name of Science",""
136,762,"Hearing Confession",""
137,763,"A Bitter Oil to Swallow",""
138,764,"Spores on the Brain",""
139,770,"Trading Tongueflaps",""
140,771,"Letting Out Orion's Belt",""
141,772,"Sour Grapes",""
142,773,"Sniffing Out a Profit",""
143,788,"The Dreamer's Gospel (Ul'dah)",""
144,789,"The Dreamer's Dilemma (Ul'dah)",""
145,793,"The Dreamer's Gospel (Gridania)",""
146,794,"The Dreamer's Dilemma (Gridania)",""
147,798,"The Heat Is On",""
148,799,"Impish Impositions",""
149,800,"Winter Is Not Coming",""
150,801,"Gone with the Snow",""
151,803,"The Dreamer's Gospel (Limsa Lominsa)",""
152,804,"The Dreamer's Dilemma (Limsa Lominsa)",""
153,808,"Guild Tasks",""
154,809,"Call of Booty",""
155,810,"Risky Business",""
156,811,"Forging the Spirit",""
157,812,"Joining the Spirit",""
158,813,"Waking the Spirit",""
159,815,"A Feast of Fools",""
160,816,"Provisioning & Supply Missions",""
161,817,"A Light in the Dark",""
162,818,"What Glitters Always Isn't Gold",""
163,820,"the Thousand Maws of Toto--Rak",""
164,821,"Dzemael Darkhold",""
165,822,"Aurum Vale",""
166,823,"Cutter's Cry",""
167,827,"Waste Not Want Not",""
168,828,"In Plain Sight",""
169,837,"The Ink Thief",""
170,838,"Private Eyes",""
171,839,"Mysteries of the Red Moon",""
172,840,"Prophecy Inspection",""
173,847,"Ring of Deceit",""
174,848,"The Usual Suspect",""
175,857,"Seasonal Event",""
176,858,"Scrambled Eggs",""
177,859,"Bombard Backlash",""
178,860,"Seasonal Event (All City-states)",""
179,861,"Hamlet Defense",""
180,862,"Class is in Session",""
181,866,"Taming the Tempest",""
182,867,"A Relic Reborn",""
183,868,"Living on a Prayer",""
184,869,"The Raven, Nevermore",""
185,1200,"Pride and Duty (Will Take You from the Mountain)",""
186,1201,"Embracing the Beast",""
187,1202,"Curious Gorge Goes to the Bazaar",""
188,1203,"Looking the Part",""
189,1204,"Proof is in the Pudding",""
190,1205,"How to Quit You",""
191,1220,"Brother from Another Mother",""
192,1221,"Insulted Intelligence",""
193,1222,"The Pursuit of Power",""
194,1223,"Good Vibrations",""
195,1224,"Five Easy Pieces",""
196,1225,"Return of the King...of Ruin",""
197,1240,"Seeds of Initiative",""
198,1241,"When Sheep Attack",""
199,1242,"Lost in Rage",""
200,1243,"The Wheel of Disaster",""
