key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,byte,byte,sbyte,byte,uint16,str,single,int32,int32,int32,int16,uint32,bool,uint16
0,0,0,0,0,50000,"",1,0,0,0,-1,0,False,0
1,0,0,0,1,1000,"default/00",1,21,21,0,-1,0,False,1
2,2,2,0,1,2000,"f1t1/00",2,24,52,0,-1,0,False,132
3,2,3,0,1,3000,"f1t2/00",2,24,53,0,-1,0,False,133
4,2,4,0,1,4000,"f1f1/00",1,24,54,0,0,16382,True,148
5,2,5,0,1,5000,"f1f2/00",1,24,55,0,1,1048574,True,152
6,2,6,0,1,6000,"f1f3/00",1,24,56,0,2,131070,True,153
7,2,7,0,1,7000,"f1f4/00",1,24,57,0,3,131070,True,154
8,2,8,0,1,8000,"f1d1/00",3,24,58,0,4,4094,True,164
9,2,9,0,1,10000,"f1r1/00",2,24,61,0,5,16382,True,169
10,0,0,0,1,9000,"f1f1/01",2,24,106,0,-1,0,False,0
11,1,2,1,1,20000,"s1t1/01",2,22,28,0,-1,0,False,128
12,1,3,0,1,21000,"s1t2/00",2,22,29,0,-1,0,False,129
13,3,2,1,1,13000,"w1t1/01",2,23,40,0,-1,0,False,130
14,3,3,1,1,14000,"w1t2/01",2,23,41,373,-1,0,False,131
15,1,4,0,1,22100,"s1f1/00",1,22,30,0,18,254,True,134
16,1,5,0,1,22200,"s1f2/00",1,22,31,0,10,2046,True,135
17,1,6,0,1,22300,"s1f3/00",1,22,32,0,19,32766,True,137
18,1,7,0,1,22400,"s1f4/00",1,22,33,0,20,1048574,True,138
19,1,8,0,1,22500,"s1f5/00",1,22,34,0,21,510,True,139
20,3,4,0,1,12100,"w1f1/00",1,23,42,0,12,8190,True,140
21,3,5,0,1,12000,"w1f2/00",1,23,43,0,6,16382,True,141
22,3,6,0,1,12200,"w1f3/00",1,23,44,0,13,262142,True,145
23,3,7,1,1,12300,"w1f4/01",1,23,45,0,14,1048574,True,146
24,3,8,0,1,12400,"w1f5/00",1,23,46,0,15,510,True,147
25,0,0,0,1,35000,"l1f1/00",1,26,67,0,-1,0,False,156
26,0,0,0,1,50000,"s1ti/00",8,22,733,0,-1,0,False,177
27,0,0,0,1,50000,"w1ti/00",8,23,617,0,-1,0,False,178
28,0,0,0,1,50000,"f1ti/00",8,24,548,0,-1,0,False,179
29,0,0,0,1,50000,"default/00",2,0,0,0,-1,0,False,22
30,1,9,0,1,22600,"s1f6/00",1,22,350,0,22,510,True,180
31,1,10,0,1,22700,"s1d1/00",2,22,35,0,11,4094,True,157
32,0,0,0,1,22900,"s1d3/00",2,22,37,0,-1,0,False,159
33,0,0,0,1,50000,"s1fa/00",4,22,359,0,-1,0,False,206
34,3,9,1,1,12500,"w1d1/01",2,23,48,599,8,6,True,161
35,0,0,0,1,50000,"w1fa/00",4,23,357,0,-1,0,False,202
36,0,0,0,1,50000,"f1fa/00",4,24,360,0,-1,0,False,207
37,0,0,0,1,31000,"r1d1/00",2,25,66,0,-1,0,False,168
38,0,0,0,1,31200,"r1r2/00",2,25,65,0,-1,0,False,172
39,0,0,0,1,50000,"r1fa/00",4,25,361,0,-1,0,False,208
40,3,9,2,1,12503,"w1d1/02",2,23,48,601,8,8184,True,161
41,3,9,3,1,12510,"w1d1/03",2,23,48,372,8,516096,True,161
42,0,0,0,1,12700,"w1d3/01",2,23,50,0,-1,0,False,163
43,0,0,0,1,12701,"w1d3/02",2,23,50,0,-1,0,False,163
44,0,0,0,1,12702,"w1d3/03",2,23,50,0,-1,0,False,163
45,1,11,0,1,22800,"s1d2/00",2,22,36,0,16,65534,True,158
46,3,10,0,1,12600,"w1d2/00",2,23,49,0,17,1022,True,162
47,0,0,0,1,12800,"w1d4/00",2,23,260,0,-1,0,False,217
48,2,10,2,1,8104,"f1d2/01",2,24,59,599,7,510,True,162
49,0,0,0,1,8200,"f1d3/00",2,24,60,0,-1,0,False,167
50,0,0,0,1,31100,"r1r1/00",2,25,64,0,-1,0,False,171
51,0,0,0,1,23000,"s1p1/00",2,22,358,0,-1,0,False,250
52,0,0,0,1,16000,"w1r1/00",2,23,47,0,-1,0,False,170
53,0,0,0,1,30000,"r1f1/00",1,25,63,0,-1,0,False,155
54,2,10,1,1,8100,"f1d2/02",2,24,59,600,7,1966080,True,162
55,2,10,3,1,8111,"f1d2/03",2,24,59,601,7,130560,True,162
56,0,0,0,1,12900,"w1d5/00",2,23,333,0,-1,0,False,224
57,0,0,0,1,50000,"s1b1/00",2,0,0,0,-1,0,False,241
58,0,0,0,1,50000,"s1b2/00",2,0,0,0,-1,0,False,242
59,0,0,0,1,50000,"s1b4/00",2,0,0,0,-1,0,False,244
60,0,0,0,1,50000,"s1b5/00",2,0,0,0,-1,0,False,245
61,0,0,0,1,50000,"s1b7/00",2,0,0,0,-1,0,False,247
62,0,0,0,1,50000,"s1b3/01",2,0,0,0,-1,0,False,243
63,0,0,0,1,50000,"s1b3/02",2,0,0,0,-1,0,False,243
64,0,0,0,1,50000,"s1b3/03",2,0,0,0,-1,0,False,243
65,0,0,0,1,50000,"s1b6/01",2,0,0,0,-1,0,False,246
66,0,0,0,1,50000,"s1b6/02",2,0,0,0,-1,0,False,246
67,0,0,0,1,50000,"s1b6/03",2,0,0,0,-1,0,False,246
68,0,0,0,1,11000,"f1e4/00",8,24,346,0,-1,0,False,204
69,0,0,0,1,11010,"f1e5/00",4,24,347,0,-1,0,False,205
70,3,2,2,1,15000,"w1t1/02",2,23,40,0,-1,0,False,130
71,0,0,0,1,36000,"l1r1/00",2,0,0,0,-1,0,False,174
72,0,0,0,1,50000,"s1h1/00",2,0,0,0,-1,0,False,136
73,3,3,2,1,15100,"w1t2/02",2,23,41,698,-1,0,False,131
74,1,2,2,1,22000,"s1t1/02",2,22,28,0,-1,0,False,128
75,0,0,0,1,11020,"s1e4/00",8,22,351,0,-1,0,False,198
76,0,0,0,1,11030,"s1e5/00",4,22,352,0,-1,0,False,199
77,0,0,0,1,11040,"s1e6/00",4,22,353,0,-1,0,False,200
78,0,0,0,1,11050,"w1e4/00",4,23,354,0,-1,0,False,210
