key,0,1,2,3,4,5,6,7
#,,,,,,,,
int32,byte,int16,int16,int32,int32,int32,byte,uint16
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,1,256,128,60436,153,3,0,0
5,0,300,500,60436,152,2,0,0
6,0,500,600,60436,151,1,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
1000,1,256,128,60436,151,1,0,0
1001,0,300,500,60436,152,2,0,0
1002,0,500,600,60436,151,1,0,0
1003,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0
2000,1,1078,1222,60436,548,2,0,0
2001,0,1078,1260,60314,547,3,0,0
2002,0,1035,1280,60352,549,1,0,0
2003,0,1025,1058,60442,551,1,0,0
2004,0,1326,1329,60442,552,4,0,0
2005,0,948,1130,60321,554,4,0,0
2006,0,1010,1205,60442,556,1,0,0
2007,0,878,1130,60442,557,1,0,0
2008,0,793,1199,60442,559,4,0,0
2009,0,985,1238,60442,560,1,0,0
2010,0,1460,1102,60320,563,2,0,0
2011,0,950,925,0,585,2,0,0
2012,0,935,1315,0,587,2,0,0
2013,0,1094,1080,60453,590,2,0,0
2014,0,886,1010,60552,591,4,0,0
2015,0,1085,1160,60311,593,2,0,0
2016,0,1225,1054,60441,53,2,1,3
2017,0,1046,998,60441,53,2,1,3
2018,0,815,1044,60441,53,1,1,3
2019,0,792,1211,0,54,0,0,0
2020,0,1364,1348,60441,54,2,1,4
2021,0,1364,1348,0,54,0,0,0
2022,0,1001,1024,60412,0,2,0,0
2023,0,1074,1207,60434,0,2,0,0
2024,0,991,1110,60412,0,2,0,0
2025,0,1356,1199,60430,0,2,0,0
2026,0,1050,1028,60412,0,2,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0
3000,1,1350,773,60442,564,2,0,0
3001,0,1350,888,60442,565,2,0,0
3002,0,1156,698,60326,568,4,0,0
3003,0,1189,863,60442,569,3,0,0
3004,0,1350,477,60322,572,4,0,0
3005,0,1233,582,60442,573,4,0,0
3006,0,1224,416,60442,574,4,0,0
3007,0,1012,540,60442,575,4,0,0
3008,0,512,977,60319,578,4,0,0
3009,0,705,993,60442,579,4,0,0
3010,0,926,843,60442,580,4,0,0
3011,0,549,733,60318,582,4,0,0
3012,0,834,691,60442,584,2,0,0
3013,0,920,935,0,585,2,0,0
3014,0,1560,710,0,586,2,0,0
3015,0,1389,543,60456,595,2,0,0
3016,0,1305,981,60441,52,3,1,2
3017,0,1053,849,60441,52,3,1,2
3018,0,767,952,60441,52,4,1,2
3019,0,590,832,60441,57,4,1,7
3020,0,1352,904,60412,0,2,0,0
3021,0,1361,876,60412,0,2,0,0
3022,0,1332,889,60412,0,2,0,0
3023,0,1342,870,60412,0,2,0,0
3024,0,1363,786,60412,0,2,0,0
3025,0,1342,795,60412,0,2,0,0
3026,0,1336,779,60412,0,2,0,0
3027,0,1351,758,60412,0,2,0,0
3028,0,1330,765,60434,0,2,0,0
3029,0,842,679,60412,0,2,0,0
3030,0,911,723,60551,0,2,0,0
3031,0,617,831,60442,135,3,0,0
3032,0,1188,855,0,135,0,0,0
3033,0,1232,594,60412,0,2,0,0
3034,0,1154,739,60412,0,2,0,0
3035,0,648,827,60434,0,2,0,0
3036,0,1222,802,60430,0,2,0,0
3037,0,1258,562,60430,0,2,0,0
3038,0,735,1001,60430,0,2,0,0
3039,0,398,669,60430,0,2,0,0
3040,0,874,734,60430,0,2,0,0
3041,0,531,629,60442,581,4,0,0
3042,0,1429,568,0,55,4,1,5
3043,0,919,733,60427,0,2,0,0
3044,0,1363,821,60425,0,2,0,0
3045,0,1360,832,60426,0,2,0,0
3046,0,1353,830,60442,566,2,0,0
3047,0,0,0,0,0,0,0,0
3048,0,0,0,0,0,0,0,0
3049,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,0,0
4000,1,1151,725,60441,52,2,1,2
4001,0,721,732,0,52,0,0,0
4002,0,1440,791,60441,55,2,1,5
4003,0,1185,1575,60441,56,2,1,6
4004,0,521,661,60441,57,2,1,7
4005,0,1155,900,0,68,2,0,0
4006,0,1151,745,60442,87,2,0,0
4007,0,721,752,60442,88,2,0,0
4008,0,1244,926,60442,89,2,0,0
4009,0,1107,921,60412,0,2,0,0
4010,0,1112,941,60448,90,2,0,0
4011,0,1355,1073,0,69,2,0,0
4012,0,1305,991,60442,91,2,0,0
4013,0,1481,961,60442,92,2,0,0
4014,0,1340,1160,60442,93,2,0,0
4015,0,1089,1101,0,70,2,0,0
4016,0,1037,1059,60453,0,4,0,0
4017,0,1062,1248,60442,95,2,0,0
4018,0,860,949,60442,96,2,0,0
4019,0,904,1372,60414,97,3,0,0
4020,0,1207,1350,60442,98,2,0,0
4021,0,1392,1455,60442,99,2,0,0
4022,0,959,1494,60442,100,2,0,0
4023,0,701,1212,60442,101,2,0,0
4024,0,691,944,0,71,2,0,0
4025,0,432,1092,60414,102,3,0,0
4026,0,805,1059,60442,103,2,0,0
4027,0,623,1036,60442,104,2,0,0
4028,0,511,958,60442,105,2,0,0
4029,0,526,847,0,72,2,0,0
4030,0,469,800,60442,106,2,0,0
4031,0,1054,961,0,156,2,0,0
4032,0,1280,956,0,157,2,0,0
4033,0,1007,1049,60448,94,4,0,0
4034,0,1040,1006,60412,0,2,0,0
4035,0,1020,1075,60551,0,2,0,0
4036,0,1200,1340,60412,0,2,0,0
4037,0,1045,1107,60311,593,1,0,0
4038,0,1346,717,60442,348,4,0,0
4039,0,0,0,0,0,0,0,0
4040,0,0,0,0,0,0,0,0
4041,0,0,0,0,0,0,0,0
4042,0,0,0,0,0,0,0,0
4043,0,0,0,0,0,0,0,0
4044,0,0,0,0,0,0,0,0
4045,0,0,0,0,0,0,0,0
4046,0,0,0,0,0,0,0,0
4047,0,0,0,0,0,0,0,0
4048,0,0,0,0,0,0,0,0
4049,0,0,0,0,0,0,0,0
4050,0,0,0,0,0,0,0,0
5000,1,511,1314,60441,54,2,1,4
5001,0,862,1474,60441,56,2,1,6
5002,0,640,1227,0,73,2,0,0
5003,0,446,1094,60456,155,1,0,0
5004,0,914,1364,0,74,2,0,0
5005,0,812,1267,60442,158,4,0,0
5006,0,778,1330,60448,107,3,0,0
5007,0,745,1392,60442,108,3,0,0
5008,0,1049,1418,60442,110,2,0,0
5009,0,1053,1251,60448,113,4,0,0
5010,0,1076,1545,60442,111,2,0,0
5011,0,794,1121,0,75,2,0,0
5012,0,830,791,60442,112,4,0,0
5013,0,1170,1007,0,76,2,0,0
5014,0,1247,934,60555,77,4,0,0
5015,0,1409,575,60442,114,4,0,0
5016,0,1088,544,60442,115,4,0,0
5017,0,1562,688,60442,116,4,0,0
5018,0,1187,467,60442,117,4,0,0
5019,0,372,1115,0,53,1,1,3
5020,0,802,1323,60551,0,2,0,0
5021,0,808,1326,60412,0,2,0,0
5022,0,1040,1248,60412,0,2,0,0
5023,0,535,1200,60442,159,1,0,0
5024,0,838,1322,60453,0,1,0,0
5025,0,448,1125,60412,0,2,0,0
5026,0,827,1301,60311,593,2,0,0
5027,0,545,1226,60412,0,2,0,0
5028,0,817,1317,60412,0,2,0,0
5029,0,0,0,0,0,0,0,0
6000,1,656,780,60441,54,4,1,4
6001,0,1300,764,60441,55,4,1,5
6002,0,740,1716,0,44,0,0,0
6003,0,744,914,0,78,4,0,0
6004,0,732,826,60442,118,4,0,0
6005,0,842,975,60448,119,1,0,0
6006,0,938,854,60414,120,4,0,0
6007,0,796,1056,60442,121,4,0,0
6008,0,718,1110,60442,122,4,0,0
6009,0,786,1554,0,79,4,0,0
6010,0,804,1378,60453,123,2,0,0
6011,0,660,1480,60442,125,4,0,0
6012,0,925,1425,0,126,2,0,0
6013,0,688,1642,60442,127,4,0,0
6014,0,1096,1240,0,80,4,0,0
6015,0,1204,1192,60442,128,4,0,0
6016,0,1180,888,0,81,4,0,0
6017,0,1203,953,60453,129,4,0,0
6018,0,1082,826,60442,130,4,0,0
6019,0,1345,1000,60442,131,4,0,0
6020,0,1462,964,60442,132,4,0,0
6021,0,1512,1160,0,82,4,0,0
6022,0,1644,1102,60442,133,4,0,0
6023,0,860,944,60412,0,2,0,0
6024,0,849,940,60412,0,2,0,0
6025,0,1290,815,60442,589,2,0,0
6026,0,1218,971,60551,0,2,0,0
6027,0,824,1398,60448,0,4,0,0
6028,0,1232,988,60448,0,4,0,0
6029,0,1186,964,60434,0,2,0,0
6030,0,820,965,60311,593,4,0,0
6031,0,1195,977,60311,593,1,0,0
6032,0,818,1365,60311,593,4,0,0
6033,0,869,967,60412,0,2,0,0
6034,0,1233,955,60412,0,2,0,0
6035,0,1225,960,60412,0,2,0,0
6036,0,1206,983,60412,0,2,0,0
6037,0,810,1395,60412,0,2,0,0
6038,0,803,1391,60412,0,2,0,0
6039,0,800,1387,60412,0,2,0,0
6040,0,932,859,60412,0,2,0,0
6041,0,757,1703,60441,44,4,1,22
6042,0,0,0,0,0,0,0,0
7000,1,1305,1280,0,83,4,0,0
7001,0,1472,1226,60442,135,3,0,0
7002,0,1340,1388,60448,136,3,0,0
7003,0,1376,1241,60442,137,4,0,0
7004,0,1310,1020,0,84,4,0,0
7005,0,1424,1103,60442,138,4,0,0
7006,0,1376,934,60448,139,4,0,0
7007,0,967,1377,0,85,4,0,0
7008,0,980,1252,60453,0,1,0,0
7009,0,1000,1202,60442,141,4,0,0
7010,0,716,1217,60442,142,4,0,0
7011,0,771,1411,60442,143,1,0,0
7012,0,1058,1018,0,86,4,0,0
7013,0,1123,1189,60442,144,2,0,0
7014,0,991,970,60442,145,4,0,0
7015,0,1087,1156,60442,146,4,0,0
7016,0,624,1143,0,63,0,0,0
7017,0,1031,1543,60441,54,4,1,4
7018,0,1480,1220,60441,53,4,1,3
7019,0,1385,957,60551,0,2,0,0
7020,0,1446,907,60412,0,2,0,0
7021,0,1447,903,60412,0,2,0,0
7022,0,1443,899,60412,0,2,0,0
7023,0,1240,1360,60442,160,4,0,0
7024,0,1000,1292,60448,140,3,0,0
7025,0,1356,1358,60412,0,2,0,0
7026,0,1344,950,60311,593,1,0,0
7027,0,1024,1262,60311,593,2,0,0
7028,0,1033,1243,60412,0,2,0,0
7029,0,1035,1248,60412,0,2,0,0
7030,0,1026,1271,60412,0,2,0,0
7031,0,986,1269,60551,0,2,0,0
8000,1,861,585,60442,534,4,0,0
8001,0,994,976,60442,535,2,0,0
8002,0,0,0,60442,536,0,0,0
8003,0,1237,1032,60442,537,2,0,0
8004,0,1231,925,60442,538,2,0,0
8005,0,953,1083,60442,539,2,0,0
8006,0,484,1010,60442,540,1,0,0
8007,0,766,1040,60442,541,3,0,0
8008,0,791,1025,60442,542,1,0,0
8009,0,863,979,0,543,4,0,0
8010,0,1077,1242,0,544,4,0,0
8011,0,0,0,0,0,0,0,0
8012,0,0,0,0,0,0,0,0
8013,0,0,0,0,0,0,0,0
8014,0,0,0,0,0,0,0,0
8015,0,0,0,0,0,0,0,0
