key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#,,,,,,,,,,,,,,,,,,,,,
int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,byte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5724,5725,5726,5727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5604,5605,5606,5607,5608,0,0,0,0,0,1,1,2,4,7,10,0,0,0,0,0
3,5609,5610,5611,5612,5613,0,0,0,0,0,3,1,2,4,7,10,0,0,0,0,0
4,5614,5615,5616,5617,5618,0,0,0,0,0,2,1,2,4,7,10,0,0,0,0,0
5,5619,5620,5621,5622,5623,0,0,0,0,0,4,1,2,4,7,10,0,0,0,0,0
6,5624,5625,5626,5627,5628,0,0,0,0,0,5,1,2,4,7,10,0,0,0,0,0
7,5629,5630,5631,5632,5633,0,0,0,0,0,6,1,2,3,6,9,0,0,0,0,0
8,5634,5635,5636,5637,5638,0,0,0,0,0,37,1,2,4,6,9,0,0,0,0,0
9,5639,5640,5641,5642,5643,0,0,0,0,0,38,1,2,4,6,9,0,0,0,0,0
10,5644,5645,5646,5647,5648,0,0,0,0,0,39,1,2,4,6,9,0,0,0,0,0
11,5649,5650,5651,5652,5653,0,0,0,0,0,40,1,2,4,6,9,0,0,0,0,0
12,5654,5655,5656,5657,5658,0,0,0,0,0,41,1,2,4,6,9,0,0,0,0,0
13,5659,5660,5661,5662,5663,0,0,0,0,0,42,1,2,4,6,9,0,0,0,0,0
14,5664,5665,5666,5667,5668,0,0,0,0,0,22,2,4,6,9,12,0,0,0,0,0
15,5669,5670,5671,5672,5673,0,0,0,0,0,27,2,4,6,9,12,0,0,0,0,0
16,5674,5675,5676,5677,5678,0,0,0,0,0,44,1,3,4,6,9,0,0,0,0,0
17,5679,5680,5681,5682,5683,0,0,0,0,0,19,2,4,6,9,12,0,0,0,0,0
18,5684,5685,5686,5687,5688,0,0,0,0,0,72,3,4,5,8,10,0,0,0,0,0
19,5689,5690,5691,5692,5693,0,0,0,0,0,73,3,4,5,8,10,0,0,0,0,0
20,5694,5695,5696,5697,5698,0,0,0,0,0,10,1,2,3,4,5,0,0,0,0,0
21,5699,5700,5701,5702,5703,0,0,0,0,0,70,3,4,5,6,7,0,0,0,0,0
22,5704,5705,5706,5707,5708,0,0,0,0,0,11,1,2,3,4,5,0,0,0,0,0
23,5709,5710,5711,5712,5713,0,0,0,0,0,71,1,2,3,4,5,0,0,0,0,0
24,5714,5715,5716,5717,5718,0,0,0,0,0,45,2,4,6,9,12,0,0,0,0,0
25,5719,5720,5721,5722,5723,0,0,0,0,0,46,2,4,6,9,12,0,0,0,0,0
