key,0,1,2,3,4
#,,,,,
int32,byte,uint16,byte,byte,uint16
0,1,0,1,1,3002
1,3,24,1,1,3002
2,3,15,2,1,3003
3,3,15,1,1,3003
4,3,4,1,1,3005
5,3,4,1,2,3005
6,3,11,1,1,3049
7,3,11,1,2,3049
8,3,1,1,1,3011
9,3,1,2,1,3012
10,3,1,3,1,3012
11,3,7,1,1,3050
12,3,7,1,2,3050
13,3,8,1,3,3014
14,3,8,1,1,3014
15,3,8,1,2,3014
16,3,26,1,1,3051
17,3,99,1,4,3147
18,3,70,1,3,3131
19,2,1015,1,1,3017
20,3,16,1,1,3052
21,3,9,1,1,3024
22,3,9,1,2,3024
23,3,27,1,1,3025
24,3,27,1,5,3025
25,3,30,1,1,3028
26,3,30,1,2,3028
27,3,17,2,1,3029
28,3,29,1,1,3091
29,3,21,1,1,3097
30,3,18,1,1,3088
31,3,5,1,2,3087
32,3,5,1,1,3087
33,3,23,1,1,3090
34,3,22,1,1,3095
35,3,13,1,1,3035
36,3,2,2,1,3036
37,3,25,1,1,3053
38,3,10,1,1,3037
39,3,10,1,2,3037
40,3,14,1,2,3056
41,3,14,1,3,3056
42,3,19,1,1,3040
43,3,6,1,1,3041
44,3,6,1,2,3041
45,3,20,1,2,3048
46,3,20,1,3,3048
47,3,3,1,1,3043
48,3,3,1,2,3043
49,3,28,1,1,3045
50,2,1002,1,1,3069
51,2,1005,1,1,3058
52,2,1004,1,1,3072
53,3,64,1,1,3093
54,3,153,1,5,3112
55,3,24,1,2,3002
56,3,70,1,4,3131
57,3,32,1,1,3001
58,3,32,1,2,3001
59,3,55,1,1,3031
60,3,55,1,2,3031
61,2,1009,1,5,3096
62,3,17,1,1,3029
63,3,88,1,1,3075
64,2,1,1,1,3073
65,2,1013,1,1,3098
66,3,9998,1,1,3002
67,3,13,1,2,3035
68,3,53,1,1,3080
69,3,63,1,1,3107
70,3,25,1,2,3053
71,3,153,2,1,3113
72,3,153,1,2,3109
73,3,153,1,3,3110
74,3,153,1,1,3108
75,3,153,1,4,3111
76,3,14,1,1,3056
77,3,41,1,1,3013
78,3,41,1,2,3013
79,3,41,3,1,3013
80,3,39,1,1,3046
81,3,39,2,1,3046
82,3,37,1,1,3009
83,3,37,1,2,3009
84,3,2,1,1,3036
85,3,2,2,2,3036
86,3,2,2,3,3036
87,3,28,1,2,3045
88,3,28,1,3,3045
89,3,28,1,4,3045
90,3,28,2,1,3045
91,3,28,2,2,3045
92,3,28,2,3,3045
93,3,28,2,4,3045
94,3,19,1,2,3040
95,2,1001,1,1,3070
96,2,1012,1,1,3074
97,3,34,1,1,3006
98,3,34,2,1,3006
99,3,34,2,2,3006
100,3,36,1,1,3008
101,3,36,1,2,3008
102,3,36,1,3,3008
103,3,40,1,1,3102
104,3,40,1,2,3102
105,3,40,1,3,3102
106,3,40,1,4,3102
107,3,43,1,1,3015
108,3,43,1,2,3015
109,3,43,1,3,3015
110,3,43,1,4,3015
111,3,43,1,5,3015
112,3,45,1,1,3019
113,3,45,1,2,3019
114,3,45,1,3,3019
115,3,46,1,1,3020
116,3,46,1,2,3020
117,3,46,2,1,3020
118,3,47,1,1,3021
119,3,47,1,2,3021
120,3,47,2,1,3021
121,3,51,1,1,3027
122,3,51,1,2,3027
123,3,51,1,3,3027
124,3,51,1,4,3027
125,3,56,1,1,3082
126,3,56,1,2,3082
127,3,56,1,3,3082
128,3,81,1,1,3038
129,3,81,1,2,3038
130,3,85,1,1,3042
131,3,85,2,1,3042
132,3,96,1,1,3076
133,3,90,1,1,3077
134,2,1006,1,1,3063
135,3,1,3,2,3012
136,3,3,1,3,3043
137,3,4,1,3,3005
138,3,6,1,3,3041
139,3,7,1,3,3050
140,3,7,1,4,3050
141,3,17,1,2,3029
142,3,92,1,1,3196
143,3,93,1,1,3079
144,3,95,1,1,3078
145,3,98,1,1,3141
146,3,59,1,1,3033
147,0,0,0,1,3002
148,2,1016,1,1,3099
149,3,17,1,3,3029
150,3,17,3,1,3029
151,3,107,1,1,3195
152,3,70,1,2,3131
153,3,65,2,1,3094
154,5,0,0,1,3012
155,3,8001,1,1,3103
156,3,8002,1,1,3104
157,3,8003,1,1,3105
158,3,87,1,1,3100
159,3,87,1,2,3100
160,3,87,1,3,3100
161,3,87,1,4,3100
162,3,18,1,2,3088
163,2,1017,1,1,3092
164,2,2,1,1,3118
165,3,16,1,2,3052
