key,0,1,2
#,,,
int32,uint16,uint16,uint16
0,100,100,100
1,19,312,60
2,20,325,60
3,23,339,60
4,23,352,60
5,26,451,60
6,30,474,60
7,30,492,60
8,34,526,60
9,37,545,60
10,41,629,60
11,46,665,60
12,50,702,60
13,50,726,60
14,55,751,60
15,59,807,70
16,64,866,70
17,65,898,70
18,69,939,70
19,70,982,70
20,79,1053,70
21,80,1090,70
22,85,1122,70
23,86,1169,70
24,91,1239,70
25,92,1296,70
26,98,1332,70
27,112,1368,70
28,113,1498,70
29,119,1544,70
30,120,1584,70
31,126,1670,80
32,127,1697,80
33,133,1757,80
34,140,1811,80
35,141,1853,80
36,147,1882,80
37,149,1905,80
38,155,1961,80
39,157,2026,80
40,163,2050,80
41,175,2109,80
42,187,2147,80
43,199,2251,80
44,211,2277,80
45,224,2309,80
46,236,2372,80
47,249,2421,80
48,267,2524,80
49,281,2551,80
50,294,2641,80
51,302,2279,80
52,305,2272,80
53,308,2264,80
54,311,2257,80
55,313,2257,80
