key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
int32,str,str,uint16,byte,byte,byte,byte,byte,bool,bool,bool,bool,byte,bool,uint16
0,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
1,"Petrification","Stone-like rigidity is preventing the execution of actions.",10001,0,100,0,2,47,True,True,False,False,255,False,0
2,"Stun","Unable to execute actions.",10004,0,10,0,2,43,True,True,False,False,255,False,0
3,"Sleep","Overwhelming drowsiness is preventing the execution of actions.",10025,1,99,0,2,42,True,True,False,False,255,False,0
4,"Daze","Scattered senses are preventing the execution of actions.",10003,1,100,0,2,50,True,True,False,False,255,False,0
5,"Amnesia","Unable to use abilities.",10051,0,100,0,2,59,False,False,False,False,255,False,0
6,"Pacification","Unable to use weaponskills.",10024,0,100,0,2,58,False,False,False,False,255,False,0
7,"Silence","A stifling magic is preventing casts.",10005,2,100,0,2,48,False,False,False,False,255,False,0
8,"Haste","Weaponskill recast time and auto-attack delay are reduced.",10008,5,0,0,1,60,False,False,False,False,1,False,0
9,"Slow","Weaponskill recast time and auto-attack delay are increased.",10009,5,50,0,2,56,False,False,False,False,2,False,0
10,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
11,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
12,"Fixation","Unable to change directions.",10003,3,100,0,2,55,False,False,False,False,255,False,0
13,"Bind","Unable to move.",10003,3,50,0,2,54,True,False,False,False,255,False,0
14,"Heavy","Movement speed is reduced.",10002,3,10,0,2,44,False,False,False,False,255,False,0
15,"Blind","Encroaching darkness is lowering accuracy.",10021,4,50,0,2,52,False,False,False,False,2,False,0
16,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
17,"Paralysis","Deadened nerves are sometimes preventing the execution of actions.",10006,0,50,0,2,46,False,False,False,False,2,False,0
18,"Poison","Toxins are causing damage over time.",10007,0,10,0,2,41,False,False,False,False,2,False,0
19,"Pollen","Deadly pollen has filled your lungs, causing damage over time.",10117,0,1,0,2,41,False,False,True,True,2,False,0
20,"TP Bleed","Bleeding TP over time.",10027,0,10,0,2,61,False,False,False,False,2,False,0
21,"HP Boost","Maximum HP is increased.",10028,6,0,0,1,60,False,False,False,False,1,False,0
22,"HP Penalty","Maximum HP is reduced.",10018,6,1,0,2,61,False,False,False,False,2,False,0
23,"MP Boost","Maximum MP is increased.",10029,7,0,0,1,60,False,False,False,False,1,False,0
24,"MP Penalty","Maximum MP is reduced.",10030,7,1,0,2,61,False,False,False,False,2,False,0
25,"Attack Up","Attack power is enhanced.",10010,8,0,0,1,60,False,False,False,False,1,False,0
26,"Attack Down","Attack power is reduced.",10023,8,1,0,2,61,False,False,False,False,2,False,0
27,"Accuracy Up","Accuracy is enhanced.",10031,9,0,0,1,60,False,False,False,False,1,False,0
28,"Accuracy Down","Accuracy is reduced.",10032,9,1,0,2,61,False,False,False,False,2,False,0
29,"Defense Up","Defense is enhanced.",10011,10,0,0,1,60,False,False,False,False,1,False,0
30,"Defense Down","Defense is reduced.",10016,10,1,0,2,61,False,False,False,False,2,False,0
31,"Evasion Up","Evasion is enhanced.",10033,11,0,0,1,60,False,False,False,False,1,False,0
32,"Evasion Down","Evasion is reduced.",10034,11,1,0,2,61,False,False,False,False,2,False,0
33,"Magic Potency Up","Spell potency is enhanced.",10035,12,0,0,1,60,False,False,False,False,1,False,0
34,"Magic Potency Down","Spell potency is reduced.",10036,12,1,0,2,61,False,False,False,False,2,False,0
35,"Healing Potency Up","Healing magic potency is enhanced.",10038,13,0,0,1,60,False,False,False,False,1,False,0
36,"Healing Potency Down","Healing magic potency is reduced.",10039,13,1,0,2,61,False,False,False,False,2,False,0
37,"Magic Defense Up","Magic defense is enhanced.",10013,14,0,0,1,60,False,False,False,False,1,False,0
38,"Magic Defense Down","Magic defense is reduced.",10037,14,1,0,2,61,False,False,False,False,2,False,0
39,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
40,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
41,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
42,"","",0,0,0,0,0,0,False,False,False,False,0,False,0
43,"Weakness","Maximum HP and MP are reduced 15%.",10019,16,1,0,2,0,False,False,False,False,255,False,0
44,"Brink of Death","Maximum HP, maximum MP, and all battle-related stats are reduced by 30%.",10020,16,1,0,2,0,False,False,False,False,255,False,0
45,"Crafter's Grace","Chance of increased experience point gains as a Disciple of the Hand.",10206,15,0,0,1,60,False,False,False,False,0,False,0
46,"Gatherer's Grace","Chance of increased experience point gains as a Disciple of the Land.",10306,15,0,0,1,60,False,False,False,False,0,False,0
47,"Stealth","Cannot be detected by enemies. Movement speed is reduced.",10301,0,0,0,1,60,False,False,True,True,2,False,0
48,"Well Fed","Enjoying the benefits of a full belly.",10402,0,0,0,1,60,False,False,False,False,0,False,0
49,"Medicated","Performance is being enhanced by a medicinal item.",10403,0,0,0,1,60,False,False,False,False,0,False,0
50,"Sprint","Movement speed is increased.",11001,41,1,0,1,0,False,False,False,False,0,False,0
51,"Strength Down","Strength is reduced.",10042,0,1,0,2,61,False,False,False,False,0,False,0
52,"Vitality Down","Vitality is reduced.",10043,0,1,0,2,61,False,False,False,False,0,False,0
