key,0,1,2,3,4,5,6,7
#,,,,,,,,
int32,bool,bool,bool,bool,bool,bool,bool,bool
0,True,True,True,False,True,True,True,True
1,True,True,True,True,True,False,True,True
2,False,False,True,False,True,True,True,True
3,True,True,False,False,True,False,False,True
4,True,True,False,False,True,False,True,True
5,False,False,False,False,False,False,False,False
6,True,True,False,False,False,False,True,True
7,True,True,True,False,True,False,True,True
8,True,True,False,False,True,False,False,True
9,True,True,False,False,True,False,False,False
10,True,True,False,False,True,False,False,False
11,True,True,False,False,True,False,False,True
