key,0
#,
int32,str
0,"on"
1,"on"
2,"off"
3,"off"
4,"add"
5,"add"
6,"leave"
7,"leave"
8,"kick"
9,"oust"
10,"leader"
11,"leader"
12,"breakup"
13,"disband"
14,"remove"
15,"delete"
16,"accept"
17,"join"
18,"deny"
19,"decline"
20,"text"
21,"text"
22,"motion"
23,"motion"
24,"both"
25,"both"
26,"mh"
27,"Main Hand"
28,"oh"
29,"Off Hand"
30,"throwing"
31,"Throwing Weapon"
32,"pack"
33,"Pack"
34,"pouch"
35,"Pouch"
36,"head"
37,"Head"
38,"undershirt"
39,"Undershirt"
40,"body"
41,"Body"
42,"undergarment"
43,"Undergarment"
44,"legs"
45,"Legs"
46,"hands"
47,"Hands"
48,"feet"
49,"Feet"
50,"waist"
51,"Waist"
52,"neck"
53,"Neck"
54,"R.ear"
55,"Right Ear"
56,"L.ear"
57,"Left Ear"
58,"R.wrist"
59,"Right Wrist"
60,"L.wrist"
61,"Left Wrist"
62,"R.index"
63,"Right Index Finger"
64,"L.index"
65,"Left Index Finger"
66,"R.ring"
67,"Right Ring Finger"
68,"L.ring"
69,"Left Ring Finger"
70,"all"
71,"all"
72,"reset"
73,"reset"
74,"a"
75,"a"
76,"b"
77,"b"
78,"c"
79,"c"
80,"attack"
81,"Target to Attack"
82,"attack1"
83,"Target to Attack 1"
84,"attack2"
85,"Target to Attack 2"
86,"attack3"
87,"Target to Attack 3"
88,"attack4"
89,"Target to Attack 4"
90,"attack5"
91,"Target to Attack 5"
92,"bind"
93,"Target to Bind"
94,"bind1"
95,"Target to Bind 1"
96,"bind2"
97,"Target to Bind 2"
98,"bind3"
99,"Target to Bind 3"
100,"ignore"
101,"Target to Ignore"
102,"ignore1"
103,"Target to Ignore 1"
104,"ignore2"
105,"Target to Ignore 2"
106,"square"
107,"Square"
108,"circle"
109,"Circle"
110,"cross"
111,"Cross"
112,"triangle"
113,"Triangle"
114,"save"
115,"Save"
116,"load"
117,"Load"
118,"copy"
119,"Copy"
120,"paste"
121,"Paste"
122,"equip"
123,"eq"
124,"change"
125,"chg"
126,"status"
127,"stat"
128,"create"
129,"make"
130,"set"
131,"set"
132,"view"
133,"view"
134,""
135,""
136,""
137,""
138,""
139,""
140,""
141,""
142,""
143,""
144,""
145,""
146,""
147,""
148,""
149,""
150,"<t>"
151,"<target>"
152,"<tt>"
153,"<t2t>"
154,"<f>"
155,"<focus>"
156,"<lt>"
157,"<lasttarget>"
158,"<la>"
159,"<lastattacker>"
160,"<a>"
161,"<anchor>"
162,"<mo>"
163,"<mouse>"
164,"<me>"
165,"<0>"
166,"<b>"
167,"<buddy>"
168,"<pet>"
169,"<fellow>"
170,"<r>"
171,"<reply>"
172,"<lastst>"
173,"<lst>"
174,"<hp>"
175,"<hp>"
176,"<hpp>"
177,"<hpp>"
178,"<mp>"
179,"<mp>"
180,"<mpp>"
181,"<mpp>"
182,"<tp>"
183,"<tp>"
184,"<pethp>"
185,"<php>"
186,"<pethpp>"
187,"<phpp>"
188,"<petmp>"
189,"<pmp>"
190,"<petmpp>"
191,"<pmpp>"
192,"<pettp>"
193,"<ptp>"
194,"<job>"
195,"<class>"
196,"<pos>"
197,"<where>"
198,""
199,""
200,"<attack1>"
201,"<attack1>"
202,"<attack2>"
203,"<attack2>"
204,"<attack3>"
205,"<attack3>"
206,"<attack4>"
207,"<attack4>"
208,"<attack5>"
209,"<attack5>"
210,"<bind1>"
211,"<bind1>"
212,"<bind2>"
213,"<bind2>"
214,"<bind3>"
215,"<bind3>"
216,"<stop1>"
217,"<stop1>"
218,"<stop2>"
219,"<stop2>"
220,"<square>"
221,"<square>"
222,"<circle>"
223,"<circle>"
224,"<cross>"
225,"<cross>"
226,"<triangle>"
227,"<triangle>"
228,"<attack>"
229,"<attack>"
230,"<bind>"
231,"<bind>"
232,"<stop>"
233,"<stop>"
234,""
235,""
236,""
237,""
238,""
239,""
240,""
241,""
242,""
243,""
244,""
245,""
246,""
247,""
248,""
249,""
