key,0,1,2
#,,,
int32,str,str,byte
0,"Zvahl","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NE/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.

※This World will only be available for the duration of the beta test. ",0
1,"c-funereus","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

※This World will only be available for the duration of the beta test. ",0
2,"c-contents","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

※This World will only be available for the duration of the beta test. ",0
3,"c-whiteae","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

※This World will only be available for the duration of the beta test. ",0
16,"konconv","",0
58,"Garuda","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NE/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.

※This World will only be available for the duration of the beta test. ",1
59,"Ifrit","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NE/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.

※This World will only be available for the duration of the beta test. ",1
60,"Ramuh","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NE/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.

※This World will only be available for the duration of the beta test. ",1
