key,0,1
#,,
int32,str,str
0,"TEXT_REGWILPGLGUILD_00064_HAMON_000","Ahhh, 'tis a fine day to be watching my pugilists at their training!"
1,"TEXT_REGWILPGLGUILD_00064_Q1_000_1","What will you ask?"
2,"TEXT_REGWILPGLGUILD_00064_A1_000_1","Tell me about yourself."
3,"TEXT_REGWILPGLGUILD_00064_A1_000_2","What is a pugilist?"
4,"TEXT_REGWILPGLGUILD_00064_A1_000_3","Nothing."
5,"TEXT_REGWILPGLGUILD_00064_HAMON_010","<gasp> You mean to say you do not know Hamon Holyfist, the man who once ruled the bloodsands!?
...Hmmm, mayhap it was before your time."
6,"TEXT_REGWILPGLGUILD_00064_HAMON_011","Aye, I used to be champion of the Coliseum, but these days I train young hopefuls as master of the Pugilists' Guild. If you're interested in learning hand-to-hand combat, you're welcome to sign up."
7,"TEXT_REGWILPGLGUILD_00064_HAMON_012","And if you're a scantily clad maiden, then you're <Emphasis>especially</Emphasis> welcome! Hah hah hah!"
8,"TEXT_REGWILPGLGUILD_00064_HAMON_020","A pugilist is an expert in hand-to-hand combat. Through rigorous training, he forges devastating weapons of his limbs."
9,"TEXT_REGWILPGLGUILD_00064_HAMON_021","Having said that, fists and feet don't deal near as much damage as a blade. But what does that matter when you can land several blows for each swing of the sword?"
10,"TEXT_REGWILPGLGUILD_00064_HAMON_022","Aye, what a pugilist lacks in destructive force, he makes up for in speed and cunning. Rather than trying to deal great damage with a single blow, he pummels his foe with lightning-fast combinations."
11,"TEXT_REGWILPGLGUILD_00064_HAMON_023","If you become as good as yours truly, your combinations will be so swift and seamless, folk won't be able to tell when one technique ends and another begins! Hah hah hah!"
