key,0,1
#,,
int32,str,str
0,"TEXT_CLSTAN008_00064_SEQ_00","革細工師ギルドのゲヴァが、何やら頭を抱えているようだが……。"
1,"TEXT_CLSTAN008_00064_SEQ_01","「ゲヴァパターン」で品を作ってほしいという依頼が来たらしい。ゲヴァは、この依頼を冒険者に任せるつもりのようだ。「<Sheet(ItemHQ,3639,0)/>」をひとつ調達し、「革細工師ギルド」の「ゲヴァ」に見せよう。"
2,"TEXT_CLSTAN008_00064_SEQ_02","冒険者が本気で作った「<Sheet(ItemHQ,3639,0)/>」なら、「ゲヴァパターン」で作ったものと見分けがつかないと言うゲヴァ。彼女の言い付けに従って、工芸「フェン・イル」にいる「熟練の鍛冶師」に「<Sheet(ItemHQ,3639,0)/>」を届けよう。"
3,"TEXT_CLSTAN008_00064_SEQ_03","冒険者の作った品を見て、ゲヴァパターンでなくても問題ないと言う依頼主。「革細工師ギルド」の「ゲヴァ」に報告しよう。"
4,"TEXT_CLSTAN008_00064_SEQ_04","かつて生命を金に代えるような所作に傷ついたゲヴァは、それ以来、生命を敬う革細工に重きを置いているのだという。彼女の信念を体現した「ゲヴァパターン」と同等の品を仕立てた冒険者に、賛辞を呈するゲヴァ。気を抜かず、さらに精進しよう。

※革細工師のレベルが45以上になると、ゲヴァから
　次の革細工師クエストを受注することができます。"
5,"TEXT_CLSTAN008_00064_SEQ_05",""
6,"TEXT_CLSTAN008_00064_SEQ_06",""
7,"TEXT_CLSTAN008_00064_SEQ_07",""
8,"TEXT_CLSTAN008_00064_SEQ_08",""
9,"TEXT_CLSTAN008_00064_SEQ_09",""
10,"TEXT_CLSTAN008_00064_SEQ_10",""
11,"TEXT_CLSTAN008_00064_SEQ_11",""
12,"TEXT_CLSTAN008_00064_SEQ_12",""
13,"TEXT_CLSTAN008_00064_SEQ_13",""
14,"TEXT_CLSTAN008_00064_SEQ_14",""
15,"TEXT_CLSTAN008_00064_SEQ_15",""
16,"TEXT_CLSTAN008_00064_SEQ_16",""
17,"TEXT_CLSTAN008_00064_SEQ_17",""
18,"TEXT_CLSTAN008_00064_SEQ_18",""
19,"TEXT_CLSTAN008_00064_SEQ_19",""
20,"TEXT_CLSTAN008_00064_SEQ_20",""
21,"TEXT_CLSTAN008_00064_SEQ_21",""
