key,0,1
#,,
int32,str,str
0,"TEXT_CLSARM501_00284_SEQ_00","甲冑師ギルドのハ・ナンザは、冒険者に伝えることがあるようだ。"
1,"TEXT_CLSARM501_00284_SEQ_01","[MacroError]"
2,"TEXT_CLSARM501_00284_SEQ_02","メルウィブ提督の前で、作った<Sheet(ItemHQ,3203,0)/>の強度試験が実施され、見事に冒険者が勝利した。ハ・ナンザのところへ戻る前に、甲冑師ギルドにいる「ブランシュティル」に声をかけよう。"
3,"TEXT_CLSARM501_00284_SEQ_03","ブランシュティルは素直に敗北を認め、しばらく頭を冷やすため、ギルドから遠ざかることにしたという。彼のことを甲冑師ギルドにいる「ハ・ナンザ」に報告しよう。"
4,"TEXT_CLSARM501_00284_SEQ_04","ブランシュティルのことを聞いたハ・ナンザは、彼の敗因が孤独であったことと分析する。彼女の持論は、技術が他者との交流によって切磋琢磨されていくということ。孤独な研鑽では限界があり、それが冒険者とブランシュティルの差になったと語った。"
5,"TEXT_CLSARM501_00284_SEQ_05",""
6,"TEXT_CLSARM501_00284_SEQ_06",""
7,"TEXT_CLSARM501_00284_SEQ_07",""
8,"TEXT_CLSARM501_00284_SEQ_08",""
9,"TEXT_CLSARM501_00284_SEQ_09",""
10,"TEXT_CLSARM501_00284_SEQ_10",""
11,"TEXT_CLSARM501_00284_SEQ_11",""
12,"TEXT_CLSARM501_00284_SEQ_12",""
13,"TEXT_CLSARM501_00284_SEQ_13",""
14,"TEXT_CLSARM501_00284_SEQ_14",""
15,"TEXT_CLSARM501_00284_SEQ_15",""
16,"TEXT_CLSARM501_00284_SEQ_16",""
17,"TEXT_CLSARM501_00284_SEQ_17",""
18,"TEXT_CLSARM501_00284_SEQ_18",""
19,"TEXT_CLSARM501_00284_SEQ_19",""
20,"TEXT_CLSARM501_00284_SEQ_20",""
21,"TEXT_CLSARM501_00284_SEQ_21",""
22,"TEXT_CLSARM501_00284_SEQ_22",""
23,"TEXT_CLSARM501_00284_SEQ_23",""
24,"TEXT_CLSARM501_00284_TODO_00","[MacroError]"
25,"TEXT_CLSARM501_00284_TODO_01","甲冑師ギルドのブランシュティルと話す"
26,"TEXT_CLSARM501_00284_TODO_02","甲冑師ギルドのハ・ナンザと話す"
27,"TEXT_CLSARM501_00284_TODO_03",""
