key,0,1
#,,
int32,str,str
0,"TEXT_CLSCUL000_00241_SEQ_00",""
1,"TEXT_CLSCUL000_00241_SEQ_01",""
2,"TEXT_CLSCUL000_00241_SEQ_02",""
3,"TEXT_CLSCUL000_00241_SEQ_03",""
4,"TEXT_CLSCUL000_00241_SEQ_04",""
5,"TEXT_CLSCUL000_00241_SEQ_05",""
6,"TEXT_CLSCUL000_00241_SEQ_06",""
7,"TEXT_CLSCUL000_00241_SEQ_07",""
8,"TEXT_CLSCUL000_00241_SEQ_08",""
9,"TEXT_CLSCUL000_00241_SEQ_09",""
10,"TEXT_CLSCUL000_00241_SEQ_10",""
11,"TEXT_CLSCUL000_00241_SEQ_11",""
12,"TEXT_CLSCUL000_00241_SEQ_12",""
13,"TEXT_CLSCUL000_00241_SEQ_13",""
14,"TEXT_CLSCUL000_00241_SEQ_14",""
15,"TEXT_CLSCUL000_00241_SEQ_15",""
16,"TEXT_CLSCUL000_00241_SEQ_16",""
17,"TEXT_CLSCUL000_00241_SEQ_17",""
18,"TEXT_CLSCUL000_00241_SEQ_18",""
19,"TEXT_CLSCUL000_00241_SEQ_19",""
20,"TEXT_CLSCUL000_00241_SEQ_20",""
21,"TEXT_CLSCUL000_00241_SEQ_21",""
22,"TEXT_CLSCUL000_00241_SEQ_22",""
23,"TEXT_CLSCUL000_00241_SEQ_23",""
24,"TEXT_CLSCUL000_00241_TODO_00","調理ギルド納品先2に「バター」を渡す"
25,"TEXT_CLSCUL000_00241_TODO_01",""
26,"TEXT_CLSCUL000_00241_TODO_02",""
27,"TEXT_CLSCUL000_00241_TODO_03",""
28,"TEXT_CLSCUL000_00241_TODO_04",""
29,"TEXT_CLSCUL000_00241_TODO_05",""
30,"TEXT_CLSCUL000_00241_TODO_06",""
31,"TEXT_CLSCUL000_00241_TODO_07",""
32,"TEXT_CLSCUL000_00241_TODO_08",""
33,"TEXT_CLSCUL000_00241_TODO_09",""
34,"TEXT_CLSCUL000_00241_TODO_10",""
35,"TEXT_CLSCUL000_00241_TODO_11",""
36,"TEXT_CLSCUL000_00241_TODO_12",""
37,"TEXT_CLSCUL000_00241_TODO_13",""
38,"TEXT_CLSCUL000_00241_TODO_14",""
39,"TEXT_CLSCUL000_00241_TODO_15",""
40,"TEXT_CLSCUL000_00241_TODO_16",""
41,"TEXT_CLSCUL000_00241_TODO_17",""
42,"TEXT_CLSCUL000_00241_TODO_18",""
43,"TEXT_CLSCUL000_00241_TODO_19",""
44,"TEXT_CLSCUL000_00241_TODO_20",""
45,"TEXT_CLSCUL000_00241_TODO_21",""
46,"TEXT_CLSCUL000_00241_TODO_22",""
47,"TEXT_CLSCUL000_00241_TODO_23",""
48,"TEXT_CLSCUL000_00241_TALK_SCENE00000_000","よく来たな、実にいいタイミングだぞ。
なぁお前さん、ちょっと「バター」を作ってみねぇか？
大丈夫だ、今のお前さんならやれる！"
49,"TEXT_CLSCUL000_00241_TALK_SCENE00000_001","……そんなわけが分からない、みたいな顔すんな。
実はな、ビスマルクの若いモンがヘマやってな……。
「バター」が足りないんだよ、「バター」が。"
50,"TEXT_CLSCUL000_00241_TALK_SCENE00000_002","うちのデッチってのが用意を忘れてやがったらしい。
このまんまじゃあ、あとの仕事に差し支えるんだ。
ってなわけでな、お前さん代わりにやってくれねぇか？"
51,"TEXT_CLSCUL000_00241_TALK_SCENE00000_003","出来あがったらヘマしたデッチに届けろ。
「後輩でもこれだけ出来るんだ」ってところを
あいつに見してやってくれい。"
52,"TEXT_CLSCUL000_00241_TALK_SCENE00001_000","なんだよ、オレに何か用か？
オレは今、「バター」の調達で大忙しなんだよ！
バレる前になんとかしねーと……。"
53,"TEXT_CLSCUL000_00241_TALK_SCENE00001_001","なんだよ、こんなところで……
って、これ「バター」じゃねーか！？"
54,"TEXT_CLSCUL000_00241_TALK_SCENE00001_002","……なんだよ、マスター・リングサスは
最初から全部知ってたのか。
バレてないと思ってたのに……。"
55,"TEXT_CLSCUL000_00241_TALK_SCENE00001_003","なぁ、この「バター」、お前が作ったのか？
ふぅん……そうかよ。
あんた確か新人だよな？　最近ギルドに入った。"
56,"TEXT_CLSCUL000_00241_TALK_SCENE00001_004","なのに、もう「バター」作るの任されたのか。
オレなんて任されるまで、半年もかかったのに。"
57,"TEXT_CLSCUL000_00241_TALK_SCENE00001_005","なんだかこれって、すっごい不公平だよな？
ビスマルクで働いてるわけでもないのに
マスターから、目をかけられてるなんて。"
58,"TEXT_CLSCUL000_00241_TALK_SCENE00001_006","たかが「バター」されど「バター」だよ。
鍋に敷いたり、スープの味を整えたり。
お菓子のベースに使ったりもするんだ。"
59,"TEXT_CLSCUL000_00241_TALK_SCENE00001_007","「バター」はビスマルクの味を支えてるんだぞ？
なんでそれを、お前なんかに……！
って、オレがヘマやったせいなんだけどさ。"
60,"TEXT_CLSCUL000_00241_TALK_SCENE00001_008","でも覚えとけよな。
次はもう、ヘマなんかしないぜ。
お前の出番なんて、絶対ないからなっ！"
