key,0,1
#,,
int32,str,str
0,"TEXT_CLSBSM501_00302_SEQ_00","鍛冶師ギルドのブリサエルは、冒険者に任せたい、重要な仕事があるようだ。"
1,"TEXT_CLSBSM501_00302_SEQ_01","ブリサエルより、フェーズアールからの重要な依頼を任された。鍛治師ギルドの「フェーズアール」と話そう。"
2,"TEXT_CLSBSM501_00302_SEQ_02","フェーズアールは、とある人物を冒険者に紹介したいらしい。「冒険者ギルドを囲む橋梁」で人目を潜んでいる「古風なミコッテ族」に話を聞きにいこう。"
3,"TEXT_CLSBSM501_00302_SEQ_03","[MacroError]"
4,"TEXT_CLSBSM501_00302_SEQ_04","フェーズアールを通じて、ダスタードへ<Sheet(ItemHQ,1663,0)/>を渡した。「古風なミコッテ族」が<Sheet(ItemHQ,1663,0)/>に込めたメッセージは、ダスタードに伝わったようだ。事のてん末を、鍛冶師ギルドにいる「古風なミコッテ族」に報告しよう。"
5,"TEXT_CLSBSM501_00302_SEQ_05","「古風なミコッテ族」から、深く感謝された。｢鍛冶師ギルド｣の「ブリサエル」から報酬を受け取ろう。"
6,"TEXT_CLSBSM501_00302_SEQ_06","ブリサエルは、今回の難しい仕事は、冒険者でなくては果たせなかったろうと感心した。冒険者の腕前はすでに超一流の域に達しており、もはや鍛冶師ギルドの看板職人といっても過言ではないと、ブリサエルは絶賛してくれた。冒険者の業績は、鍛冶師ギルドで語り継がれるだろう。"
7,"TEXT_CLSBSM501_00302_SEQ_07",""
8,"TEXT_CLSBSM501_00302_SEQ_08",""
9,"TEXT_CLSBSM501_00302_SEQ_09",""
10,"TEXT_CLSBSM501_00302_SEQ_10",""
11,"TEXT_CLSBSM501_00302_SEQ_11",""
12,"TEXT_CLSBSM501_00302_SEQ_12",""
13,"TEXT_CLSBSM501_00302_SEQ_13",""
14,"TEXT_CLSBSM501_00302_SEQ_14",""
15,"TEXT_CLSBSM501_00302_SEQ_15",""
16,"TEXT_CLSBSM501_00302_SEQ_16",""
17,"TEXT_CLSBSM501_00302_SEQ_17",""
18,"TEXT_CLSBSM501_00302_SEQ_18",""
19,"TEXT_CLSBSM501_00302_SEQ_19",""
20,"TEXT_CLSBSM501_00302_SEQ_20",""
21,"TEXT_CLSBSM501_00302_SEQ_21",""
22,"TEXT_CLSBSM501_00302_SEQ_22",""
