key,0,1
#,,
int32,str,str
0,"TEXT_SUBFST090_00364_SEQ_00","Rolfe Hawthorne is having difficulty fulfilling a request from the sylphs."
1,"TEXT_SUBFST090_00364_SEQ_01","At the sylphs' behest, Rolfe Hawthorne has been trying to obtain four bottles of fresh spoken blood from djiggas in the Bramble Patch. However, the retired adventurer finds himself out of his depth, and begs your help in fulfilling the order."
2,"TEXT_SUBFST090_00364_SEQ_02","You have obtained the bottles of fresh spoken blood. Deliver them to Komuxio at Little Solace."
3,"TEXT_SUBFST090_00364_SEQ_03","Komuxio delightedly accepts the blood, and explains that it will serve as a dye for a type of enchanted thread. Once finished, the thread will be used to embroider patterns of power that can repel monsters."
4,"TEXT_SUBFST090_00364_SEQ_04","dummy"
5,"TEXT_SUBFST090_00364_SEQ_05","dummy"
6,"TEXT_SUBFST090_00364_SEQ_06","dummy"
7,"TEXT_SUBFST090_00364_SEQ_07","dummy"
8,"TEXT_SUBFST090_00364_SEQ_08","dummy"
9,"TEXT_SUBFST090_00364_SEQ_09","dummy"
10,"TEXT_SUBFST090_00364_SEQ_10","dummy"
11,"TEXT_SUBFST090_00364_SEQ_11","dummy"
12,"TEXT_SUBFST090_00364_SEQ_12","dummy"
13,"TEXT_SUBFST090_00364_SEQ_13","dummy"
14,"TEXT_SUBFST090_00364_SEQ_14","dummy"
15,"TEXT_SUBFST090_00364_SEQ_15","dummy"
16,"TEXT_SUBFST090_00364_SEQ_16","dummy"
17,"TEXT_SUBFST090_00364_SEQ_17","dummy"
18,"TEXT_SUBFST090_00364_SEQ_18","dummy"
19,"TEXT_SUBFST090_00364_SEQ_19","dummy"
20,"TEXT_SUBFST090_00364_SEQ_20","dummy"
21,"TEXT_SUBFST090_00364_SEQ_21","dummy"
22,"TEXT_SUBFST090_00364_SEQ_22","dummy"
23,"TEXT_SUBFST090_00364_SEQ_23","dummy"
24,"TEXT_SUBFST090_00364_TODO_00","Obtain bottles of fresh spoken blood from djiggas."
25,"TEXT_SUBFST090_00364_TODO_01","Deliver the bottles of fresh spoken blood to Komuxio."
26,"TEXT_SUBFST090_00364_TODO_02","dummy"
27,"TEXT_SUBFST090_00364_TODO_03","dummy"
28,"TEXT_SUBFST090_00364_TODO_04","dummy"
29,"TEXT_SUBFST090_00364_TODO_05","dummy"
30,"TEXT_SUBFST090_00364_TODO_06","dummy"
31,"TEXT_SUBFST090_00364_TODO_07","dummy"
32,"TEXT_SUBFST090_00364_TODO_08","dummy"
33,"TEXT_SUBFST090_00364_TODO_09","dummy"
34,"TEXT_SUBFST090_00364_TODO_10","dummy"
35,"TEXT_SUBFST090_00364_TODO_11","dummy"
36,"TEXT_SUBFST090_00364_TODO_12","dummy"
37,"TEXT_SUBFST090_00364_TODO_13","dummy"
38,"TEXT_SUBFST090_00364_TODO_14","dummy"
39,"TEXT_SUBFST090_00364_TODO_15","dummy"
40,"TEXT_SUBFST090_00364_TODO_16","dummy"
41,"TEXT_SUBFST090_00364_TODO_17","dummy"
42,"TEXT_SUBFST090_00364_TODO_18","dummy"
43,"TEXT_SUBFST090_00364_TODO_19","dummy"
44,"TEXT_SUBFST090_00364_TODO_20","dummy"
45,"TEXT_SUBFST090_00364_TODO_21","dummy"
46,"TEXT_SUBFST090_00364_TODO_22","dummy"
47,"TEXT_SUBFST090_00364_TODO_23","dummy"
48,"TEXT_SUBFST090_00364_ROLFE_000_1","You wouldn't happen to be the adventurer they say has been aiding the sylphs, would you? You would!? Thank the Matron for bringing you here!"
49,"TEXT_SUBFST090_00364_ROLFE_000_2","You see, I've received a request from the sylphs, by way of Hearer Imedia. They need four bottles of something called fresh spoken blood, which can only be gotten from djiggas."
50,"TEXT_SUBFST090_00364_ROLFE_000_3","I had misgivings about the whole affair, having long since given up adventuring, but the adventurer within wasn't going to say no without giving it a fair go. And so I did...and duly failed. The homesteader's life has robbed me of my former strength, I'm afraid."
51,"TEXT_SUBFST090_00364_ROLFE_000_4","I may as well have been facing wroth elementals, for all the good I did. That's why I'm asking you, an adventurer in <If(PlayerParameter(4))>her<Else/>his</If> prime, to slay the djiggas in my stead. Get the spoken blood─whatever the hells it's for─and deliver it to the sylph Komuxio."
52,"TEXT_SUBFST090_00364_KOMUXIO_000_11","What does walking one want? This one is busy with needlework."
53,"TEXT_SUBFST090_00364_KOMUXIO_000_12","Ah, the fresh spoken blood this one requested! This one is filled with gratitude!"
54,"TEXT_SUBFST090_00364_KOMUXIO_000_13","Lest walking one wonder, these ones use the blood to dye thread. That thread is then used to embroider enchanted patterns─patterns that repel dark things."
55,"TEXT_SUBFST090_00364_KOMUXIO_000_14","These ones' homes all bear the patterns. The patterns protect these ones' homes!"
