key,0,1
#,,
int32,str,str
0,"TEXT_CLSCNJ005_00440_SEQ_00","Brother E–Sumi–Yan requires your assistance in a matter concerning the young conjurer, Sylphie."
1,"TEXT_CLSCNJ005_00440_SEQ_01","Brother E–Sumi has requested that you travel to the South Shroud and speak with Miriela at Buscarron's Druthers. As an acquaintance of Sylphie's, the tavern worker may be able to provide some insight into the young conjurer's present state of mind."
2,"TEXT_CLSCNJ005_00440_SEQ_02","Your conversation with Miriela reveals much about Sylphie's past, but little about her present state. Seek the young conjurer at the east gate of the tavern grounds, and see if she will open up to you."
3,"TEXT_CLSCNJ005_00440_SEQ_03","Sylphie reveals that she is still troubled by her mother's failure to teach her about the power of nature, and declares that she will not leave the South Shroud until she has found something to justify this oversight. She also mentions sensing the taint of corruption emanating from somewhere in the vicinity of Silent Arbor. Locate the disturbance and investigate its source."
4,"TEXT_CLSCNJ005_00440_SEQ_04","You have vanquished the creature that emerged from the midst of the corruption. It seems to have left something in its wake..."
5,"TEXT_CLSCNJ005_00440_SEQ_05","You recover what is left of a diary from the earth where the disturbance originated. Return to Buscarron's Druthers and show the book to Sylphie."
6,"TEXT_CLSCNJ005_00440_SEQ_06","It would seem the diary you recovered belonged to Sylphie's late mother. Upon reading the entries contained therein, the young conjurer is convinced of the path that she must take. Return to Stillglade Fane and report to Brother E–Sumi."
7,"TEXT_CLSCNJ005_00440_SEQ_07","Having learned of her mother's final wishes, Sylphie is now determined to embrace the power of nature. At long last, the young conjurer seems to have put her personal troubles behind her. The general mood of hope is dampened, however, by the revelation that the Twelveswood is suffering from some widespread and as yet unknown affliction. Return to your studies and seek greater mastery over your art in preparation for the day when Brother E–Sumi calls upon you once more.

※The next conjurer quest will be available from E–Sumi–Yan upon reaching level 30."
8,"TEXT_CLSCNJ005_00440_SEQ_08","dummy"
9,"TEXT_CLSCNJ005_00440_SEQ_09","dummy"
10,"TEXT_CLSCNJ005_00440_SEQ_10","dummy"
11,"TEXT_CLSCNJ005_00440_SEQ_11","dummy"
12,"TEXT_CLSCNJ005_00440_SEQ_12","dummy"
13,"TEXT_CLSCNJ005_00440_SEQ_13","dummy"
14,"TEXT_CLSCNJ005_00440_SEQ_14","dummy"
15,"TEXT_CLSCNJ005_00440_SEQ_15","dummy"
