key,0,1
#,,
int32,str,str
0,"TEXT_SUBSEA053_00465_SEQ_00","Staelwyrn is up in arms, as his hired hands are nowhere to be found."
1,"TEXT_SUBSEA053_00465_SEQ_01","The pirates-turned-yeomen, five in all, are somewhere about Summerford Farms. Find them and send them to Staelwyrn."
2,"TEXT_SUBSEA053_00465_SEQ_02","You have tracked down and spoken with all five yeoman. Report back to Staelwyrn."
3,"TEXT_SUBSEA053_00465_SEQ_03","All of the yeomen except Sevrin have returned to work. It is remarkable what lengths some will venture to in order to shirk responsibility."
4,"TEXT_SUBSEA053_00465_SEQ_04",""
5,"TEXT_SUBSEA053_00465_SEQ_05",""
6,"TEXT_SUBSEA053_00465_SEQ_06",""
7,"TEXT_SUBSEA053_00465_SEQ_07",""
8,"TEXT_SUBSEA053_00465_SEQ_08",""
9,"TEXT_SUBSEA053_00465_SEQ_09",""
10,"TEXT_SUBSEA053_00465_SEQ_10",""
11,"TEXT_SUBSEA053_00465_SEQ_11",""
12,"TEXT_SUBSEA053_00465_SEQ_12",""
13,"TEXT_SUBSEA053_00465_SEQ_13",""
14,"TEXT_SUBSEA053_00465_SEQ_14",""
15,"TEXT_SUBSEA053_00465_SEQ_15",""
16,"TEXT_SUBSEA053_00465_SEQ_16",""
17,"TEXT_SUBSEA053_00465_SEQ_17",""
18,"TEXT_SUBSEA053_00465_SEQ_18",""
19,"TEXT_SUBSEA053_00465_SEQ_19",""
20,"TEXT_SUBSEA053_00465_SEQ_20",""
21,"TEXT_SUBSEA053_00465_SEQ_21",""
22,"TEXT_SUBSEA053_00465_SEQ_22",""
23,"TEXT_SUBSEA053_00465_SEQ_23",""
24,"TEXT_SUBSEA053_00465_TODO_00","Speak with the slacking yeomen."
25,"TEXT_SUBSEA053_00465_TODO_01","Report to Staelwyrn."
26,"TEXT_SUBSEA053_00465_TODO_02",""
27,"TEXT_SUBSEA053_00465_TODO_03",""
28,"TEXT_SUBSEA053_00465_TODO_04",""
29,"TEXT_SUBSEA053_00465_TODO_05",""
30,"TEXT_SUBSEA053_00465_TODO_06",""
31,"TEXT_SUBSEA053_00465_TODO_07",""
32,"TEXT_SUBSEA053_00465_TODO_08",""
33,"TEXT_SUBSEA053_00465_TODO_09",""
34,"TEXT_SUBSEA053_00465_TODO_10",""
