key,0,1
#,,
int32,str,str
0,"TEXT_CLSALC100_00579_SEQ_00",""
1,"TEXT_CLSALC100_00579_SEQ_01",""
2,"TEXT_CLSALC100_00579_SEQ_02","END"
3,"TEXT_CLSALC100_00579_SEQ_03",""
4,"TEXT_CLSALC100_00579_SEQ_04",""
5,"TEXT_CLSALC100_00579_SEQ_05",""
6,"TEXT_CLSALC100_00579_SEQ_06",""
7,"TEXT_CLSALC100_00579_SEQ_07",""
8,"TEXT_CLSALC100_00579_SEQ_08",""
9,"TEXT_CLSALC100_00579_SEQ_09",""
10,"TEXT_CLSALC100_00579_SEQ_10",""
11,"TEXT_CLSALC100_00579_SEQ_11",""
12,"TEXT_CLSALC100_00579_SEQ_12",""
13,"TEXT_CLSALC100_00579_SEQ_13",""
14,"TEXT_CLSALC100_00579_SEQ_14",""
15,"TEXT_CLSALC100_00579_SEQ_15",""
16,"TEXT_CLSALC100_00579_SEQ_16",""
17,"TEXT_CLSALC100_00579_SEQ_17",""
18,"TEXT_CLSALC100_00579_SEQ_18",""
19,"TEXT_CLSALC100_00579_SEQ_19",""
20,"TEXT_CLSALC100_00579_SEQ_20",""
21,"TEXT_CLSALC100_00579_SEQ_21",""
22,"TEXT_CLSALC100_00579_SEQ_22",""
23,"TEXT_CLSALC100_00579_SEQ_23",""
24,"TEXT_CLSALC100_00579_TODO_00","～と話す"
25,"TEXT_CLSALC100_00579_TODO_01",""
26,"TEXT_CLSALC100_00579_TODO_02",""
27,"TEXT_CLSALC100_00579_TODO_03",""
28,"TEXT_CLSALC100_00579_TODO_04",""
29,"TEXT_CLSALC100_00579_TODO_05",""
30,"TEXT_CLSALC100_00579_TODO_06",""
31,"TEXT_CLSALC100_00579_TODO_07",""
32,"TEXT_CLSALC100_00579_TODO_08",""
33,"TEXT_CLSALC100_00579_TODO_09",""
34,"TEXT_CLSALC100_00579_TODO_10",""
35,"TEXT_CLSALC100_00579_TODO_11",""
36,"TEXT_CLSALC100_00579_TODO_12",""
37,"TEXT_CLSALC100_00579_TODO_13",""
38,"TEXT_CLSALC100_00579_TODO_14",""
39,"TEXT_CLSALC100_00579_TODO_15",""
40,"TEXT_CLSALC100_00579_TODO_16",""
41,"TEXT_CLSALC100_00579_TODO_17",""
42,"TEXT_CLSALC100_00579_TODO_18",""
43,"TEXT_CLSALC100_00579_TODO_19",""
44,"TEXT_CLSALC100_00579_TODO_20",""
45,"TEXT_CLSALC100_00579_TODO_21",""
46,"TEXT_CLSALC100_00579_TODO_22",""
47,"TEXT_CLSALC100_00579_TODO_23",""
48,"TEXT_CLSALC100_00579_TALK_SCENE00000_000","こんにちは～"
49,"TEXT_CLSALC100_00579_TALK_SCENE00001_000","こんにちは～"
