key,0,1
#,,
int32,str,str
0,"TEXT_CLSWDK010_00539_SEQ_00","木工師ギルドのベアティヌが、取り乱している。いったい何があったのだろう？"
1,"TEXT_CLSWDK010_00539_SEQ_01","戦場で破壊された武器の中に、ゲイルハードの弓があったという。落ち込んでいるベアティヌから、子どもと遊んでいるよう頼まれた。「どんぐり遊園」の「ニコリオー」に声をかけよう。"
2,"TEXT_CLSWDK010_00539_SEQ_02","ニコリオーから、ベアティヌが前向きに考えられる手伝いをしてほしいと頼まれた。「<Sheet(ItemHQ,5376)/>」を作り、「木工師ギルド」の「ベアティヌ」に渡そう。"
3,"TEXT_CLSWDK010_00539_SEQ_03","<Sheet(ItemHQ,5376)/>を見たベアティヌは、人が日々成長し続けることに気づいた。ゲイルハードのために新しい弓の製作を頼まれた。「<Sheet(ItemHQ,1942,0)/>」に「<Sheet(Item,5616,0)/>」を装着し、北部森林にいる「ゲイルハード」に届けよう。"
4,"TEXT_CLSWDK010_00539_SEQ_04","<Sheet(ItemHQ,1942,0)/>を受け取ったゲイルハードは、見事イクサル族を射抜き、退けることができた。「木工師ギルド」の「ベアティヌ」に報告しよう。"
5,"TEXT_CLSWDK010_00539_SEQ_05","ゲイルハードの勝利を聞き、喜ぶベアティヌ。冒険者のお陰でベアティヌ自身も「成長」することができたという。木工師としての成長は、日々続いていくと語るベアティヌ。彼の言葉を胸に、これからも腕を磨いてゆこう。"
6,"TEXT_CLSWDK010_00539_SEQ_06",""
7,"TEXT_CLSWDK010_00539_SEQ_07",""
8,"TEXT_CLSWDK010_00539_SEQ_08",""
9,"TEXT_CLSWDK010_00539_SEQ_09",""
10,"TEXT_CLSWDK010_00539_SEQ_10",""
11,"TEXT_CLSWDK010_00539_SEQ_11",""
12,"TEXT_CLSWDK010_00539_SEQ_12",""
13,"TEXT_CLSWDK010_00539_SEQ_13",""
14,"TEXT_CLSWDK010_00539_SEQ_14",""
15,"TEXT_CLSWDK010_00539_SEQ_15",""
16,"TEXT_CLSWDK010_00539_SEQ_16",""
17,"TEXT_CLSWDK010_00539_SEQ_17",""
18,"TEXT_CLSWDK010_00539_SEQ_18",""
19,"TEXT_CLSWDK010_00539_SEQ_19",""
20,"TEXT_CLSWDK010_00539_SEQ_20",""
21,"TEXT_CLSWDK010_00539_SEQ_21",""
