key,0,1
#,,
int32,str,str
0,"TEXT_MANFST405_00520_SEQ_00",""
1,"TEXT_MANFST405_00520_SEQ_01",""
2,"TEXT_MANFST405_00520_SEQ_02",""
3,"TEXT_MANFST405_00520_SEQ_03",""
4,"TEXT_MANFST405_00520_SEQ_04",""
5,"TEXT_MANFST405_00520_SEQ_05",""
6,"TEXT_MANFST405_00520_SEQ_06",""
7,"TEXT_MANFST405_00520_SEQ_07",""
8,"TEXT_MANFST405_00520_SEQ_08",""
9,"TEXT_MANFST405_00520_SEQ_09",""
10,"TEXT_MANFST405_00520_SEQ_10",""
11,"TEXT_MANFST405_00520_SEQ_11",""
12,"TEXT_MANFST405_00520_SEQ_12",""
13,"TEXT_MANFST405_00520_SEQ_13",""
14,"TEXT_MANFST405_00520_SEQ_14",""
15,"TEXT_MANFST405_00520_SEQ_15",""
16,"TEXT_MANFST405_00520_SEQ_16",""
17,"TEXT_MANFST405_00520_SEQ_17",""
18,"TEXT_MANFST405_00520_SEQ_18",""
19,"TEXT_MANFST405_00520_SEQ_19",""
20,"TEXT_MANFST405_00520_SEQ_20",""
21,"TEXT_MANFST405_00520_SEQ_21",""
22,"TEXT_MANFST405_00520_SEQ_22",""
23,"TEXT_MANFST405_00520_SEQ_23",""
24,"TEXT_MANFST405_00520_TODO_00","～と話す"
25,"TEXT_MANFST405_00520_TODO_01",""
26,"TEXT_MANFST405_00520_TODO_02",""
27,"TEXT_MANFST405_00520_TODO_03",""
28,"TEXT_MANFST405_00520_TODO_04",""
29,"TEXT_MANFST405_00520_TODO_05",""
30,"TEXT_MANFST405_00520_TODO_06",""
31,"TEXT_MANFST405_00520_TODO_07",""
32,"TEXT_MANFST405_00520_TODO_08",""
33,"TEXT_MANFST405_00520_TODO_09",""
34,"TEXT_MANFST405_00520_TODO_10",""
35,"TEXT_MANFST405_00520_TODO_11",""
36,"TEXT_MANFST405_00520_TODO_12",""
37,"TEXT_MANFST405_00520_TODO_13",""
38,"TEXT_MANFST405_00520_TODO_14",""
39,"TEXT_MANFST405_00520_TODO_15",""
40,"TEXT_MANFST405_00520_TODO_16",""
41,"TEXT_MANFST405_00520_TODO_17",""
42,"TEXT_MANFST405_00520_TODO_18",""
43,"TEXT_MANFST405_00520_TODO_19",""
