key,0,1
#,,
int32,str,str
0,"TEXT_CLSMIN450_00645_SEQ_00","採掘師ギルドのアダルベルタは、冒険者に頼み事があるようだ。"
1,"TEXT_CLSMIN450_00645_SEQ_01","前回の一件以降、ワイド・ガリーが無理に仕事を引き受けるようになった。ただ勝負に負けたことだけが原因ではないようだ。「ワイド・ガリー」に話しかけて、様子を探ってみよう。"
2,"TEXT_CLSMIN450_00645_SEQ_02","ワイド・ガリーが無理をしていた原因は、父親による実績のねつ造だった。不本意な好評価を正すため、多くの依頼を受けたが手に負えなくなったそうだ。しかし、依頼に穴をあけるわけにもいかない。代わりに「<Sheet(ItemHQ,5115,0)/>」を入手して「採掘師ギルド」の「ワイド・ガリー」に納品しよう。"
3,"TEXT_CLSMIN450_00645_SEQ_03","鉱石を無事納品した。納品された<Sheet(ItemHQ,5115,0)/>を見て、ワイド・ガリーはこの鉱石のように自分にしかできない仕事がしたい、とこぼしていた。彼は望む自分になることはできるだろうか……。

※採掘師のレベルが50以上になると、アダルベルタから次の採掘師クエストを受注することができます。"
4,"TEXT_CLSMIN450_00645_SEQ_04",""
5,"TEXT_CLSMIN450_00645_SEQ_05",""
6,"TEXT_CLSMIN450_00645_SEQ_06",""
7,"TEXT_CLSMIN450_00645_SEQ_07",""
8,"TEXT_CLSMIN450_00645_SEQ_08",""
9,"TEXT_CLSMIN450_00645_SEQ_09",""
10,"TEXT_CLSMIN450_00645_SEQ_10",""
11,"TEXT_CLSMIN450_00645_SEQ_11",""
12,"TEXT_CLSMIN450_00645_SEQ_12",""
13,"TEXT_CLSMIN450_00645_SEQ_13",""
14,"TEXT_CLSMIN450_00645_SEQ_14",""
15,"TEXT_CLSMIN450_00645_SEQ_15",""
16,"TEXT_CLSMIN450_00645_SEQ_16",""
17,"TEXT_CLSMIN450_00645_SEQ_17",""
18,"TEXT_CLSMIN450_00645_SEQ_18",""
19,"TEXT_CLSMIN450_00645_SEQ_19",""
20,"TEXT_CLSMIN450_00645_SEQ_20",""
21,"TEXT_CLSMIN450_00645_SEQ_21",""
22,"TEXT_CLSMIN450_00645_SEQ_22",""
23,"TEXT_CLSMIN450_00645_SEQ_23",""
24,"TEXT_CLSMIN450_00645_TODO_00","採掘師ギルドのワイド・ガリーと話す"
