key,0,1
#,,
int32,str,str
0,"TEXT_MANSEA008_00690_SEQ_00","Commodore Reyner wishes to speak with you regarding the upcoming banquet."
1,"TEXT_MANSEA008_00690_SEQ_01","The commodore has suggested that you speak with Baderon and acquire suitable attire for the banquet. Head to the Drowning Wench and see what the canny proprietor can provide for you."
2,"TEXT_MANSEA008_00690_SEQ_02","It seems that your current garb lacks the refinement expected of a guest attending one of the Admiral's high-class banquets. Visit J'nasshym at the Octant, and pick up the <If(PlayerParameter(4))>“lady-like”<Else/>“gentlemanly”</If> addition to your apparel."
3,"TEXT_MANSEA008_00690_SEQ_03","J'nasshym has entrusted you with a raxa-wrapped box containing your <If(PlayerParameter(4))>“lady-like”<Else/>“gentlemanly”</If> apparel. Return to the Drowning Wench and show the package to Baderon."
4,"TEXT_MANSEA008_00690_SEQ_04","After handing the box over to Baderon, you discover that it holds a pair of expensive dress shoes. The Wench's proprietor explains that the footwear is a gift from him, and from all the people you have aided during your journeys. Speak with Baderon again once you are ready to attend the banquet."
5,"TEXT_MANSEA008_00690_SEQ_05","dummy"
6,"TEXT_MANSEA008_00690_SEQ_06","dummy"
7,"TEXT_MANSEA008_00690_SEQ_07","dummy"
8,"TEXT_MANSEA008_00690_SEQ_08","dummy"
9,"TEXT_MANSEA008_00690_SEQ_09","dummy"
10,"TEXT_MANSEA008_00690_SEQ_10","dummy"
11,"TEXT_MANSEA008_00690_SEQ_11","dummy"
12,"TEXT_MANSEA008_00690_SEQ_12","dummy"
13,"TEXT_MANSEA008_00690_SEQ_13","dummy"
14,"TEXT_MANSEA008_00690_SEQ_14","dummy"
15,"TEXT_MANSEA008_00690_SEQ_15","dummy"
16,"TEXT_MANSEA008_00690_SEQ_16","dummy"
17,"TEXT_MANSEA008_00690_SEQ_17","dummy"
18,"TEXT_MANSEA008_00690_SEQ_18","dummy"
19,"TEXT_MANSEA008_00690_SEQ_19","dummy"
20,"TEXT_MANSEA008_00690_SEQ_20","dummy"
21,"TEXT_MANSEA008_00690_SEQ_21","dummy"
22,"TEXT_MANSEA008_00690_SEQ_22","dummy"
23,"TEXT_MANSEA008_00690_SEQ_23","dummy"
24,"TEXT_MANSEA008_00690_TODO_00","Speak with Baderon at the Drowning Wench."
