key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Model,Scale,InactiveIdle[0],InactiveIdle[1],InactiveBattle,InactiveWandering,Behavior,Special,WanderingWait,Priority,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,uint16,byte,byte,byte,byte,CompanionMove,uint16,byte,bool,bool,uint16,bool
0,"",0,"",0,0,1,0,0,"",0,0,0,0,0,8,0,0,False,False,0,False
1,"cherry bomb",0,"cherry bombs",0,0,0,0,0,"Summon your cherry bomb minion─a miniature recreation of a voidsent bomb, created via the thaumaturgical rendering of umbrally charged aetherial energy. Guaranteed never to self-destruct, or your gil back.",427,30,0,0,2,8,4503,0,True,False,0,False
2,"mammet #001",0,"mammets #001",0,0,0,0,1,"Summon your mammet #001 minion─a fully operational clockwork puppet built in a joint effort by the Alchemists' and Goldsmiths' Guilds.",419,30,0,0,1,8,4501,1,False,False,0,False
3,"wayward hatchling",0,"wayward hatchlings",0,0,0,0,0,"Summon your wayward hatchling minion. Until he finds his real mother, you'll have to suffice.",423,30,30,0,2,8,4502,2,True,True,0,False
4,"Cait Sith doll",0,"Cait Sith dolls",0,0,0,1,0,"Summon your Cait Sith doll. The ever-extended tail helps the kitten keep her balance.",430,30,0,0,1,8,4504,3,False,False,0,False
5,"baby behemoth",0,"baby behemoths",0,0,0,0,0,"Summon your baby behemoth. We can only hope his mother doesn't come looking for him.",428,30,0,0,2,8,4505,4,True,True,0,False
6,"mammet #003L",0,"mammets #003L",0,0,1,0,1,"Summon your mammet #003L minion─a fully operational clockwork puppet built for the Maelstrom.",420,30,0,0,1,8,4506,1,False,False,0,False
7,"mammet #003G",0,"mammets #003G",0,0,1,0,1,"Summon your mammet #003G minion─a fully operational clockwork puppet built for the Order of the Twin Adder.",421,30,0,0,1,8,4507,1,False,False,0,False
8,"mammet #003U",0,"mammets #003U",0,0,1,0,1,"Summon your mammet #003U minion─a fully operational clockwork puppet built for the Immortal Flames.",422,30,0,0,1,8,4508,1,False,False,0,False
9,"storm hatchling",0,"storm hatchlings",0,0,1,0,0,"Summon your storm hatchling minion. Not more than a fortnight out of the shell, but his blood already runs Maelstrom red. Till sea swallows all!",424,30,30,0,2,8,4509,2,True,True,0,False
10,"serpent hatchling",0,"serpent hatchlings",0,0,1,0,0,"Summon your serpent hatchling minion. Not more than a fortnight out of the shell, but his blood already runs Twin Adder yellow.",425,30,30,0,2,8,4510,2,True,True,0,False
11,"flame hatchling",0,"flame hatchlings",0,0,1,0,0,"Summon your flame hatchling minion. Not more than a fortnight out of the shell, but his blood already runs Immortal Flames black.",426,30,30,0,2,8,4511,2,True,True,0,False
12,"morbol seedling",0,"morbol seedlings",0,0,1,0,0,"Summon your morbol seedling minion...if you think you can stand his breath.",429,30,0,0,2,8,4512,5,True,False,0,False
13,"tiny rat",0,"tiny rats",0,0,1,0,0,"Summon your tiny rat minion. He may infest your granaries, and he may carry the plague, but he's <Emphasis>simply too adorable</Emphasis> to condemn to the life-ending jaws of a metal trap.",431,30,0,0,2,8,4513,6,True,True,0,False
14,"baby bun",0,"baby buns",0,0,1,0,0,"Summon your baby bun minion. Tastes great on salads and in stews.",432,30,0,0,2,8,4514,7,True,False,0,False
15,"chigoe larva",0,"chigoe larvae",0,0,1,0,0,"Summon your chigoe larva minion. This tiny vilekin takes the blood pact with his master <Emphasis>very</Emphasis> seriously.",433,30,0,0,2,8,4515,8,True,False,0,False
16,"bluebird",0,"bluebirds",0,0,1,0,0,"Summon your bluebird minion. Known to retroactively bring good fortune to those who have already experienced good fortune.",434,30,0,0,2,8,4516,9,True,True,0,False
17,"wide-eyed fawn",0,"wide-eyed fawns",0,0,1,0,0,"Summon your wide-eyed fawn minion. His mother was either lost in a terrible hunting accident...or perhaps is just lost.",435,30,0,30,2,8,4517,10,True,True,0,False
18,"infant imp",0,"infant imps",0,1,1,0,0,"Summon your infant imp minion. Hopes that one day, he will rule the seven hells. But for now, your backside will do.",436,30,0,0,2,8,4518,11,True,True,0,False
