key,0,1,2
#,FirstQuest,LastQuest,
int32,CompleteJournal,CompleteJournal,int32
0,0,287,0
1,287,555,2
2,555,572,2
3,572,607,2
4,607,641,2
5,641,645,2
6,645,758,3
7,758,865,3
8,865,982,3
9,982,1026,3
10,1026,1044,3
11,1044,1257,2
12,1257,1320,2
13,1320,1329,2
14,1329,1363,1
15,1363,1539,3
16,1539,1579,3
17,1579,1624,3
18,1624,1664,3
19,1664,1724,3
20,1724,1784,3
21,1784,1844,3
22,1844,1904,3
23,1904,1964,3
24,1964,2024,3
25,2024,2084,3
26,2084,2144,3
27,0,0,2
28,2144,2210,2
29,2210,2264,2
30,0,0,2
