key,0,1,2,3,4,5
#,Name,Icon,CastTime,Animation[0],Animation[1],Animation[2]
int32,str,Image,byte,ActionTimeline,ActionTimeline,ActionTimeline
0,"",1,0,0,0,0
1,"Interacting",61103,2,80,81,82
2,"Interacting",61103,2,80,81,82
3,"Interacting",61103,5,80,81,82
4,"Interacting",61103,10,80,81,82
5,"Interacting",61103,15,80,81,82
6,"Interacting",61103,2,80,81,82
7,"Interacting",61103,5,80,81,82
8,"Interacting",61103,10,80,81,82
9,"Interacting",61103,15,80,81,82
10,"Waiting",61104,2,175,176,177
11,"Waiting",61104,2,175,176,177
12,"Waiting",61104,5,175,176,177
13,"Waiting",61104,10,175,176,177
14,"Interacting",61103,2,80,81,82
15,"Interacting",61103,2,80,81,82
16,"Interacting",61103,5,80,81,82
17,"Interacting",61103,10,80,81,82
18,"Interacting",61103,2,80,81,82
19,"Attuning",61105,5,169,170,171
20,"Interacting",61103,1,80,81,82
21,"Interacting",61103,2,80,81,82
22,"Interacting",61103,5,80,81,82
23,"Interacting",61103,1,172,173,174
24,"Interacting",61103,2,172,173,174
25,"Interacting",61103,5,172,173,174
26,"Aiding",61103,2,184,185,186
27,"Whistling",61104,2,178,179,180
28,"Standing Watch",61104,10,175,176,177
29,"Recording",61103,1,172,173,174
30,"Whistling",61103,2,178,179,180
31,"Interacting",61103,2,181,182,183
32,"Interacting",61103,5,181,182,183
33,"Interacting",61103,10,181,182,183
34,"Aiding",61103,2,184,185,186
35,"Aiding",61103,5,184,185,186
36,"Aiding",61103,10,184,185,186
37,"Interacting",61103,2,178,179,180
38,"Aiding",61103,2,172,173,174
39,"Aiding",61103,5,172,173,174
40,"Aiding",61103,10,172,173,174
41,"Interacting",61104,10,175,176,177
42,"Untying",61103,10,181,182,183
43,"Interacting",61103,10,172,173,174
44,"Interacting",61103,10,184,185,186
45,"Interacting",61103,2,172,173,174
46,"Interacting",61103,5,172,173,174
47,"Interacting",61103,10,172,173,174
48,"Spooking",61103,5,181,182,183
49,"Closing Valve",61103,5,181,182,183
50,"見渡す",61104,5,175,176,177
