key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,,Quest
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Image,Action,byte,uint32,Quest
2000000,"[en]",0,"",0,0,1,0,0,"","",0,0,1,0,0
2000001,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000021,"wooden hairpin",0,"wooden hairpins",0,0,1,0,0,"A simple wooden hairpin treasured by young Aunillie of the Acorn Orchard.","Wooden Hairpin",22623,1,1,0,3
2000022,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000024,"recruit's toolbox",0,"recruit's toolboxes",0,0,1,0,0,"A sturdy box filled with a set of pristine carpentry tools.","Recruit's Toolbox",21002,1,1,65563,3
2000025,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000028,"Azeyma rose",0,"Azeyma roses",0,1,1,0,0,"A single red Azeyma rose entrusted to you by Ethelred.","Azeyma Rose",26069,1,1,65562,3
2000029,"iron snaffle",0,"iron snaffles",0,1,1,0,0,"A small metal bit used in a set of chocobo reins. There appear to be several deep bite marks in the iron...","Iron Snaffle",21007,1,1,65568,3
2000030,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000031,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000032,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000033,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000034,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000035,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000036,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000037,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000038,"fire candy",0,"fire candies",0,0,1,0,0,"A spherical candy confected to shine like a fire crystal.","Fire Candy",22624,1,1,66704,3
2000039,"wind candy",0,"wind candies",0,0,1,0,0,"A spherical candy confected to shine like a wind crystal.","Wind Candy",22625,1,1,66704,3
2000040,"earth candy",0,"earth candies",0,1,1,0,0,"A spherical candy confected to shine like an earth crystal.","Earth Candy",22626,1,1,66704,3
2000041,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,5,66705,3
2000042,"warding lantern",0,"warding lantern",0,0,1,0,0,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake.","Warding Lantern",24153,1,1,66706,5
2000043,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,1,66706,3
2000044,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,"A handheld firework that unleashes a dazzling display of sparks.","Spooky Sparkler",22647,1,1,66706,3
2000045,"fire candy",0,"fire candies",0,0,1,0,0,"A spherical candy confected to shine like a fire crystal.","Fire Candy",22624,1,1,66700,3
2000046,"wind candy",0,"wind candies",0,0,1,0,0,"A spherical candy confected to shine like a wind crystal.","Wind Candy",22625,1,1,66700,3
2000047,"earth candy",0,"earth candies",0,1,1,0,0,"A spherical candy confected to shine like an earth crystal.","Earth Candy",22626,1,1,66700,3
2000048,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,5,66701,3
2000049,"warding lantern",0,"warding lantern",0,0,1,0,0,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake.","Warding Lantern",24153,1,1,66702,5
2000050,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,1,66702,3
2000051,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,"A handheld firework that unleashes a dazzling display of sparks.","Spooky Sparkler",22646,1,1,66702,3
2000052,"fire candy",0,"fire candies",0,0,1,0,0,"A spherical candy confected to shine like a fire crystal.","Fire Candy",22624,1,1,66708,3
2000053,"wind candy",0,"wind candies",0,0,1,0,0,"A spherical candy confected to shine like a wind crystal.","Wind Candy",22625,1,1,66708,3
2000054,"earth candy",0,"earth candies",0,1,1,0,0,"A spherical candy confected to shine like an earth crystal.","Earth Candy",22626,1,1,66708,3
2000055,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,5,66709,3
2000056,"warding lantern",0,"warding lantern",0,0,1,0,0,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake.","Warding Lantern",24153,1,1,66710,5
2000057,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,1,66710,3
2000058,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,"A handheld firework that unleashes a dazzling display of sparks.","Spooky Sparkler",22645,1,1,66710,3
2000059,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000060,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000061,"pot of amber unguent",0,"pots of amber unguent",0,0,1,0,0,"A sharply scented liquid entrusted to you by Master Gabineaux of Gabineaux's Bower.","Amber Unguent",20661,1,3,65663,3
2000062,"chigoe egg sac",0,"chigoe egg sacs",0,0,1,0,0,"This translucent sac appears to be filled with thousands of tiny pearl-shaped eggs.","Chigoe Egg Sac",22623,1,8,65664,3
2000063,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000064,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000065,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000066,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000067,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000068,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000069,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000070,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000071,"anole egg",0,"anole eggs",0,1,1,0,0,"This melon-sized egg of the violent scalekin known as the anole is still slightly warm.","Anole Egg",25251,1,4,65661,3
2000072,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000073,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000074,"handmade eel pie",0,"handmade eel pies",0,0,1,0,0,"Mother Miounne's realm-famous eel pie. Served only in her fine establishment, the Carline Canopy.","Handmade Eel Pie",24305,1,1,65621,3
2000075,"bag of stolen Mun--Tuy beans",0,"bags of stolen Mun--Tuy beans",0,0,1,0,0,"A hempen bag filled halfway with ripe Mun–Tuy beans.","Stolen Mun--Tuy Beans",22623,1,6,65639,3
2000076,"scented letter",0,"scented letters",0,0,1,0,0,"A sweetly scented letter dropped by Ailbert.","Scented Letter",26151,1,1,65635,3
2000077,"microchu leaflet",0,"microchu leaflets",0,0,1,0,0,"A tender, fleshy leaf taken from a microchu.","Microchu Leaflet",25201,1,4,65634,0
2000078,"",0,"",0,0,0,0,0,"","",0,0,0,0,0
2000079,"F'mibhas's sealed message",0,"F'mibhas's sealed messages",0,0,1,0,1,"A message entrusted to you at the Archers' Guild by an adventurer calling herself F'mibhas.","F'mibhas's Message",26068,0,1,65560,0
2000080,"bag of basic provisions",0,"bags of basic provisions",0,0,1,0,0,"A large bag filled with various dried meats and fruit entrusted to you by a hardened adventurer named Celestine.","Basic Provisions",22623,0,1,65570,0
2000081,"bone spearhead",0,"bone spearheads",0,0,1,0,0,"The bone of some large mammal whittled down to a sharp point.","Bone Spearhead",22303,0,1,65574,0
2000082,"pot of beeswax oil",0,"pots of besswax oil",0,0,1,0,0,"One part softened beeswax mixed with two parts olive oil. Used to treat leather.","Beeswax Oil",22636,0,1,65574,0
