key,0,1,2,3,4,5
#,Name,Description,,Action,UnlockLink,Recast
int32,str,str,int32,Action,byte,byte
0,"","",0,0,0,0
1,"Auto-attack","Automatically attack your current target at a set interval determined by your weapon.",101,0,0,1
2,"Jump","Make a spring from the ground or other base by flexion and sudden muscular extension of the legs.",102,0,0,2
3,"Limit Break","Spend energy stored in your party's limit gauge to execute a powerful battle technique. The technique executed is determined by the <Color(-34022)>role</Color> of the party member who initiates it.
Tank: Increase party defense.
Melee: Single target attack.
Caster: Area of effect attack.
Healer & Ranged: HP restoration (Raise at level 3).",103,0,0,3
4,"Sprint","Use all TP to increase movement speed for the number of seconds equaling your TP total divided by 50.
<Color(-154)>Cast Time: </Color>Instant　<Color(-154)>Recast Time: </Color>30s",104,0,56,4
5,"","",0,0,0,0
6,"Repair","Use dark matter to mend damaged equipment.",106,0,0,5
7,"Teleport","Reduce your body to aether and instantly teleport to any aetheryte to which you have previously attuned. Requires a gil fee paid upon arrival at your destination.",111,4,0,6
8,"Return","Instantly return to your current home point.
<Color(-154)>Cast Time：</Color>5s　<Color(-154)>Recast Time：</Color>900s",112,1,57,7
9,"","",0,0,0,0
10,"","",0,0,0,0
11,"","",0,0,0,0
12,"Materia Melding","Use carbonized matter to affix materia onto weapons and armor.",107,11,0,8
13,"Advanced Materia Melding","Use carbonized matter to affix materia onto weapons and armor. Can also affix materia to items with no slots remaining, but success is not guaranteed.",108,12,0,9
14,"Materia Assimilating","Reduce an item with a complete spiritbond to aether, and then recrystallize the resulting residue into a concentrated substance known as “materia.”",109,13,0,10
15,"Dye","Use dye to color gear.",110,14,0,11
16,"Target Forward","Toggle forward through nearby enemies.",113,0,0,12
17,"Target Back","Toggle back through nearby enemies.",114,0,0,13
18,"Set Down","Put down the object you are carrying.",61112,0,0,0
19,"Decipher","Remove a timeworn map from its glass prison and unlock its mysteries.",115,25,0,15
20,"Dig","Locate and extract a treasure chest from the ground.",116,25,67,16
