key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Description,Name,Icon,Level{Item},Rarity,FilterGroup,AdditionalData,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,,StackSize,IsUnique,IsUntradable,IsIndisposable,Lot,Price{Mid},Price{Low},CanBeHq,DyeCount,IsCrestWorthy,ItemAction,CastTime<s>,Cooldown<s>,ClassJob{Repair},Item{Repair},Item{Glamour},Desynth,IsCollectable,AlwaysCollectable,AetherialReduce,Level{Equip},RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,Model{Main},Model{Sub},ClassJob{Use},,Damage{Phys},Damage{Mag},Delay<ms>,,BlockRate,Block,Defense{Phys},Defense{Mag},BaseParam[0],BaseParamValue[0],BaseParam[1],BaseParamValue[1],BaseParam[2],BaseParamValue[2],BaseParam[3],BaseParamValue[3],BaseParam[4],BaseParamValue[4],BaseParam[5],BaseParamValue[5],ItemSpecialBonus,ItemSpecialBonus{Param},BaseParam{Special}[0],BaseParamValue{Special}[0],BaseParam{Special}[1],BaseParamValue{Special}[1],BaseParam{Special}[2],BaseParamValue{Special}[2],BaseParam{Special}[3],BaseParamValue{Special}[3],BaseParam{Special}[4],BaseParamValue{Special}[4],BaseParam{Special}[5],BaseParamValue{Special}[5],MaterializeType,MateriaSlotCount,IsAdvancedMeldingPermitted,IsPvP,SubStatCategory,IsGlamourous,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Image,ItemLevel,byte,byte,Row,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,byte,bool,bool,bool,bool,byte,byte,bool,byte,int64,int64,ItemAction,int32,int16,ClassJob,ItemRepairResource,Item,int16,int32,int16,int32,int16,int32,int16,ClassJobCategory,GrandCompany,ItemSeries,int32,sbyte,int32,ClassJob,int32,sbyte,int32,sbyte,int32,sbyte,int32,int32,byte,BaseParam,uint16,BaseParam,uint16,BaseParam,uint16,BaseParam,uint16,BaseParam,byte,BaseParam,uint16,ItemSpecialBonus,bool,BaseParam,bool,BaseParam,uint32,BaseParam,bool,BaseParam,bool,BaseParam,bool,BaseParam,bool,byte,uint32,byte,byte,byte,byte,bool
0,"",0,"",0,0,1,0,0,"","",0,0,1,0,1,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,3,0,0,False
1,"gil",0,"gil",0,0,1,0,0,"Standard Eorzean currency.","Gil",61472,1,1,0,999999999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,99,0,3,0,0,False
2,"fire shard",0,"fire shards",0,0,1,0,0,"A tiny crystalline manifestation of aetheric fire energy.","Fire Shard",20001,1,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,6,9,13,False,False,False,False,False,False,False,0,38,0,0,0,0,False
3,"ice shard",0,"ice shards",0,1,1,0,0,"A tiny crystalline manifestation of aetheric ice energy.","Ice Shard",20003,1,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,6,9,13,False,False,False,False,False,False,False,0,37,0,0,0,0,False
4,"wind shard",0,"wind shards",0,0,1,0,0,"A tiny crystalline manifestation of aetheric wind energy.","Wind Shard",20004,1,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,6,9,13,False,False,False,False,False,False,False,0,36,0,0,0,0,False
5,"earth shard",0,"earth shards",0,1,1,0,0,"A tiny crystalline manifestation of aetheric earth energy.","Earth Shard",20006,1,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,6,9,13,False,False,False,False,False,False,False,0,35,0,0,0,0,False
6,"lightning shard",0,"lightning shards",0,0,1,0,0,"A tiny crystalline manifestation of aetheric lightning energy.","Lightning Shard",20005,1,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,6,9,13,False,False,False,False,False,False,False,0,34,0,0,0,0,False
7,"water shard",0,"water shards",0,0,1,0,0,"A tiny crystalline manifestation of aetheric water energy.","Water Shard",20002,1,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,6,9,13,False,False,False,False,False,False,False,0,33,0,0,0,0,False
