key,0,1,2
#,Icon,JournalCategory,
int32,Image,JournalCategory,str
0,0,0,""
1,61412,1,"Main Scenario Quests"
2,61412,1,"A Realm Awoken Quests"
3,61411,2,"Chronicles of a New Era"
4,61411,2,"Bahamut Quests"
5,61411,2,"Crystal Tower Quests"
6,61411,3,"Amalj'aa Quests (Main)"
7,61411,3,"Amalj'aa Quests (Side)"
8,61411,4,"Sylph Quests (Main)"
9,61411,4,"Sylph Quests (Side)"
10,61411,5,"Hildibrand Quests"
11,61411,5,"Wandering Minstrel Quests"
12,61411,6,"La Noscean Sidequests"
13,61411,7,"Gridanian Sidequests"
14,61411,8,"Ul'dahn Sidequests"
15,61411,9,"Ishgardian Sidequests"
16,61411,10,"Mor Dhonan Sidequests"
17,62301,11,"Gladiator Quests"
18,62302,11,"Pugilist Quests"
19,62303,11,"Marauder Quests"
20,62304,11,"Lancer Quests"
21,62305,11,"Archer Quests"
22,62306,11,"Conjurer Quests"
23,62307,11,"Thaumaturge Quests"
24,62308,11,"Arcanist Quests"
25,62309,11,"Carpenter Quests"
26,62310,11,"Blacksmith Quests"
27,62311,11,"Armorer Quests"
28,62312,11,"Goldsmith Quests"
29,62313,11,"Leatherworker Quests"
30,62314,11,"Weaver Quests"
31,62315,11,"Alchemist Quests"
32,62316,11,"Culinarian Quests"
33,62317,11,"Miner Quests"
34,62318,11,"Botanist Quests"
35,62319,11,"Fisher Quests"
36,62401,12,"Paladin Quests"
37,62402,12,"Monk Quests"
38,62403,12,"Warrior Quests"
39,62404,12,"Dragoon Quests"
40,62405,12,"Bard Quests"
41,62406,12,"White Mage Quests"
42,62407,12,"Black Mage Quests"
43,62408,12,"Summoner Quests"
44,62409,12,"Scholar Quests"
45,61401,13,"Maelstrom Quests"
46,61402,13,"Order of the Twin Adder Quests"
47,61403,13,"Immortal Flames Quests"
48,61411,14,"Seasonal Events"
49,62501,15,"Battlecraft Levequests"
50,62502,19,"Carpenter Levequests"
51,62503,20,"Blacksmith Levequests"
52,62504,21,"Armorer Levequests"
53,62505,22,"Goldsmith Levequests"
54,62506,23,"Leatherworker Levequests"
55,62507,24,"Weaver Levequests"
56,62508,25,"Alchemist Levequests"
57,62509,26,"Culinarian Levequests"
58,62510,16,"Miner Levequests"
59,62511,17,"Botanist Levequests"
60,62512,18,"Fisher Levequests"
61,61451,27,"Brotherhood of the Broken Blade Levequests"
62,61452,27,"Azeyma's Shields Levequests"
63,61453,27,"Horn and Hand Levequests"
64,62513,28,"Maelstrom Levequests"
65,62514,28,"Order of the Twin Adder Levequests"
66,62515,28,"Immortal Flames Levequests"
67,61801,29,"Instanced Dungeons"
68,61802,29,"Instanced Raids"
69,61804,29,"Trials"
70,61803,29,"Guildhests"
71,0,30,"Legacy Main Scenario Quests"
72,0,30,"Legacy Sidequests"
73,0,30,"Legacy Class Quests"
74,0,30,"Legacy Job Quests"
75,0,30,"Legacy Grand Company Quests"
