key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
int32,uint16,str,str,uint16,byte
0,0,"","",0,0
1,0,"Shapeless Melody","",1,71
2,1,"Treasures of the Main","",2,71
3,2,"Legends Adrift","",3,71
4,3,"Never the Twain Shall Meet","",4,71
5,4,"Sundered Skies","",5,71
6,5,"Souls Gone Wild","",6,71
7,6,"Whispers in the Wood","",7,71
8,7,"Beckon of the Elementals","",8,71
9,8,"Flowers for All","",9,71
10,9,"Court in the Sands","",10,71
11,10,"Golden Sacrifices","",11,71
12,11,"Calamity Cometh","",12,71
13,12,"Fade to White","",13,71
14,13,"Together We Stand","",14,71
15,14,"Toll of the Warden","",15,71
16,15,"Forever Taken","",16,71
17,16,"Lord Errant","",17,71
18,17,"Of Men They Sing","",18,71
19,18,"Futures Perfect","",19,71
20,59,"The House Always Wins","",20,73
21,60,"Here There Be Pirates","",21,73
22,61,"Two Sides to Every Chip","",22,73
23,79,"All Bark and No Bite","",23,73
24,80,"Unalienable Rights","",24,73
25,81,"Thrill of the Fight","",25,73
26,99,"Bloody Baptism","",26,73
27,100,"Two-man Crew","",27,73
28,101,"Captain's Orders","",28,73
29,139,"Getting Started","",29,73
30,140,"Getting Started","",30,73
31,141,"Getting Started","",31,73
32,143,"Selecting a Different Path Companion","",32,73
33,159,"Filling the Quiver","",33,73
34,160,"The Foreboding Forest","",34,73
35,161,"There Can Be Only One","",35,73
36,179,"A Wailing Welcome","",36,73
37,180,"Culture Shock","",37,73
38,181,"Necessary Evils","",38,73
39,239,"The Big Payback","",39,73
40,240,"Revelry in Rivalry","",40,73
41,241,"Law and the Order","",41,73
42,259,"Dendrological Duties","",42,73
43,260,"Good Knight, Sweet Dreams","",43,73
44,261,"The Call of Nature","",44,73
45,299,"The Mouths of Babes","",45,73
46,300,"Hide and Seek Shenanigans","",46,73
47,301,"Spanning the Spectrum","",47,73
48,319,"An Ear for Quality","",48,73
49,320,"Song of the Sirens","",49,73
50,321,"The Sound of Silence","",50,73
51,359,"She Walks in Beauty","",51,73
52,360,"F'lhaminn's Flower","",52,73
53,361,"Struck Through the Heart","",53,73
54,379,"The Silent Partners","",54,73
55,380,"Designer Imposters","",55,73
56,381,"Head of the Class","",56,73
57,399,"Hoodwinked","",57,73
58,400,"Dance the Night Away","",58,73
59,401,"A Fruitful Murder","",59,73
60,419,"Sleep, Cousin of Death","",60,73
61,420,"The Boy and the Dragon Gay","",61,73
62,421,"Dream On, Dream Away","",62,73
63,439,"Showdown","",63,73
64,440,"Mystery of the Gastronome Gone Home","",64,73
65,441,"Something in the Soup","",65,73
66,459,"A Piece of History","",66,73
67,460,"Little Saboteurs","",67,73
68,461,"Runaway Little Girl","",68,73
69,479,"Gridanian Roots","",69,73
70,480,"The Grass is Always Greener","",70,73
71,481,"A Moogle Bouquet","",71,73
72,499,"To Fight a Fishback","",72,73
73,500,"The Beast of the Barrel","",73,73
74,501,"Polishing the Mast","",74,73
75,626,"Ifrit Bleeds, We Can Kill It","",75,72
76,632,"Assessing the Damage","",76,72
77,633,"Bridging the Gap","",77,72
78,635,"Revenge on the Reavers","",78,72
79,637,"Till Death Do Us Part","",79,72
80,638,"Beryl Overboard","",80,72
81,639,"Have You Seen My Son","",81,72
82,640,"Food for Thought","",82,72
83,641,"Seashells by the Seashore","",83,72
84,642,"Fishing for Answers","",84,72
85,643,"Moonstruck","",85,72
86,645,"A Misty Past","",86,72
87,647,"Carving a Name","",87,72
88,652,"The Tug of the Whorl","",88,72
