key,0,1,2,3,4,5,6,7,8,9,10
#,Name,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,QuestUnlock,,,CRPCraft,BSMCraft,ARMCraft,GSMCraft
int32,str,NotebookDivisionCategory,byte,bool,Quest,bool,bool,bool,bool,bool,bool
0,"1-5",0,0,True,True,True,True,True,True,True,True
1,"6-10",3,6,True,True,True,True,True,True,True,True
2,"11-15",8,11,True,True,True,True,True,True,True,True
3,"16-20",13,16,True,True,True,True,True,True,True,True
4,"21-25",18,21,True,True,True,True,True,True,True,True
5,"26-30",23,26,True,True,True,True,True,True,True,True
6,"31-35",28,31,True,True,True,True,True,True,True,True
7,"36-40",33,36,True,True,True,True,True,True,True,True
8,"41-45",38,41,True,True,True,True,True,True,True,True
9,"46-50",43,46,True,True,True,True,True,True,True,True
10,"51-55",51,51,True,True,True,True,True,True,True,True
11,"56-60",53,100,True,True,True,True,True,True,True,True
12,"61-75",58,100,True,True,True,True,True,True,True,True
13,"66-70",63,100,True,True,True,True,True,True,True,True
14,"71-75",68,100,True,True,True,True,True,True,True,True
15,"76-80",73,100,True,True,True,True,True,True,True,True
16,"81-85",78,100,True,True,True,True,True,True,True,True
17,"86-90",83,100,True,True,True,True,True,True,True,True
18,"91-95",88,100,True,True,True,True,True,True,True,True
19,"96-100",93,100,True,True,True,True,True,True,True,True
20,"101-105",98,100,True,True,True,True,True,True,True,True
21,"106-110",103,100,True,True,True,True,True,True,True,True
22,"111-115",108,105,True,True,True,True,True,True,True,True
23,"116-120",113,110,True,True,True,True,True,True,True,True
24,"121-125",118,115,True,True,True,True,True,True,True,True
25,"126-130",123,120,True,True,True,True,True,True,True,True
26,"131-135",128,125,True,True,True,True,True,True,True,True
27,"136-140",133,130,True,True,True,True,True,True,True,True
28,"141-145",138,135,True,True,True,True,True,True,True,True
29,"146-150",143,140,True,True,True,True,True,True,True,True
30,"151-155",148,145,True,True,True,True,True,True,True,True
31,"156-160",153,150,True,True,True,True,True,True,True,True
32,"161-175",158,155,True,True,True,True,True,True,True,True
33,"166-170",163,160,True,True,True,True,True,True,True,True
34,"171-175",168,165,True,True,True,True,True,True,True,True
35,"176-180",173,170,True,True,True,True,True,True,True,True
36,"181-185",178,175,True,True,True,True,True,True,True,True
37,"186-190",183,180,True,True,True,True,True,True,True,True
38,"191-195",188,185,True,True,True,True,True,True,True,True
39,"196-200",193,190,True,True,True,True,True,True,True,True
40,"[翻訳不要] レベル区分終端",255,255,True,True,True,True,True,True,True,True
1000,"Housing",12,255,True,True,True,True,True,True,True,False
1001,"Dyes",30,255,True,True,True,True,True,True,True,True
1002,"PvP",50,255,True,True,True,True,True,True,True,True
