key,0,1,2,3,4
#,,,,,OutputType
int32,byte,single,bool,single,str
1,3,1,False,1,"0"
2,3,5,False,1,"0"
3,3,5,False,1,"Hush! The anoles draw near!"
4,3,5,False,1,"Allow not a single imp to escape!"
5,3,5,False,1,"There are too many of them!"
6,3,5,False,1,"The gnats! They're everywhere!"
7,3,5,False,1,"Hostile sylphs approach! Draw your weapons!"
8,3,5,False,1,"Whence did these stags come!?"
9,3,5,False,1,"We must keep the roads safe!"
10,3,5,False,1,"These knaves must be taught a lesson!"
11,3,5,False,1,"It is the beans they are after!"
12,3,5,False,1,"The Ixal! Someone save us!"
13,3,5,False,1,"What are ziz doing this far east!?"
14,3,5,False,1,"The bud! We must protect the bud!"
15,3,5,False,1,"Take care. Something has the opo-opos in a frenzy."
16,3,5,False,1,"Seven hells! It's time for a change in plans."
17,3,5,False,1,"Kill them all, my pet!"
18,3,5,False,1,"Would someone be so kind as to assist us?"
19,3,5,False,1,"My wares! Those damned goblins have made off with my wares!"
20,3,5,False,1,"Would ye look at all them golems!"
21,3,5,False,1,"Not <Emphasis>more</Emphasis> imps! They'll have all our honey!"
22,3,5,False,1,"At this rate, there'll be no flowers left at all!"
23,3,5,False,1,"Intercept the Ixali raiders!"
24,3,5,False,1,"Get this man away from me!"
25,3,5,False,1,"Excelsior!"
26,2,5,False,1,"Ngaaah!"
27,2,5,False,1,"Hyah!"
28,2,5,False,1,"Begone!"
29,2,5,False,1,"Down with you!"
30,2,5,False,1,"Try that again!"
31,2,5,False,1,"You're mine!"
32,2,5,False,1,"Had enough!?"
33,2,5,False,1,"Take that!"
34,2,5,False,1,"Yaaaaaah!"
35,2,5,False,1,"I'll kill all ye bastards!"
36,2,5,False,1,"Out of me way!"
37,2,5,False,1,"Yer head's mine!"
38,2,5,False,1,"Let us dance!"
39,2,5,False,1,"Seek you audience with the king?"
40,2,3,False,1,"Kneel before your king!"
41,2,3,False,1,"I want to hear you sing!"
42,2,3,False,1,"Come a little closer."
43,2,5,False,1,"Why do you defy me?"
44,2,5,False,1,"I am not amused!"
45,2,3,False,1,"Dance, you fools!"
46,2,3,False,1,"Is this what you seek?"
47,2,3,False,1,"Hissssss!"
48,2,5,False,1,"Whaddaya treeslugs talkinbout!?"
49,2,5,False,1,"Yehavn't seentha lassa Spessser! Hic!"
50,2,5,False,1,"Gah hah hah! Who's next!?"
51,2,5,False,1,"Ulp! I just wanted to drink my mead in peace!"
52,2,3,False,1,"You's a probbluh...prob...prollem wif that!?"
53,2,3,False,1,"Thal's balls!"
54,2,5,False,1,"This one has made ready!"
55,2,5,False,1,"Listen! The forest speaks!"
56,2,5,False,1,"These ones must suffer!"
57,2,5,False,1,"This one will not perish!"
58,3,5,False,1,"Come! The Wood Wailers seek volunteers!"
59,3,5,False,1,"Ye may've made it this far, but ye ain't gettin' out alive."
60,3,5,False,1,"Hit me with all you have!"
61,3,5,False,1,"Enough! You've done well today."
62,3,5,False,1,"There are too many of them!"
63,3,5,False,1,"Tonight we shall poach the poachers!"
64,3,5,False,1,"Are the resources of the city-state so thinly stretched that they must send adventurers to do their dirty work?"
65,3,5,False,1,"Damn you all! The forest is not yours to claim!"
66,3,5,False,1,"Lustyeye uplanders seek goodgobbies' gobbiepack goodies?"
67,3,3,False,1,"Gobbiepack! Gobbiepack!"
68,3,3,False,1,"Gobbiepack! Gobbiepack! Little room!"
69,3,3,False,1,"Gobbiepack! Gobbiepack! Filled with boom!"
70,3,5,False,1,"No! Gobbiekeep rumbles and overtumbles!"
71,3,5,False,1,"Backwalk with fastness, uplander! Or else...ba-boom!"
72,3,3,False,1,"Fireboom! Fireboom!"
73,3,3,False,1,"Fireboom! Fireboom! Uplander's doom!"
74,3,3,False,1,"Fireboom! Fireboom! Uplander's tomb!"
75,3,5,False,1,"Gobbiekeep crumbles and overtumbles!"
76,3,5,False,1,"Goobiekeep tumbles and undercrumbles!"
77,3,5,False,1,"Narrowheart uplander seeks overtossing of good Gobbiekeep! Stikflix backpays with much fireboom!"
78,3,5,False,1,"Gobbiekin! More fireboom! More fireboom!"
79,3,5,False,1,"Oh! Such soreness of gut! Might we be making busydeal? No?"
80,3,3,False,1,"Stikflix! Stikflix!"
81,3,3,False,1,"Stikflix! Stikflix! Quickflicks gloom!"
82,3,3,False,1,"Stikflix! Stikflix! Fireboom resumes!"
83,3,5,False,1,"Fellow creatures! Come, follow this one!"
84,3,5,False,1,"This one angers..."
85,3,5,False,1,"This one grows weary..."
86,3,5,False,1,"This one will suffer at the hands of the grounded ones no more!"
87,3,3,False,1,"Your Highness!"
88,2,3,False,1,"Sit yer poxy arse down!"
