key,0,1,2,3,4,5,6
#,ExpRequired,,,,,,
int32,uint32,str,str,str,str,str,str
0,0,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
1,10,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
2,40,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
3,100,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
4,190,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
5,310,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
6,490,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
7,730,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
8,1030,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
9,1390,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
10,1810,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
11,2350,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
12,3010,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
13,3790,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
14,4690,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
15,5710,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
16,6910,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
17,8290,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
18,9850,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
19,11590,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
20,13510,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
21,15670,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
22,18070,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
23,20710,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
24,23590,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
25,26710,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
26,30130,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
27,33850,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
28,37870,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
29,42190,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
30,46810,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
31,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
32,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
33,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
34,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
35,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
36,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
37,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
38,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
39,0,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
40,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
41,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
42,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
43,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
44,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
45,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
46,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
47,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
48,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
49,0,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
50,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
51,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
52,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
53,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
54,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
55,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
56,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
57,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
58,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
59,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
60,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
61,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
62,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
63,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
64,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
65,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
66,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
67,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
68,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
69,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
70,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
