key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFRETAINERCALL_00010_RETAINER_ENTER_1","Greetings, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. You rang?"
1,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_MALE_TYPE1","I have come, <If(PlayerParameter(4))>Mistress<Else/>Master</If>."
2,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_MALE_TYPE2","Nothin' fer ye to worry about."
3,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_MALE_TYPE3","You summoned?"
4,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_MALE_TYPE4","Yes? <sigh> I hope this doesn't take long..."
5,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_MALE_TYPE5","You wish to see how a master handles a bazaar?"
6,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_MALE_TYPE6","Hello, hello! You called?"
7,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_FEMALE_TYPE1","At your service, my <If(PlayerParameter(4))>lady<Else/>lord</If>."
8,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_FEMALE_TYPE2","What's it to be this time, love?"
9,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_FEMALE_TYPE3","What would you ask?"
10,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_FEMALE_TYPE4","I'm so sorry to keep you waiting, <If(PlayerParameter(4))>madam<Else/>sir</If>. So very, very sorry."
11,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_FEMALE_TYPE5","Quickly now, I've places to be."
12,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_HYURAN_FEMALE_TYPE6","Well, if it ain't my favorite client! Always a pleasure, <If(PlayerParameter(4))>madam<Else/>sir</If>!"
13,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_ELEZEN_MALE_TYPE1","Yes, <If(PlayerParameter(4))>madam<Else/>sir</If>? What is your bidding?"
14,"TEXT_CMNDEFRETAINERCALL_00010_ENTER_ELEZEN_MALE_TYPE2","What's on the agenda, chief? Deprivin' saps o' their hard-earned gil?"
