key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFRETAINERDESK_00009_DEFAULT_TALK_1","Greetings! I take it you have come to see me about a retainer."
1,"TEXT_CMNDEFRETAINERDESK_00009_DEFAULT_TALK_2","Retainers are hardworking lads and lasses who will help you to manage those spoils earned while off slaying dragons or whatever it is you adventurers do."
2,"TEXT_CMNDEFRETAINERDESK_00009_DEFAULT_TALK_3","Unfortunately, you do not appear you could even slay an eft, let alone a dragon, therefore I must decline any petition you may have to take a retainer into your employ."
3,"TEXT_CMNDEFRETAINERDESK_00009_DEFAULT_TALK_4","Build yourself a reputation in this city, however, and I shall provide you with whatever it is you need. Might I suggest you start by heading back to the Adventurers' Guild and seeing if someone there has work for you?"
4,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_TITLE","Select an option."
5,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_TALK","Small Talk."
6,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_CREATE","Hire a Retainer."
7,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_REMOVE","Release a Retainer."
8,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_EXPLANATION","Learn about Retainers."
9,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_CHECK_CASHBACK","View Market Tax Rates."
10,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_CANCEL","Leave."
11,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_REGISTER_LIMSA","Dispatch a Retainer to Limsa Lominsa."
12,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_REGISTER_GRIDANIA","Dispatch a Retainer to Gridania."
13,"TEXT_CMNDEFRETAINERDESK_00009_MAIN_MENU_REGISTER_ULDAH","Dispatch a Retainer to Ul'dah."
14,"TEXT_CMNDEFRETAINERDESK_00009_EXPLANATION_MENU_TITLE","Select a topic."
15,"TEXT_CMNDEFRETAINERDESK_00009_EXPLANATION_MENU_WHAT_IS","Retainer Overview."
16,"TEXT_CMNDEFRETAINERDESK_00009_EXPLANATION_MENU_ABOUT","A Retainer's Duties."
17,"TEXT_CMNDEFRETAINERDESK_00009_EXPLANATION_MENU_CALL","Summoning a Retainer."
