key,0,1
#,,
int32,str,str
0,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_000","What is it? I am not in the habit of chattering while on duty. Unless you have pertinent business, begone."
1,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_010","I am a knight sworn to the service of House Durendaire. The name may mean little and less to an outsider, but it has the distinction of being one of the High Houses of Ishgard."
2,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_011","Under its proud standard, I have fought the dragons in more campaigns than I have fingers to count. Beasts though they may be, their cleverness and cunning are not to be scorned."
3,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_012","If our people are to know peace, we must destroy every last one of the accursed creatures."
4,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_020","Whitebrim Front has ever been a key outpost in the war against the dragons, and even more so now that the Stone Vigil has fallen. But you may be assured that we do not mean to sit idly by."
5,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_021","House Durendaire has called its banners, and all its sworn swords and lances are amassing to retake the Stone Vigil. When our forces finally march, see to it that you are not underfoot."
6,"TEXT_REGROCWHITEBRIM_00109_Q1_000_000","What will you ask?"
7,"TEXT_REGROCWHITEBRIM_00109_A1_000_001","What do you do here?"
8,"TEXT_REGROCWHITEBRIM_00109_A1_000_002","What kind of place is this?"
9,"TEXT_REGROCWHITEBRIM_00109_A1_000_003","Nothing."
