key,0,1
#,,
int32,str,str
0,"TEXT_TSTPLN033_00104_SEQUENCE_ID_00",""
1,"TEXT_TSTPLN033_00104_SEQUENCE_ID_01",""
2,"TEXT_TSTPLN033_00104_SEQUENCE_ID_02",""
3,"TEXT_TSTPLN033_00104_SEQUENCE_ID_03",""
4,"TEXT_TSTPLN033_00104_SEQUENCE_ID_04",""
5,"TEXT_TSTPLN033_00104_SEQUENCE_ID_05",""
6,"TEXT_TSTPLN033_00104_SEQUENCE_ID_06",""
7,"TEXT_TSTPLN033_00104_SEQUENCE_ID_07",""
8,"TEXT_TSTPLN033_00104_SEQUENCE_ID_08",""
9,"TEXT_TSTPLN033_00104_SEQUENCE_ID_09",""
10,"TEXT_TSTPLN033_00104_SEQUENCE_ID_10",""
11,"TEXT_TSTPLN033_00104_SEQUENCE_ID_11",""
12,"TEXT_TSTPLN033_00104_SEQUENCE_ID_12",""
13,"TEXT_TSTPLN033_00104_SEQUENCE_ID_13",""
14,"TEXT_TSTPLN033_00104_SEQUENCE_ID_14",""
15,"TEXT_TSTPLN033_00104_SEQUENCE_ID_15",""
16,"TEXT_TSTPLN033_00104_SEQUENCE_ID_16",""
17,"TEXT_TSTPLN033_00104_SEQUENCE_ID_17",""
18,"TEXT_TSTPLN033_00104_SEQUENCE_ID_18",""
19,"TEXT_TSTPLN033_00104_SEQUENCE_ID_19",""
20,"TEXT_TSTPLN033_00104_SEQUENCE_ID_20",""
21,"TEXT_TSTPLN033_00104_SEQUENCE_ID_21",""
22,"TEXT_TSTPLN033_00104_SEQUENCE_ID_22",""
23,"TEXT_TSTPLN033_00104_SEQUENCE_ID_23",""
24,"TEXT_TSTPLN033_00104_TODO_ID_00",""
25,"TEXT_TSTPLN033_00104_TODO_ID_01",""
26,"TEXT_TSTPLN033_00104_TODO_ID_02",""
27,"TEXT_TSTPLN033_00104_TODO_ID_03",""
28,"TEXT_TSTPLN033_00104_TODO_ID_04",""
29,"TEXT_TSTPLN033_00104_TODO_ID_05",""
30,"TEXT_TSTPLN033_00104_TODO_ID_06",""
31,"TEXT_TSTPLN033_00104_TODO_ID_07",""
32,"TEXT_TSTPLN033_00104_TODO_ID_08",""
33,"TEXT_TSTPLN033_00104_TODO_ID_09",""
34,"TEXT_TSTPLN033_00104_TODO_ID_10",""
35,"TEXT_TSTPLN033_00104_TODO_ID_11",""
36,"TEXT_TSTPLN033_00104_TODO_ID_12",""
37,"TEXT_TSTPLN033_00104_TODO_ID_13",""
38,"TEXT_TSTPLN033_00104_TODO_ID_14",""
39,"TEXT_TSTPLN033_00104_TODO_ID_15",""
40,"TEXT_TSTPLN033_00104_TODO_ID_16",""
41,"TEXT_TSTPLN033_00104_TODO_ID_17",""
42,"TEXT_TSTPLN033_00104_TODO_ID_18",""
43,"TEXT_TSTPLN033_00104_TODO_ID_19",""
44,"TEXT_TSTPLN033_00104_TODO_ID_20",""
45,"TEXT_TSTPLN033_00104_TODO_ID_21",""
46,"TEXT_TSTPLN033_00104_TODO_ID_22",""
47,"TEXT_TSTPLN033_00104_TODO_ID_23",""
48,"TEXT_TSTPLN033_00104_TALK_ID_SCENE00000_000",""
49,"TEXT_TSTPLN033_00104_TALK_ID_SCENE00002_000",""
50,"TEXT_TSTPLN033_00104_TALK_ID_SCENE00002_001",""
51,"TEXT_TSTPLN033_00104_TALK_ID_SCENE00001_000",""
