key,0,1
#,,
int32,str,str
0,"TEXT_CLSFSH051_01109_SEQ_00","Sisipu has a trial in mind for you."
1,"TEXT_CLSFSH051_01109_SEQ_01","Sisipu explains that different fish are drawn to different bait. To illustrate her point, she has instructed you to use pill bugs to catch three harbor herring, which can be found in the waters surrounding the lower decks."
2,"TEXT_CLSFSH051_01109_SEQ_02","By delivering three harbor herring, you have demonstrated to Sisipu that you can delve inside the mind of a fish. She bids you continue thinking fish-like thoughts, that you might be ready for your next lesson.

※The next fisher quest will be available from Sisipu upon reaching level 10."
3,"TEXT_CLSFSH051_01109_SEQ_03","dummy"
4,"TEXT_CLSFSH051_01109_SEQ_04","dummy"
5,"TEXT_CLSFSH051_01109_SEQ_05","dummy"
6,"TEXT_CLSFSH051_01109_SEQ_06","dummy"
7,"TEXT_CLSFSH051_01109_SEQ_07","dummy"
8,"TEXT_CLSFSH051_01109_SEQ_08","dummy"
9,"TEXT_CLSFSH051_01109_SEQ_09","dummy"
10,"TEXT_CLSFSH051_01109_SEQ_10","dummy"
11,"TEXT_CLSFSH051_01109_SEQ_11","dummy"
12,"TEXT_CLSFSH051_01109_SEQ_12","dummy"
13,"TEXT_CLSFSH051_01109_SEQ_13","dummy"
14,"TEXT_CLSFSH051_01109_SEQ_14","dummy"
15,"TEXT_CLSFSH051_01109_SEQ_15","dummy"
16,"TEXT_CLSFSH051_01109_SEQ_16","dummy"
17,"TEXT_CLSFSH051_01109_SEQ_17","dummy"
18,"TEXT_CLSFSH051_01109_SEQ_18","dummy"
19,"TEXT_CLSFSH051_01109_SEQ_19","dummy"
20,"TEXT_CLSFSH051_01109_SEQ_20","dummy"
21,"TEXT_CLSFSH051_01109_SEQ_21","dummy"
22,"TEXT_CLSFSH051_01109_SEQ_22","dummy"
23,"TEXT_CLSFSH051_01109_SEQ_23","dummy"
24,"TEXT_CLSFSH051_01109_TODO_00","Deliver harbor herring to Sisipu."
25,"TEXT_CLSFSH051_01109_TODO_01","dummy"
26,"TEXT_CLSFSH051_01109_TODO_02","dummy"
27,"TEXT_CLSFSH051_01109_TODO_03","dummy"
28,"TEXT_CLSFSH051_01109_TODO_04","dummy"
29,"TEXT_CLSFSH051_01109_TODO_05","dummy"
30,"TEXT_CLSFSH051_01109_TODO_06","dummy"
