key,0,1
#,,
int32,str,str
0,"TEXT_COMLIM001_01104_SEQ_00","R'ashaht Rhiki would have you begin your training in earnest."
1,"TEXT_COMLIM001_01104_SEQ_01","High Storm Commander R'ashaht Rhiki has great hopes for your future in the Maelstrom, and would send you for training to see your potential fulfilled. Board the ferry from the Moraby Drydocks in lower La Noscea to get to the Wolves' Den. Once there, seek out Storm Captain Berkoeya Loetahlsyn."
2,"TEXT_COMLIM001_01104_SEQ_02","After seeing fit to batter every last shred of confidence and self-respect out of you with a brutal tongue-lashing, Storm Captain Berkoeya Loetahlsyn reluctantly grants you permission to begin your training at the Wolves' Den."
3,"TEXT_COMLIM001_01104_SEQ_03","dummy"
4,"TEXT_COMLIM001_01104_SEQ_04","dummy"
5,"TEXT_COMLIM001_01104_SEQ_05","dummy"
6,"TEXT_COMLIM001_01104_SEQ_06","dummy"
7,"TEXT_COMLIM001_01104_SEQ_07","dummy"
8,"TEXT_COMLIM001_01104_SEQ_08","dummy"
9,"TEXT_COMLIM001_01104_SEQ_09","dummy"
10,"TEXT_COMLIM001_01104_SEQ_10","dummy"
11,"TEXT_COMLIM001_01104_SEQ_11","dummy"
12,"TEXT_COMLIM001_01104_SEQ_12","dummy"
13,"TEXT_COMLIM001_01104_SEQ_13","dummy"
14,"TEXT_COMLIM001_01104_SEQ_14","dummy"
15,"TEXT_COMLIM001_01104_SEQ_15","dummy"
16,"TEXT_COMLIM001_01104_SEQ_16","dummy"
17,"TEXT_COMLIM001_01104_SEQ_17","dummy"
18,"TEXT_COMLIM001_01104_SEQ_18","dummy"
19,"TEXT_COMLIM001_01104_SEQ_19","dummy"
20,"TEXT_COMLIM001_01104_SEQ_20","dummy"
21,"TEXT_COMLIM001_01104_SEQ_21","dummy"
22,"TEXT_COMLIM001_01104_SEQ_22","dummy"
23,"TEXT_COMLIM001_01104_SEQ_23","dummy"
24,"TEXT_COMLIM001_01104_TODO_00","Speak with Berkoeya Loetahlsyn at the Wolves' Den."
25,"TEXT_COMLIM001_01104_TODO_01","dummy"
26,"TEXT_COMLIM001_01104_TODO_02","dummy"
27,"TEXT_COMLIM001_01104_TODO_03","dummy"
28,"TEXT_COMLIM001_01104_TODO_04","dummy"
29,"TEXT_COMLIM001_01104_TODO_05","dummy"
