key,0,1
#,,
int32,str,str
0,"TEXT_FESPDY006_01307_SEQ_00","※本クエストは、期間限定のクエストとなります。

セレンディピティーは、エドヴィア姫人形コンテストの優勝を確実なものにしようとしている。"
1,"TEXT_FESPDY006_01307_SEQ_01","※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

セレンディピティーから、コンテストの優勝を確実にするために、エドヴィア姫人形の宣伝へ協力するよう依頼された。エドヴィア姫をミニオンとして出している状態で、ウルダハの指定地点で、エモート「踊る」をしよう。

※エドヴィア姫人形を帰還させる、
　もしくはプレイヤーがログアウトした場合、
　エドヴィア姫人形が消失します。
※再びエドヴィア姫人形を連れて歩きたいときは
　セレンディピティーに話しかけてください。"
2,"TEXT_FESPDY006_01307_SEQ_02","桃の木の下で踊り、ウルダハのプリンセスデーを盛り上げた。エドヴィア姫をミニオンとして出している状態で、彫金師ギルドにいる「セレンディピティー」に報告しよう。"
3,"TEXT_FESPDY006_01307_SEQ_03","エドヴィア姫人形が壊れてしまった。コアを修理するために、「花咲く桃の木」をゆすり、「<Sheet(Item,2001160,0)/>」を集めよう。"
4,"TEXT_FESPDY006_01307_SEQ_04","「<Sheet(Item,2001160,0)/>」を集めることができた。彫金師ギルドにいる「セレンディピティー」に届けよう。"
5,"TEXT_FESPDY006_01307_SEQ_05","冒険者のおかげで、エドヴィア姫人形は復活した。しかし、セレンディピティーは人形の販売をやめ、プリンセスデーの慣例にならい、エドヴィア姫人形の望みをかなえることにした。これからも、エドヴィア姫を様々な場所へ連れていってあげよう。"
6,"TEXT_FESPDY006_01307_SEQ_06",""
7,"TEXT_FESPDY006_01307_SEQ_07",""
8,"TEXT_FESPDY006_01307_SEQ_08",""
9,"TEXT_FESPDY006_01307_SEQ_09",""
10,"TEXT_FESPDY006_01307_SEQ_10",""
11,"TEXT_FESPDY006_01307_SEQ_11",""
12,"TEXT_FESPDY006_01307_SEQ_12",""
13,"TEXT_FESPDY006_01307_SEQ_13",""
14,"TEXT_FESPDY006_01307_SEQ_14",""
15,"TEXT_FESPDY006_01307_SEQ_15",""
16,"TEXT_FESPDY006_01307_SEQ_16",""
17,"TEXT_FESPDY006_01307_SEQ_17",""
