key,0,1
#,,
int32,str,str
0,"TEXT_BAHAMUTGUIDETRAVEL_Q1_000_010","What would you like to do?"
1,"TEXT_BAHAMUTGUIDETRAVEL_A1_000_011","Learn about the entry requirements for the Binding Coil of Bahamut."
2,"TEXT_BAHAMUTGUIDETRAVEL_A1_000_012","Enter <Sheet(InstanceContent,IntegerParameter(1),13)/>."
3,"TEXT_BAHAMUTGUIDETRAVEL_A1_000_013","Nothing."
4,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_050","The Binding Coil of Bahamut is comprised of multiple dungeons, or <Color(-34022)>turns</Color>. Please be warned that the spell Return cannot be used in certain turns."
5,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_051","Progress within the Binding Coil of Bahamut is saved at specific locations for each player, and you may resume your foray where you left off."
6,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_052","Progress is reset every <Time(1284994800)/><Switch(TopLevelParameter(220))><Case(1)>Sunday</Case><Case(2)>Monday</Case><Case(3)>Tuesday</Case><Case(4)>Wednesday</Case><Case(5)>Thursday</Case><Case(6)>Friday</Case><Case(7)>Saturday</Case></Switch> at <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 (Earth time)."
7,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_053","To enter the Binding Coil of Bahamut, you must be in a party of eight Disciples of War or Magic with a level of 50 or higher."
8,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_054","All members must also have completed the quest “Primal Awakening.” "
9,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_055","The starting point is determined by the party leader's progress."
10,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_056","Even party members who have not progressed as far as the party leader may participate, provided they meet the entry requirements."
11,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_0561","In this case, their progress will be updated to be the same as that of the leader."
12,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_057","Please note, however, that parties whose members have progressed further than the party leader cannot resume a foray."
13,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_058","All forays into the Binding Coil of Bahamut are limited to 90 minutes (Earth time)."
14,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_059","All items in a player's loot list will automatically be transferred to that player's inventory upon leaving the area."
15,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_060","Items unable to be obtained will be lost."
16,"TEXT_BAHAMUTGUIDETRAVEL_Q2_000_100","Enter <Sheet(InstanceContent,IntegerParameter(1),13)/>?"
17,"TEXT_BAHAMUTGUIDETRAVEL_A2_000_101","Yes"
18,"TEXT_BAHAMUTGUIDETRAVEL_A2_000_102","No"
19,"TEXT_BAHAMUTGUIDETRAVEL_SYSTEM_000_110","You were unable to enter <Sheet(InstanceContent,IntegerParameter(2),13)/>. Make sure that you and your party meet all the conditions."
